      Step     Time          Energy          fmax
FIRE:    0 22:29:20     -435.376158        1.289686
FIRE:    1 22:29:20     -435.430421        1.132352
FIRE:    2 22:29:21     -435.509519        0.821941
FIRE:    3 22:29:21     -435.566550        0.508663
FIRE:    4 22:29:21     -435.569063        0.715167
FIRE:    5 22:29:21     -435.573982        0.679106
FIRE:    6 22:29:22     -435.582787        0.612693
FIRE:    7 22:29:22     -435.593706        0.527325
FIRE:    8 22:29:22     -435.604797        0.441427
FIRE:    9 22:29:22     -435.614662        0.378849
FIRE:   10 22:29:23     -435.622866        0.358674
FIRE:   11 22:29:23     -435.630112        0.374279
FIRE:   12 22:29:23     -435.638579        0.435675
FIRE:   13 22:29:23     -435.650284        0.479053
FIRE:   14 22:29:23     -435.667109        0.482362
FIRE:   15 22:29:24     -435.689818        0.436613
FIRE:   16 22:29:24     -435.717423        0.349263
FIRE:   17 22:29:24     -435.747872        0.344116
FIRE:   18 22:29:24     -435.781303        0.403682
FIRE:   19 22:29:25     -435.823093        0.424633
FIRE:   20 22:29:25     -435.878185        0.380821
FIRE:   21 22:29:25     -435.944276        0.410209
FIRE:   22 22:29:25     -436.024164        0.512438
FIRE:   23 22:29:26     -436.130509        0.457701
FIRE:   24 22:29:26     -436.262412        0.489586
FIRE:   25 22:29:26     -436.408747        0.472548
FIRE:   26 22:29:26     -436.558668        0.435659
FIRE:   27 22:29:26     -436.710000        0.480451
FIRE:   28 22:29:27     -436.851373        0.428217
FIRE:   29 22:29:27     -436.965060        0.372926
FIRE:   30 22:29:27     -437.057289        0.325000
FIRE:   31 22:29:27     -437.137822        0.405283
FIRE:   32 22:29:28     -437.208642        0.310906
FIRE:   33 22:29:28     -437.254365        0.338051
FIRE:   34 22:29:28     -437.290537        0.311918
FIRE:   35 22:29:28     -437.302510        0.440147
FIRE:   36 22:29:29     -437.318313        0.354656
FIRE:   37 22:29:29     -437.339243        0.226523
FIRE:   38 22:29:29     -437.350642        0.176389
FIRE:   39 22:29:29     -437.358623        0.236397
FIRE:   40 22:29:29     -437.362286        0.176989
FIRE:   41 22:29:30     -437.364434        0.153917
FIRE:   42 22:29:30     -437.365766        0.204630
FIRE:   43 22:29:30     -437.369179        0.191031
FIRE:   44 22:29:30     -437.372773        0.113955
FIRE:   45 22:29:31     -437.375026        0.190671
FIRE:   46 22:29:31     -437.378189        0.156980
FIRE:   47 22:29:31     -437.382213        0.120063
FIRE:   48 22:29:31     -437.385455        0.209900
FIRE:   49 22:29:32     -437.391523        0.116241
FIRE:   50 22:29:32     -437.397018        0.158002
FIRE:   51 22:29:32     -437.404613        0.090617
FIRE:   52 22:29:32     -437.410955        0.181143
FIRE:   53 22:29:32     -437.417588        0.131799
FIRE:   54 22:29:33     -437.423542        0.113628
FIRE:   55 22:29:33     -437.428896        0.186735
FIRE:   56 22:29:33     -437.433550        0.353438
FIRE:   57 22:29:33     -437.437292        0.063949
FIRE:   58 22:29:34     -437.435823        0.330076
FIRE:   59 22:29:34     -437.436978        0.249102
FIRE:   60 22:29:34     -437.438147        0.111544
FIRE:   61 22:29:34     -437.438646        0.053785
FIRE:   62 22:29:35     -437.438651        0.053737
FIRE:   63 22:29:35     -437.438657        0.053383
FIRE:   64 22:29:35     -437.438742        0.052956
FIRE:   65 22:29:35     -437.438795        0.052574
FIRE:   66 22:29:36     -437.438901        0.052328
FIRE:   67 22:29:36     -437.439031        0.051885
FIRE:   68 22:29:36     -437.439129        0.051444
FIRE:   69 22:29:36     -437.439273        0.050870
FIRE:   70 22:29:36     -437.439424        0.050159
FIRE:   71 22:29:37     -437.439644        0.049493
FIRE:   72 22:29:37     -437.439949        0.048828
FIRE:   73 22:29:37     -437.440225        0.047562
FIRE:   74 22:29:37     -437.440575        0.046233
FIRE:   75 22:29:38     -437.441002        0.044367
FIRE:   76 22:29:38     -437.441521        0.042348
FIRE:   77 22:29:38     -437.442085        0.039702
FIRE:   78 22:29:38     -437.442716        0.036765
FIRE:   79 22:29:39     -437.443497        0.034439
FIRE:   80 22:29:39     -437.444424        0.032676
FIRE:   81 22:29:39     -437.445433        0.032427
FIRE:   82 22:29:39     -437.446629        0.033247
FIRE:   83 22:29:39     -437.447992        0.031230
FIRE:   84 22:29:40     -437.449560        0.027407
FIRE:   85 22:29:40     -437.451406        0.023441
FIRE:   86 22:29:40     -437.453372        0.033043
FIRE:   87 22:29:40     -437.455604        0.046943
FIRE:   88 22:29:41     -437.457873        0.107313
FIRE:   89 22:29:41     -437.459247        0.225028
FIRE:   90 22:29:41     -437.460820        0.022637
FIRE:   91 22:29:41     -437.459812        0.198924
FIRE:   92 22:29:42     -437.460350        0.154517
FIRE:   93 22:29:42     -437.460895        0.076007
FIRE:   94 22:29:42     -437.461047        0.024638
FIRE:   95 22:29:42     -437.461044        0.024240
FIRE:   96 22:29:42     -437.461021        0.023262
FIRE:   97 22:29:43     -437.461087        0.023063
FIRE:   98 22:29:43     -437.461128        0.022161
FIRE:   99 22:29:43     -437.461144        0.021198
FIRE:  100 22:29:43     -437.461099        0.019425
