E-VBM_eV,comp1_total_perfu,modelc_total_perfu
-4.220,14.7617,10.4532
-4.210,14.4414,8.8010
-4.200,14.5199,6.2958
-4.190,16.8305,5.1792
-4.180,16.1319,5.3848
-4.170,14.9752,5.8672
-4.160,17.6100,5.7684
-4.150,19.4129,5.2542
-4.140,19.4114,5.1452
-4.130,17.9869,5.1518
-4.120,13.5699,5.3218
-4.110,9.5847,5.7424
-4.100,8.3856,6.1234
-4.090,8.0016,6.5486
-4.080,8.1972,8.4082
-4.070,8.7233,9.0998
-4.060,8.9198,7.0892
-4.050,8.2851,5.2062
-4.040,7.9779,3.8554
-4.030,8.0262,2.2395
-4.020,8.2506,0.6482
-4.010,7.9785,0.0671
-4.000,6.6958,0.0000
-3.990,5.5105,0.0000
-3.980,5.0392,0.0000
-3.970,4.8040,0.0000
-3.960,4.7662,0.0000
-3.950,4.6489,0.0000
-3.940,4.3897,0.0000
-3.930,3.8169,0.0000
-3.920,1.8751,0.0000
-3.910,0.0000,0.0000
-3.900,0.0000,0.0000
-3.890,0.0000,0.0000
-3.880,0.0000,0.0000
-3.870,0.0000,0.0000
-3.860,0.0000,0.0000
-3.850,0.0000,0.0000
-3.840,0.0000,0.0000
-3.830,0.0000,0.0000
-3.820,0.0000,0.0000
-3.810,0.0000,0.0000
-3.800,0.0000,0.0000
-3.790,0.0000,0.0000
-3.780,0.0000,0.0000
-3.770,0.0000,0.0000
-3.760,0.0000,0.0000
-3.750,0.0000,0.0000
-3.740,0.0000,0.0000
-3.730,0.0000,0.0000
-3.720,0.0000,0.0000
-3.710,0.0000,0.0000
-3.700,0.0000,0.0000
-3.690,0.0000,0.0000
-3.680,0.0000,0.0000
-3.670,0.0000,0.0000
-3.660,0.0000,1.0960
-3.650,0.0000,2.9092
-3.640,0.0000,4.6764
-3.630,0.0000,5.8356
-3.620,0.0000,6.5102
-3.610,0.0000,9.1256
-3.600,0.0000,7.1618
-3.590,0.0000,1.6643
-3.580,0.0000,0.0903
-3.570,0.0000,0.0000
-3.560,0.0000,0.0000
-3.550,0.0000,0.0000
-3.540,0.0000,0.0000
-3.530,0.0000,0.0000
-3.520,0.0000,0.0000
-3.510,0.0000,0.0000
-3.500,0.0001,0.0000
-3.490,0.0421,0.0000
-3.480,0.5149,0.0000
-3.470,1.5631,2.4688
-3.460,2.4494,7.7132
-3.450,2.9720,9.0588
-3.440,3.5424,6.7404
-3.430,4.4767,4.6002
