orbital,comp1_VBM_%,modelc_VBM_%,comp1_CBM_%,modelc_CBM_%
S,90.5,91.7,50.8,49.9
P,0.3,0.2,28.5,29.2
Li,7.4,6.3,13.5,12.6
Cl,1.2,1.3,0.1,1.0
