E-EF_eV,total,Cl,Li,P,S
6.420,7.2015,0.1895,4.1684,0.1433,0.6570
6.430,6.9997,0.1838,4.0489,0.1395,0.6385
6.440,6.7897,0.1779,3.9250,0.1355,0.6193
6.450,6.5723,0.1719,3.7969,0.1314,0.5993
6.460,6.3481,0.1657,3.6651,0.1271,0.5788
6.470,6.1179,0.1593,3.5300,0.1228,0.5578
6.480,5.8825,0.1529,3.3921,0.1183,0.5362
6.490,5.6428,0.1463,3.2519,0.1137,0.5143
6.500,5.3998,0.1398,3.1099,0.1091,0.4921
6.510,5.1544,0.1331,2.9668,0.1044,0.4697
6.520,4.9078,0.1265,2.8231,0.0997,0.4472
6.530,4.6608,0.1199,2.6794,0.0949,0.4247
6.540,4.4146,0.1134,2.5362,0.0901,0.4022
6.550,4.1701,0.1069,2.3943,0.0854,0.3799
6.560,3.9284,0.1005,2.2540,0.0807,0.3579
6.570,3.6904,0.0942,2.1161,0.0760,0.3362
6.580,3.4569,0.0881,1.9809,0.0714,0.3149
6.590,3.2289,0.0821,1.8491,0.0669,0.2941
6.600,3.0071,0.0763,1.7209,0.0625,0.2739
6.610,2.7923,0.0707,1.5968,0.0583,0.2543
6.620,2.5851,0.0653,1.4773,0.0541,0.2355
6.630,2.3859,0.0602,1.3625,0.0501,0.2173
6.640,2.1954,0.0553,1.2528,0.0463,0.2000
6.650,2.0138,0.0506,1.1483,0.0426,0.1834
6.660,1.8414,0.0462,1.0492,0.0391,0.1677
6.670,1.6784,0.0420,0.9556,0.0358,0.1529
6.680,1.5250,0.0381,0.8675,0.0326,0.1389
6.690,1.3811,0.0344,0.7850,0.0297,0.1258
6.700,1.2468,0.0310,0.7081,0.0269,0.1135
6.710,1.1218,0.0278,0.6365,0.0243,0.1021
6.720,1.0060,0.0249,0.5703,0.0219,0.0916
6.730,0.8992,0.0222,0.5093,0.0196,0.0819
6.740,0.8010,0.0197,0.4532,0.0175,0.0729
6.750,0.7111,0.0175,0.4020,0.0156,0.0647
6.760,0.6292,0.0154,0.3553,0.0139,0.0573
