quantity,unit,comp1_LPSCl,modelc_LPSCl1.6,note
band_gap_eigenvalue,eV,2.066,2.099,"CBM-VBM, smearing-independent"
VBM_abs,eV,2.128,2.445,DFT eigenvalue frame (uncalibrated)
CBM_abs,eV,4.194,4.544,
EF_abs,eV,3.724,3.487,in-gap
VBM_minus_EF,eV,-1.596,-1.042,EF placement differs
CBM_minus_EF,eV,0.47,1.057,
N(EF),states/eV/f.u.,0.0,0.0,clean insulator both
VBM_char_S,%,90.5,91.7,top 0.4 eV of valence
VBM_char_P,%,0.3,0.2,top 0.4 eV of valence
VBM_char_Li,%,7.4,6.3,top 0.4 eV of valence
VBM_char_Cl,%,1.2,1.3,top 0.4 eV of valence
CBM_char_S,%,50.8,49.9,bottom 0.4 eV of conduction
CBM_char_P,%,28.5,29.2,bottom 0.4 eV of conduction
CBM_char_Li,%,13.5,12.6,bottom 0.4 eV of conduction
CBM_char_Cl,%,0.1,1.0,bottom 0.4 eV of conduction
valence_band_width,eV,4.844,5.108,VBM to upper-valence bottom
valence_center_S,eV,-3.231,-2.881,"1st moment, E<VBM"
valence_center_P,eV,-5.711,-5.318,"1st moment, E<VBM"
valence_center_Li,eV,-3.583,-3.347,"1st moment, E<VBM"
valence_center_Cl,eV,-4.417,-3.858,"1st moment, E<VBM"
valence_peak_S,eV,-3.51,-1.52,max-PDOS energy
valence_peak_P,eV,-5.73,-5.28,max-PDOS energy
valence_peak_Li,eV,-4.56,-4.0,max-PDOS energy
valence_peak_Cl,eV,-4.56,-3.97,max-PDOS energy
