system,VBM_E-EF,CBM_E-EF,gap_eV,EF_abs_eV,VBM_abs,CBM_abs
comp1_LPSCl,-1.596,0.47,2.066,3.724,2.128,4.194
modelc_LPSCl1.6,-1.042,1.057,2.099,3.487,2.445,4.544
