sigma_NCM_S_cm,sigma_SDCP_S_cm,R_mean,R_minus_3SD,rel_spread_pct,SD,value_used
0.000333,2.5,1.0578,1.0522,0.177,0.001872,0
0.000333,250,1.3403,1.3368,0.089,0.001193,0
0.000333,25000,1.3530,1.3493,0.0909,0.001230,0
0.01,2.5,1.0668,1.0624,0.138,0.001472,0
0.01,250,1.3078,1.3047,0.0805,0.001053,1
0.01,25000,1.3185,1.3153,0.0818,0.001079,0
0.3,2.5,1.0666,1.0653,0.0405,0.000432,0
0.3,250,1.1979,1.1962,0.0481,0.000576,0
0.3,25000,1.2035,1.2017,0.0487,0.000586,0
