sigma_NCM (S cm-1),R at sigma_SDCP 2.5 S cm-1,R at sigma_SDCP 250 S cm-1,R at sigma_SDCP 25000 S cm-1
0.000333,1.0578,1.3403,1.3530
0.01,1.0668,1.3078,1.3185
0.3,1.0666,1.1979,1.2035
