bed,arm_index,sigma_e_mS_cm
SBE,0,54.530440
SBE,1,54.245044
SBE,2,53.620718
SBE,3,53.822913
SBE,4,53.827423
SBE,5,54.148353
SBE,6,53.931372
SBE,7,53.768275
DBE,0,71.400440
DBE,1,70.970754
DBE,2,70.042671
DBE,3,70.531871
DBE,4,70.537982
DBE,5,70.919026
DBE,6,70.203913
DBE,7,70.235262
