x,corr_with_ref,scale_vs_ref,max_abs_mV_per_unit
0.02,0.9911027941494216,0.8989180292115402,38.13878023437578
0.04,0.9954792995353063,0.8917851941250785,37.86786166314337
0.06,0.9987740937721563,0.8527509709874049,37.23846923410583
0.08,0.9990760946089992,0.8637348953953757,37.58738221696367
0.1,0.9995148097593783,0.8949756501804519,38.395070797569986
0.12,0.9995462283317738,0.9215495030742216,38.99595738901714
0.14,0.9997884837547809,0.9417616001281452,39.7043685947824
0.16,0.999888502649017,0.9543946656013793,40.07581389706139
0.18,0.9999481583036357,0.980620506796724,40.74022913514873
0.2,0.9999999999999998,1.0,41.353583886420964
