reference,mae_mV,max_abs_mV,mean_signed_mV,frac_positive,n_valid
grid (창 정규화·유한전류),0.0,0.0,0.0,0.0,288
halfcell (전극 전체) — 1g 의 C,175.3203429794439,475.24135114735964,174.01047694827577,0.9548611111111112,288
★ 셀 창 재정규화 (이번 판),18.678478370222734,53.92622006353554,18.678478370222734,1.0,288
