window,start_s_exact,end_s_exact,count,sum_h_s_exact,min_h_s_exact,median_h_s_exact,mean_h_s_decimal_40_digits,max_h_s_exact,p10_h_s_exact,p90_h_s_exact,target_cap_s_exact,target_existing_exceed_count,cap_0p05_existing_exceed_count,target_geometric_minimum_intervals
0p1_to_1,0.1,1,98,0.90000000000000000,0.000125,0.01,0.009183673469387755102040816326530612244898,0.01,0.005,0.01,0.005,87,0,180
1_to_5,1,5,81,4.00,0.02,0.05,0.04938271604938271604938271604938271604938,0.05,0.05,0.05,0.025,80,0,160
