Si_source,state,gamma_init,a_PE,b_PE,a_NE,b_NE,gamma_Si,LAM_PE_pct,LAM_NE_pct,LLI_pct,c_cell
Baggetto,pristine,0.348099184619588,1.04146086972467,0,1,-0.0196974286305677,0,0,0,0,74.671
Baggetto,100,0.305729255758848,1.04789285700364,0,1,-0.0133043648972807,0,3.47874289357089,4.07119229687564,4.06767360476807,71.631
Baggetto,200,0.31791943478645,1.04393879110258,-0.0192771312149907,1,-0.0157426780225961,0,6.60828365482328,6.82996076120583,8.65216515052486,69.571
Baggetto,300_0009,0.00496361634816953,1.146315321009,-0.124583498481643,1,-0.0175779168505456,0,6.07419204580725,14.665666724699,16.4226451286248,63.72
Friedrich,pristine,0.10197873529507,1.04222745653463,0,1,-0.0309815480694693,0,0,0,0,74.671
Friedrich,100,0.415075317403608,1.04955157723136,0,1,-0.0223738051718659,0,3.39706481970617,4.07119229687564,4.18592889221114,71.631
Friedrich,200,0.444694048952253,1.02166336822687,0,1,-0.0294836059168767,0,8.6682897195643,6.82996076120583,8.74526359118596,69.571
Friedrich,300_0009,0.00248788288322507,1.12622204979812,-0.106756699083322,1,-0.0311434662261417,0,7.78845142017987,14.665666724699,16.4626810414432,63.72
Jiang,pristine,0.194676383726226,1.07021106573369,-0.0182013479843153,1.00464859742761,0.0078777229465566,0.270523563624728,0,0,0,74.671
Jiang,100,0.281168088069154,1.05571697425662,0,1.00928085710183,0.00763188241522844,0.315125483526556,5.37037612953572,3.62888127523342,3.70800460841013,71.631
Jiang,200,0.310505583307505,1.07713895338957,-0.0393860583793435,1.03473754849923,0.0075411910509578,0.314886528643747,6.22683527932004,4.03954353554568,8.07209686139688,69.571
Jiang,300_0009,0.017811730833734,1.16961610878653,-0.132368571953363,1.10916301056298,0.00628796160119325,0.196438690475106,6.73950772231457,5.7882664223423,15.7422160951768,63.72
Kunz,pristine,0.251211311276482,1.09778887564449,-0.038349300832902,1.05856256712333,-0.0134554035097742,0.260566197696151,0,0,0,74.671
Kunz,100,0.24306598176864,1.05469088380576,0,1.08275938391404,-0.0159976822215279,0.270332562329643,7.83725247767414,1.87843406317812,4.26847022710058,71.631
Kunz,200,0.263496279936521,1.09950784070177,-0.0564555100433174,1.11219109251465,-0.0156091596160527,0.264251690080693,6.68407110483343,2.10981292090699,8.06599473156246,69.571
Kunz,300_0009,0.0142899522072215,1.19005698943514,-0.147222799135987,1.16231646675405,-0.0148747430040684,0.18695890953467,7.49339694899006,6.30171156070661,15.8735119033012,63.72
Li,pristine,0.276052906836544,1.07721771526162,-0.022949070570587,1.00134241572718,0.000308541883531386,0.295099207554004,0,0,0,74.671
Li,100,0.27626890847639,1.05465139553593,0,1.04421064880068,-9.7565179753274e-05,0.293564969680775,6.08077690996118,-0.0355931767964333,3.9993924266742,71.631
Li,200,0.294647794734852,1.08124780356795,-0.0421871358928435,1.03083048213515,2.04775159338313e-05,0.31232070788223,6.48139289018261,4.08623967124191,8.14888056014381,69.571
Li,300_0009,0.0134446323920277,1.1814719622472,-0.141171014752647,1.08075906285671,-0.000770548188788608,0.239473814588803,6.40692150394054,7.89778540126909,15.7091983468711,63.72
Lu,pristine,0.246718956849759,1.09303101859392,-0.0351080923917107,1,-0.00215427187230533,0.236826184695933,0,0,0,74.671
Lu,100,0.234299260813796,1.05577254367761,0,1,-0.00280019319068476,0.254744812011945,7.34114622751117,4.07119229687564,4.20733442879753,71.631
Lu,200,0.241076621782353,1.09805624281154,-0.0547081868090957,1.02262674646991,-0.00258554649035906,0.254608479973778,6.40161030309891,4.72182590475824,8.07303943294676,69.571
Lu,300_0009,0.0137108281653498,1.19519035075077,-0.151148818176125,1.07547204286446,-0.00388549039874601,0.193072242100681,6.68995665869384,8.22531026593555,15.6437342591345,63.72
Sethuraman,pristine,0.0543107684126217,1.04570494948698,-0.000612970979265462,1.0645475525784,-0.00198420374919115,0.308069648084863,0,0,0,74.671
Sethuraman,100,0.0895044400613277,1.05439882054255,0,1.10394482862869,-0.00214541436689176,0.308364353531603,3.27365118827305,0.521013905030488,3.20376830460218,71.631
Sethuraman,200,0.114570392222606,1.05510546427264,-0.0236865476679956,1.12220817120834,-0.00248692862870399,0.295973464935604,5.99239531612105,1.78345805940275,8.00187245021823,69.571
Sethuraman,300_0009,0.0270646315848622,1.15590028179891,-0.121865879317822,1.15331583136902,-0.00339774533648289,0.248996427925372,5.67322079862632,7.54998469786375,15.451633651376,63.72
Wetjen,pristine,0.0473653680641577,1.04276143155456,0,1.4,-0.00543320446459423,0.313823409326759,0,0,0,74.671
Wetjen,100,0.499999637199705,1.05661686887267,0,1.4,-0.00482765088840351,0.284359014612381,2.79656174197464,4.07119229687563,2.85858778060505,71.631
Wetjen,200,0.359700744395978,1.03152290477339,-0.00447480867849461,1.4,-0.00650569215055251,0.239037626401889,7.83411564218016,6.82996076120584,8.13133010110765,69.571
Wetjen,300_0009,8.36615314010648e-05,1.13216892207068,-0.102513856029879,1.38187891347044,-0.00753708189339523,0.198219196386947,7.34900889469375,15.770203037002,15.5613877605028,63.72
