track,state,a_PE,b_PE,a_NE,b_NE,gamma_Si,LAM_PE_pct,LAM_NE_pct,LLI_pct
TrackA,pristine,1.11183427943207,-0.0498224226809882,1.02104578089887,-0.0101771992759195,NaN,0,0,0
TrackA,100,1.05304842812916,-0.00055748338971013,1.00032209233667,-0.00960065980902682,NaN,9.14322212148402,6.01821443062592,4.97461177847749
TrackA,200,1.11065962530955,-0.0655357252954221,1.02286948183659,-0.00691837614575824,NaN,6.92839500874766,6.66354874412894,8.58065599559842
TrackA,300_0009,1.13427896789401,-0.106156398754309,1.18137344071159,0,NaN,12.9430156417968,1.26621470045861,18.1728693557785
TrackB,pristine,1.07561423059484,-0.022567972422469,1.01779236088799,0.000427600988158059,0.27605303435667,0,0,0
TrackB,100,1.08517697398194,-0.0410288159469831,1.05877486769218,-0.000291684620718362,0.276268903542501,3.21833767167386,0.20851542339079,4.81655617656042
TrackB,200,1.07340132455727,-0.0390751469235102,1.05780047176706,7.63280096438511e-06,0.294647806989257,7.02164337053462,3.16756614741539,8.44975172179582
TrackB,300_0009,1.1193024243383,-0.0966215867082651,1.22619918314869,-0.00279594951109074,0.0200003418094641,11.1996444473263,-2.80769809022764,16.8660204502989
TrackC,pristine,1.07703903514466,-0.0228201795838546,1.00132994951768,0.000308574976630532,0.295127176759318,0,0,0
TrackC,100,1.0857615114182,-0.0412578594702202,1.04802373134973,-0.000334669401488798,0.28722854390201,3.29430610999142,-0.402137218990037,4.8969383294837
TrackC,200,1.07533718677729,-0.0403909277602901,1.03072413424979,7.08898704848087e-05,0.312617859534907,6.97718038277199,4.09494085472913,8.51272586771031
TrackC,300_0009,1.16822897196059,-0.133906716083393,1.08010019813697,-0.00070737892581526,0.23950886273828,7.44064311303516,7.9527878668415,16.194418601614
