method,state,a_PE,b_PE,a_NE,b_NE,LAM_PE_pct,LAM_NE_pct,LLI_pct,c_cell
method1_기존,pristine,1.12681829327357,-0.0613902088860253,1.02067979404961,-0.00913571830018137,0,0,0,74.671
method1_기존,100,1.05841322108232,-0.00103919319940314,1,-0.0105750002027778,9.8946840304794,6.01478714247768,4.66170859680125,71.631
method1_기존,200,1.11896628106027,-0.072065274000623,1.02166948416169,-0.00624839109458251,7.47919790119803,6.73961953262965,8.68669640190961,69.571
method1_기존,300_0009,1.14154401903104,-0.158026695942775,1.4,0,13.5504824957863,-17.0475474109513,21.8959406407289,63.72
method2_양극피크추가,pristine,1.12425031328788,-0.0594633230002436,1.02078440556441,-0.00919806060990704,0,0,0,74.671
method2_양극피크추가,100,1.05711441078664,0,1,-0.0106593354602349,9.79969155090983,6.0244188878612,4.62598870574716,71.631
method2_양극피크추가,200,1.11479780890086,-0.0687082126331348,1.0217483262682,-0.00631614808506138,7.61331851902389,6.74198084173772,8.70200249571661,69.571
method2_양극피크추가,300_0009,1.14104600972661,-0.157637359003608,1.4,0,13.3908175736213,-17.0355522029802,21.862486375877,63.72
method3_dqdv제외,pristine,1.11341241672898,-0.0509738521872148,1.02068174019004,-0.0099722766349411,0,0,0,74.671
method3_dqdv제외,100,1.05361822224445,-0.00102082890988386,1.00012590525893,-0.00953321554904876,9.22290939494888,6.00313313468906,4.99077496885366,71.631
method3_dqdv제외,200,1.11296336111027,-0.0671941224657218,1.02208225770772,-0.00654532401686846,6.86753760962863,6.70211848977147,8.57590642487395,69.571
method3_dqdv제외,300_0009,1.13338922521056,-0.105685657819241,1.1813975762778,0,13.1346009604495,1.22898202729429,18.2231330002602,63.72
