time_s_exact,electrode,sample_index,coordinate_first_m,coordinate_second_m,native_query_coordinate_first_m,native_query_coordinate_second_m,x_surface_first,x_surface_second,x_surface_difference_second_minus_first,x_particle_average_first,x_particle_average_second,x_particle_average_difference_second_minus_first,Eeq_V_first,Eeq_V_second,Eeq_V_difference_second_minus_first,etaMid_V_first,etaMid_V_second,etaMid_V_difference_second_minus_first,phil_V_first,phil_V_second,phil_V_difference_second_minus_first
1,N,0,0.0,0.0,0,0,0.012586031697003426,0.012586031839150982,1.42147556E-10,0.011746260423918454,0.011746260428561594,4.643140E-12,1.358798303538195,1.358798294625923,-8.912272E-9,-0.0534337273585086,-0.05343371844659783,8.91191077E-9,-1.3053645761796864,-1.305364576179325,3.614E-13
1,N,1,2.1666666666666665E-7,2.1666666666666665E-7,2.1666666666666665E-7,2.1666666666666665E-7,0.012586031004887954,0.012586030863044372,-1.41843582E-10,0.011746260401288464,0.011746260396655363,-4.633101E-12,1.3587983469319844,1.3587983558251977,8.8932133E-9,-0.05343367385004294,-0.05343368274360705,-8.89356411E-9,-1.305364548262601,-1.3053645482622502,3.508E-13
1,N,2,4.333333333333333E-7,4.333333333333333E-7,4.333333333333333E-7,4.333333333333333E-7,0.012586030312772485,0.012586030454328611,1.41556126E-10,0.011746260378658481,0.0117462603832823,4.623819E-12,1.3587983903257739,1.358798381450583,-8.8751909E-9,-0.05343367669395893,-0.05343366781912984,8.87482909E-9,-1.3053644645116436,-1.3053644645112819,3.617E-13
1,N,3,6.5E-7,6.5E-7,6.5E-7,6.5E-7,0.012586030754248748,0.012586030612998208,-1.41250540E-10,0.011746260393055919,0.011746260388442202,-4.613717E-12,1.3587983626463926,1.3587983715024239,8.8560313E-9,-0.0534336648167677,-0.05343367367315066,-8.85638296E-9,-1.3053643249271316,-1.30536432492678,3.516E-13
1,N,4,8.666666666666666E-7,8.666666666666666E-7,8.666666666666666E-7,8.666666666666666E-7,0.012586031198085226,0.012586031339048908,1.40963682E-10,0.011746260407530443,0.011746260412134907,4.604464E-12,1.3587983348190318,1.358798325980986,-8.8380458E-9,-0.053433709143299035,-0.05343370030561467,8.837684365E-9,-1.3053641295094267,-1.3053641295090652,3.615E-13
1,N,5,0.0000010833333333333333,0.0000010833333333333333,0.0000010833333333333333,0.0000010833333333333333,0.012586032773136207,0.012586032632477127,-1.40659080E-10,0.011746260458954725,0.011746260454360318,-4.594407E-12,1.3587982360675466,1.3587982448864948,8.8189482E-9,-0.05343373889716618,-0.053433747716465474,-8.819299294E-9,-1.3053638782587713,-1.3053638782584203,3.510E-13
1,N,6,0.0000013,0.0000013,0.0000013,0.0000013,0.01258603435290755,0.012586034493280135,1.40372585E-10,0.011746260510533188,0.011746260515118335,4.585147E-12,1.358798137020107,1.3587981282191213,-8.8009857E-9,-0.053433824706253574,-0.05343381590562957,8.800624004E-9,-1.3053635711754512,-1.3053635711750895,3.617E-13
1,N,7,0.0000015166666666666664,0.0000015166666666666664,0.0000015166666666666664,0.0000015166666666666664,0.012586037061524264,0.012586036921456014,-1.40068250E-10,0.01174626059898404,0.011746260594408926,-4.575114E-12,1.3587979671970807,1.3587979759789854,8.7819047E-9,-0.05343389609076632,-0.05343390487302235,-8.78225603E-9,-1.3053632082596305,-1.3053632082592792,3.513E-13
1,N,8,0.0000017333333333333332,0.0000017333333333333332,0.0000017333333333333332,0.0000017333333333333332,0.012586039777221461,0.012586039917003628,1.39782167E-10,0.01174626068766619,0.011746260692232061,4.565871E-12,1.3587977969301273,1.358797788166159,-8.7639683E-9,-0.05343402338215664,-0.05343401461854991,8.76360673E-9,-1.3053627895115172,-1.3053627895111557,3.615E-13
1,N,9,0.00000195,0.00000195,0.00000195,0.00000195,0.012586043619400949,0.012586043479922674,-1.39478275E-10,0.011746260813143634,0.011746260808587775,-4.555859E-12,1.358797556035746,1.3587975647806607,8.7449147E-9,-0.053434136396838916,-0.05343414514210498,-8.745266064E-9,-1.3053623149311977,-1.3053623149308464,3.513E-13
