time_s_exact,V_first_V,V_second_V,delta_V_second_minus_first_V,delta_Eeq_V_first,delta_Eeq_V_second,delta_Eeq_V_difference,delta_etaMid_V_first,delta_etaMid_V_second,delta_etaMid_V_difference,delta_phiL_V_first,delta_phiL_V_second,delta_phiL_V_difference,difference_identity_residual_V
0.001,2.2319132688961187,2.2319132689067698,1.06511E-11,2.1666556510987564,2.1666556515823181,4.835617E-10,0.062693442170475233,0.062693441703377098,-4.67098135E-10,0.0025641756268875,0.0025641756210747,-5.8128E-12,3.35E-16
0.0012500000000000002,2.2321446976302592,2.2321446976410306,1.07714E-11,2.1668907198695615,2.1668907204352596,5.656981E-10,0.062689707118045003,0.062689706568429984,-5.49615019E-10,0.0025642706426527,0.0025642706373412,-5.3115E-12,-1.81E-16
0.002,2.232716843842164,2.232716843852292,1.0128E-11,2.167471958364546,2.1674719591302936,7.657476E-10,0.062680360527308521,0.062680359775670657,-7.51637864E-10,0.0025645249503092,0.0025645249463278,-3.9814E-12,-3.36E-16
0.04,2.241136813615726,2.241136813617641,1.915E-12,2.1760366995026085,2.1760367028103788,3.3077703E-9,0.062527746185077724,0.062527742879930014,-3.305147710E-9,0.0025723679280397,0.0025723679273324,-7.073E-13,-2.90E-16
0.1,2.247325796818113,2.2473257968193328,1.2198E-12,2.1823398487585679,2.1823398535540734,4.7955055E-9,0.062402897515434708,0.062402892721604708,-4.793830000E-9,0.0025830505441105,0.0025830505436548,-4.557E-13,0E-18
0.22,2.255482999380483,2.2554829993813246,8.416E-13,2.1906522133677373,2.1906522197666309,6.3988936E-9,0.062227390509322687,0.062227384111581241,-6.397741446E-9,0.0026033955034230,0.002603395503112,-3.110E-13,4.46E-16
1,2.2840593457448137,2.284059345745263,4.493E-13,2.2197671933338202,2.2197672034329498,1.00991296E-8,0.061563173102156865,0.061563163003629073,-1.0098527792E-8,0.0027289793088370,0.0027289793086839,-1.531E-13,5.92E-16
1.7,2.3005995217649353,2.3005995217653314,3.961E-13,2.2365947275186431,2.2365947390144505,1.14958074E-8,0.06116643298316915,0.061166421487882208,-1.1495286942E-8,0.0028383612631229,0.0028383612629992,-1.237E-13,-6.58E-16
5,2.352176319533885,2.3521763195342085,3.235E-13,2.2888963191760023,2.2888963336057886,1.44297863E-8,0.059942442102010052,0.059942427672580842,-1.4429429210E-8,0.0033375582558730,0.0033375582558388,-3.42E-14,6.10E-16
