op,sigma,mode,sd_free_pp,sd_augmented_pp,sd_constrained_pp
pristine,σ = 1 mV,LLI,0.09649231957750391,0.09345829744371344,0.0305559618850962
pristine,σ = 1 mV,LAM_PE,0.0940514780131142,0.09149985512040955,0.04118873527991445
pristine,σ = 1 mV,LAM_NE,0.06582956530923732,0.06397303057949591,0.01714102009834864
pristine,σ = 5 mV,LLI,0.4820763990069705,0.46691840020282377,0.15265782953771614
pristine,σ = 5 mV,LAM_PE,0.46988193506352255,0.45713400671933146,0.20577925031063046
pristine,σ = 5 mV,LAM_NE,0.3288850338703014,0.3196097715378807,0.0856366732658017
pristine,—,(제약 편향 ‖Δθ‖),,,0.0
22p 근방,σ = 1 mV,LLI,0.0881675708172638,0.08333254316449533,0.01027198723464745
22p 근방,σ = 1 mV,LAM_PE,0.08024162707660455,0.0757135528698509,0.0026798428692245274
22p 근방,σ = 1 mV,LAM_NE,0.09971912121587986,0.0947439504661128,0.008992027150475649
22p 근방,σ = 5 mV,LLI,0.44048588773575104,0.41633005097950454,0.05131893023617278
22p 근방,σ = 5 mV,LAM_PE,0.4008878095264295,0.3782655146371992,0.013388516370596787
22p 근방,σ = 5 mV,LAM_NE,0.4981975257551842,0.4733415329674257,0.04492423943640829
22p 근방,—,(제약 편향 ‖Δθ‖),,,8.884060159285422
