point,rank,sv,alpha_PE,beta_PE,alpha_NE,beta_NE
pristine,1,45.692232612873944,0.07700823497600838,0.09480929256438468,0.6844002897346754,0.7188025968236432
pristine,2,12.532214550357407,0.33528678182109733,0.9308076136057198,-0.14391101326324016,-0.021669809672070026
pristine,3,2.4135712517107786,0.9123525730105118,-0.3528184851480789,-0.1735642717351636,0.11404973755320917
pristine,4,1.3027260846902589,0.22195785231216858,0.011291635615806652,0.6933695315267916,-0.6854530644124419
22p 근방,1,22.632248571434996,0.1984425561758442,0.283922417415768,0.6102487666994567,0.7124640731496399
22p 근방,2,10.899947870313545,0.29346182766768925,0.8942387340548213,-0.26143269255649254,-0.2141732697622011
22p 근방,3,1.778390312868993,0.9289166098764524,-0.345449920748158,-0.13315035914813786,-0.007018974957336575
22p 근방,4,1.0717937906698658,0.10777123686761149,0.01973574573986129,0.7358806777346285,-0.6681882137399164
