point,step,n_valid,sv1,sv2,sv3,sv4,cond,sv1_over_sv1,sv2_over_sv1,sv3_over_sv1,sv4_over_sv1
pristine,0.002,298,49.46958103059913,12.820240475878029,2.5678144989351748,1.6613687621769264,29.776400132730373,1.0,0.2591540136139043,0.05190693847491588,0.03358364327260617
pristine,0.005,296,45.69223261287394,12.532214550357414,2.41357125171078,1.302726084690259,35.07432080300894,1.0,0.2742745064907689,0.0528223532467693,0.028510887085066876
pristine,0.01,294,42.26434651334669,12.360052391320885,2.3224695255804737,1.1738951878181074,36.00350947166116,1.0,0.2924463149434404,0.054951033605761763,0.02777507011607058
22p 근방,0.002,299,23.171372259205782,10.948784879419309,1.792387010132909,1.5018108940914003,15.428954704196979,1.0,0.47251344274914286,0.07735351148315393,0.06481320472915643
22p 근방,0.005,297,22.632248571435003,10.89994787031354,1.7783903128689937,1.0717937906698658,21.116234082014937,1.0,0.4816113536359249,0.07857771211975667,0.047356929086693415
22p 근방,0.01,295,22.14803846877055,10.841229570609974,1.7635470693095552,0.9207712094130496,24.053791259273773,1.0,0.48948937784700247,0.07962542921334607,0.04157348790554823
