cathode,voltage_V,x_Nd,species,control,mixing_x,mixing_x_control,delta_x,tm_phosphate_share,tm_phosphate_share_control,protection_observed,P_taken_by_Nd,k_observed,nd_phases,P_to_thiophosphate,gate_pass,gate_fail_reason
LiCoO2,2.5,0.02,ndP002,liMatch002,0.59272,0.592331,0.000389,0.0,0.0,,0.020408,1.0,NdPO4,,True,
LiCoO2,2.5,0.05,ndP005,liMatch005,0.595238,0.594272,0.000966,0.0,0.0,,0.052632,1.0,NdPO4,,True,
LiCoO2,2.5,0.1,ndP010,liMatch010,0.599429,0.597514,0.001915,0.0,0.0,,0.111111,1.0,NdPO4,,True,
LiCoO2,2.5,0.15,ndP015,liMatch015,0.603612,0.600766,0.002846,0.0,0.0,,0.176489,1.0,NdPO4,,True,
LiCoO2,2.5,0.2,ndP020,liMatch020,0.607787,0.604027,0.00376,0.0,0.0,,0.249962,1.0,NdPO4,,True,
LiCoO2,3.0,0.02,ndP002,liMatch002,0.598192,0.59792,0.000272,0.0,0.0,,0.020411,1.0,NdPO4,,True,
LiCoO2,3.0,0.05,ndP005,liMatch005,0.600384,0.599711,0.000673,0.0,0.0,,0.052615,1.0,NdPO4,,True,
LiCoO2,3.0,0.1,ndP010,liMatch010,0.604027,0.6027,0.001327,0.0,0.0,,0.111111,1.0,NdPO4,,True,
LiCoO2,3.0,0.15,ndP015,liMatch015,0.607656,0.605695,0.001961,0.0,0.0,,0.176453,1.0,NdPO4,,True,
LiCoO2,3.0,0.2,ndP020,liMatch020,0.61127,0.608696,0.002574,0.0,0.0,,0.25,1.0,NdPO4,,True,
LiCoO2,3.5,0.02,ndP002,liMatch002,0.604001,0.603616,0.000385,0.0,0.0,,0.08162,4.0,LiNd(PO3)4,,True,
LiCoO2,3.5,0.05,ndP005,liMatch005,0.606208,0.60525,0.000958,0.0,0.0,,0.210526,4.0,LiNd(PO3)4,,True,
LiCoO2,3.5,0.1,ndP010,liMatch010,0.696133,0.607977,0.088156,0.0,0.0,,0.444444,4.0,LiNd(PO3)4,,False,dx=0.088>0.05
LiCoO2,3.5,0.15,ndP015,liMatch015,0.70011,0.69761,0.0025,0.0,0.0,,0.705938,4.0,LiNd(PO3)4,,True,
LiCoO2,3.5,0.2,ndP020,liMatch020,0.70407,0.700779,0.003291,0.0,0.0,,1.000117,4.0,LiNd(PO3)4,,True,
LiCoO2,4.0,0.02,ndP002,liMatch002,0.672432,0.669782,0.00265,0.145219,0.160043,0.092624,0.102041,5.0,NdP5O14,,True,
LiCoO2,4.0,0.05,ndP005,liMatch005,0.679717,0.673034,0.006683,0.118838,0.157069,0.243403,0.263158,5.0,NdP5O14,,True,
LiCoO2,4.0,0.1,ndP010,liMatch010,0.718358,0.678487,0.039871,0.080963,0.151952,0.467181,0.555556,5.0,NdP5O14,,True,
LiCoO2,4.0,0.15,ndP015,liMatch015,0.730305,0.731139,0.000834,0.021327,0.184189,0.884213,0.882289,5.0,NdP5O14,,True,
LiCoO2,4.0,0.2,ndP020,liMatch020,0.738178,0.743802,0.005624,0.0,0.18432,1.0,1.0,4.0,NdP5O14|Nd(PO3)3,,True,
LiCoO2,4.3,0.02,ndP002,liMatch002,0.699663,0.699718,5.5e-05,0.164807,0.183791,0.103295,0.102029,5.0,NdP5O14,,True,
LiCoO2,4.3,0.05,ndP005,liMatch005,0.706614,0.706784,0.00017,0.134886,0.183996,0.266908,0.263097,5.0,NdP5O14,,True,
LiCoO2,4.3,0.1,ndP010,liMatch010,0.718358,0.718804,0.000446,0.080963,0.183967,0.559905,0.555556,5.0,NdP5O14,,True,
LiCoO2,4.3,0.15,ndP015,liMatch015,0.730305,0.731139,0.000834,0.021327,0.184189,0.884213,0.882289,5.0,NdP5O14,,True,
LiCoO2,4.3,0.2,ndP020,liMatch020,0.738178,0.743802,0.005624,0.0,0.18432,1.0,1.0,4.0,NdP5O14|Nd(PO3)3,,True,
LiCoO2,4.5,0.02,ndP002,liMatch002,0.699663,0.699718,5.5e-05,0.164807,0.183791,0.103295,0.102029,5.0,NdP5O14,,True,
LiCoO2,4.5,0.05,ndP005,liMatch005,0.706614,0.706784,0.00017,0.134886,0.183996,0.266908,0.263097,5.0,NdP5O14,,True,
LiCoO2,4.5,0.1,ndP010,liMatch010,0.821382,0.718804,0.102578,0.0,0.183967,1.0,0.555556,5.0,NdP5O14,P2S7,False,dx=0.103>0.05;thiophosphate:P2S7
LiCoO2,4.5,0.15,ndP015,liMatch015,0.754157,0.998939,0.244782,0.0,1.0,1.0,0.882353,5.0,NdP5O14,P2S7,False,dx=0.245>0.05;thiophosphate:P2S7
LiCoO2,4.5,0.2,ndP020,liMatch020,1.0,1.0,0.0,,,,0.012499,3.0,Nd(PO3)3,P2S7,False,endpoint;thiophosphate:P2S7;자체분해(좌변 양극 없음)
LiMnO2,2.5,0.02,ndP002,liMatch002,0.59272,0.592331,0.000389,0.0,0.0,,0.020408,1.0,NdPO4,,True,
LiMnO2,2.5,0.05,ndP005,liMatch005,0.595238,0.594272,0.000966,0.0,0.0,,0.052632,1.0,NdPO4,,True,
LiMnO2,2.5,0.1,ndP010,liMatch010,0.599429,0.597514,0.001915,0.0,0.0,,0.111111,1.0,NdPO4,,True,
LiMnO2,2.5,0.15,ndP015,liMatch015,0.603612,0.600766,0.002846,0.0,0.0,,0.176489,1.0,NdPO4,,True,
LiMnO2,2.5,0.2,ndP020,liMatch020,0.607787,0.604027,0.00376,0.0,0.0,,0.249962,1.0,NdPO4,,True,
LiMnO2,3.0,0.02,ndP002,liMatch002,0.5212,0.519491,0.001709,0.335898,0.341108,0.015273,0.020404,1.0,NdPO4,,True,
LiMnO2,3.0,0.05,ndP005,liMatch005,0.561545,0.523109,0.038436,0.184407,0.334866,0.449311,0.052613,1.0,NdPO4,,True,
LiMnO2,3.0,0.1,ndP010,liMatch010,0.569106,0.563571,0.005535,0.167755,0.185981,0.098,0.111111,1.0,NdPO4,,True,
LiMnO2,3.0,0.15,ndP015,liMatch015,0.607656,0.568388,0.039268,0.0,0.178308,1.0,0.176453,1.0,NdPO4,,True,
LiMnO2,3.0,0.2,ndP020,liMatch020,0.61127,0.573248,0.038022,0.0,0.170613,1.0,0.25,1.0,NdPO4,,True,
LiMnO2,3.5,0.02,ndP002,liMatch002,0.681271,0.680921,0.00035,0.336764,0.336764,0.0,0.0,,,,True,
LiMnO2,3.5,0.05,ndP005,liMatch005,0.689085,0.688226,0.000859,0.336865,0.336865,0.0,0.0,,,,True,
LiMnO2,3.5,0.1,ndP010,liMatch010,0.702341,0.700673,0.001668,0.337065,0.337065,0.0,0.0,,,,True,
