voltage_V,delta_nd_only_mean_eV_per_atom,delta_nd_only_min,delta_nd_only_max,delta_o_only_mean_eV_per_atom,delta_o_only_min,delta_o_only_max,delta_both_measured_mean_eV_per_atom,delta_sum_of_parts_mean_eV_per_atom,additivity_residual_mean_eV_per_atom,residual_min,residual_max,n_cathodes,nd_product_amount_mean_nd_only,rel_delta_nd_only_2p5V,rel_nd_product_amount_2p5V,rel_delta_o_only_2p5V,nd_product_phases_nd_only
2.5,0.01473,0.01344,0.01589,0.02133,0.0166,0.0244,0.03629,0.03607,-0.00022,-0.0003,-0.00018,4,0.05629,1.0,1.0,1.0,NdPO4:4
3.0,0.01623,0.01447,0.01805,0.02261,0.01581,0.0261,0.0392,0.03884,-0.00036,-0.00069,-0.00018,4,0.05425,1.1018,0.9637,1.0599,NdPO4:4
3.5,0.02403,0.0211,0.02622,0.0216,0.01559,0.02588,0.04407,0.04563,0.00156,-0.00108,0.00387,4,0.05031,1.6311,0.8938,1.0127,LiNd(PO3)4:2 | NdCl3:1 | Nd2(SO4)3:1
4.0,0.05153,0.04444,0.06952,0.02124,0.01462,0.02482,0.07287,0.07277,-0.0001,-0.00252,0.00256,4,0.06625,3.498,1.177,0.9955,Nd2(SO4)3:2 | NdP5O14:1 | NdCl3:1
4.3,0.07545,0.06167,0.10133,0.02262,0.01796,0.02558,0.09698,0.09807,0.00109,-0.00197,0.0037,4,0.07408,5.1212,1.316,1.0602,Nd(PO3)3:2 | NdP5O14:1 | NdCl3:1
4.5,0.097,0.0747,0.14655,0.02201,0.02039,0.02368,0.11826,0.11901,0.00075,-0.00328,0.00814,4,0.0801,6.5841,1.4229,1.0318,NdP5O14:2 | Nd(PO3)3:2 | NdCl3:1
