cathode,electrolyte,voltage_V,x_atomic_frac,reaction_energy_eV_per_atom,is_minimum,forms_Nd_phosphate,reaction
LiCoO2,comp1,2.5,0.0,0.0,0,0,LiCoO2 -> LiCoO2
LiCoO2,comp1,2.5,0.119266,-0.283801,0,0,0.96 LiCoO2 + 0.04 Li6PS5Cl -> 0.64 Li + 0.96 CoO + 0.04 Li3PO4 + 0.2 Li2SO4 + 0.04 LiCl
LiCoO2,comp1,2.5,0.429326,-0.621087,0,0,0.812 LiCoO2 + 0.188 Li6PS5Cl -> 0.7519 Li + 0.09023 Co9S8 + 0.188 Li3PO4 + 0.218 Li2SO4 + 0.188 LiCl
LiCoO2,comp1,2.5,0.498258,-0.651699,0,0,0.766 LiCoO2 + 0.234 Li6PS5Cl -> 0.9362 Li + 0.2553 Co3S4 + 0.234 Li3PO4 + 0.1489 Li2SO4 + 0.234 LiCl
LiCoO2,comp1,2.5,0.575221,-0.666242,1,0,0.7059 LiCoO2 + 0.2941 Li6PS5Cl -> 1.176 Li + 0.2941 Li3PO4 + 0.7059 CoS2 + 0.05882 Li2SO4 + 0.2941 LiCl
LiCoO2,comp1,2.5,0.619048,-0.641371,0,0,0.6667 LiCoO2 + 0.3333 Li6PS5Cl -> 1.25 Li + 0.3333 Li3PO4 + 0.6667 CoS2 + 0.3333 LiCl + 0.08333 LiS4
LiCoO2,comp1,2.5,1.0,-0.149197,0,0,Li6PS5Cl -> 4.625 Li + 0.5 P2S7 + LiCl + 0.375 LiS4
LiCoO2,comp1,3.0,0.0,0.0,0,0,LiCoO2 -> LiCoO2
LiCoO2,comp1,3.0,0.119266,-0.385066,0,0,0.96 LiCoO2 + 0.04 Li6PS5Cl -> 0.64 Li + 0.04 Li3PO4 + 0.96 CoO + 0.2 Li2SO4 + 0.04 LiCl
LiCoO2,comp1,3.0,0.12381,-0.396294,0,0,0.9583 LiCoO2 + 0.04167 Li6PS5Cl -> 0.7083 Li + 0.04167 LiCoPO4 + 0.9167 CoO + 0.2083 Li2SO4 + 0.04167 LiCl
LiCoO2,comp1,3.0,0.126214,-0.39936,0,0,0.9574 LiCoO2 + 0.04255 Li6PS5Cl -> 0.7447 Li + 0.04255 LiCoPO4 + 0.02128 CoCl2 + 0.8936 CoO + 0.2128 Li2SO4
LiCoO2,comp1,3.0,0.128713,-0.40254,0,0,0.9565 LiCoO2 + 0.04348 Li6PS5Cl -> 0.7826 Li + 0.02174 Co3(PO4)2 + 0.02174 CoCl2 + 0.8696 CoO + 0.2174 Li2SO4
LiCoO2,comp1,3.0,0.367232,-0.673639,0,0,0.8485 LiCoO2 + 0.1515 Li6PS5Cl -> 1.212 Li + 0.07576 Co3(PO4)2 + 0.07576 CoCl2 + 0.06061 Co9S8 + 0.2727 Li2SO4
LiCoO2,comp1,3.0,0.381008,-0.688787,0,0,0.8408 LiCoO2 + 0.1592 Li6PS5Cl -> 1.115 Li + 0.1592 LiCoPO4 + 0.07962 CoCl2 + 0.06688 Co9S8 + 0.2611 Li2SO4
LiCoO2,comp1,3.0,0.395859,-0.705224,0,0,0.8322 LiCoO2 + 0.1678 Li6PS5Cl -> 1.007 Li + 0.1678 LiCoPO4 + 0.07383 Co9S8 + 0.2483 Li2SO4 + 0.1678 LiCl
LiCoO2,comp1,3.0,0.448276,-0.742817,0,0,0.8 LiCoO2 + 0.2 Li6PS5Cl -> 1.2 Li + 0.2 Co3S4 + 0.2 LiCoPO4 + 0.2 Li2SO4 + 0.2 LiCl
LiCoO2,comp1,3.0,0.498258,-0.770618,0,0,0.766 LiCoO2 + 0.234 Li6PS5Cl -> 0.9362 Li + 0.2553 Co3S4 + 0.234 Li3PO4 + 0.1489 Li2SO4 + 0.234 LiCl
LiCoO2,comp1,3.0,0.503521,-0.773504,0,0,0.7622 LiCoO2 + 0.2378 Li6PS5Cl -> 1.13 Li + 0.2541 Co3S4 + 0.1189 Li4P2O7 + 0.173 Li2SO4 + 0.2378 LiCl
LiCoO2,comp1,3.0,0.580357,-0.810122,1,0,0.7015 LiCoO2 + 0.2985 Li6PS5Cl -> 1.418 Li + 0.7015 CoS2 + 0.1493 Li4P2O7 + 0.08955 Li2SO4 + 0.2985 LiCl
LiCoO2,comp1,3.0,0.65,-0.776367,0,0,0.6364 LiCoO2 + 0.3636 Li6PS5Cl -> 1.591 Li + 0.6364 CoS2 + 0.1818 Li4P2O7 + 0.3636 LiCl + 0.1364 LiS4
