cathode,voltage_V,x_Nd,mixing_x,mixing_x_undoped,delta_x,tm_phosphate_share,tm_phosphate_share_undoped,protection_observed,P_taken_by_Nd,P_to_thiophosphate,gate_pass,gate_fail_reason
LiCoO2,4.0,0.02,0.672432,0.669782,0.0027,0.1452,0.16,0.0926,0.102,0.0,True,
LiCoO2,4.0,0.05,0.679717,0.669782,0.0099,0.1188,0.16,0.2575,0.2632,0.0,True,
LiCoO2,4.0,0.1,0.718358,0.669782,0.0486,0.081,0.16,0.4941,0.5556,0.0,True,
LiCoO2,4.0,0.15,0.730305,0.669782,0.0605,0.0213,0.16,0.8667,0.8823,0.0,False,Δx=0.061
LiCoO2,4.0,0.2,0.738178,0.669782,0.0684,0.0,0.16,1.0,1.0,0.0,False,Δx=0.068
LiCoO2,4.3,0.02,0.699663,0.699718,0.0001,0.1648,0.1838,0.1033,0.102,0.0,True,
LiCoO2,4.3,0.05,0.706614,0.699718,0.0069,0.1349,0.1838,0.2661,0.2631,0.0,True,
LiCoO2,4.3,0.1,0.718358,0.699718,0.0186,0.081,0.1838,0.5595,0.5556,0.0,True,
LiCoO2,4.3,0.15,0.730305,0.699718,0.0306,0.0213,0.1838,0.884,0.8823,0.0,True,
LiCoO2,4.3,0.2,0.738178,0.699718,0.0385,0.0,0.1838,1.0,1.0,0.0,True,
LiCoO2,4.5,0.02,0.699663,0.699718,0.0001,0.1648,0.1838,0.1033,0.102,0.0,True,
LiCoO2,4.5,0.05,0.706614,0.699718,0.0069,0.1349,0.1838,0.2661,0.2631,0.0,True,
LiCoO2,4.5,0.1,0.821382,0.699718,0.1217,0.0,0.1838,1.0,0.5556,0.4444,False,Δx=0.122;P2S7
LiCoO2,4.5,0.15,0.754157,0.699718,0.0544,0.0,0.1838,1.0,0.8824,0.1176,False,Δx=0.054;P2S7
LiNiO2,3.5,0.02,0.505773,0.502753,0.003,0.1481,0.1596,0.0723,0.0816,0.0,True,
LiNiO2,3.5,0.05,0.512715,0.502753,0.01,0.1263,0.1596,0.2088,0.2104,0.0,True,
LiNiO2,3.5,0.1,0.524563,0.502753,0.0218,0.0876,0.1596,0.4513,0.4444,0.0,True,
LiNiO2,3.5,0.15,0.536771,0.502753,0.034,0.0456,0.1596,0.7142,0.7059,0.0,True,
LiNiO2,3.5,0.2,0.549356,0.502753,0.0466,0.0,0.1596,1.0,0.9998,0.0,True,
LiNiO2,4.0,0.02,0.527864,0.525677,0.0022,0.1653,0.1749,0.0548,0.0612,0.0,True,
LiNiO2,4.0,0.05,0.534036,0.525677,0.0084,0.1466,0.1749,0.1615,0.158,0.0,True,
LiNiO2,4.0,0.1,0.667609,0.525677,0.1419,0.1913,0.1749,-0.0937,0.3333,0.0,False,Δx=0.142
LiNiO2,4.0,0.15,0.701399,0.525677,0.1757,0.037,0.1749,0.7885,0.8824,0.0,False,Δx=0.176
LiNiO2,4.0,0.2,0.710848,0.525677,0.1852,0.0,0.1749,1.0,1.0,0.0,False,Δx=0.185
LiNiO2,4.3,0.02,0.646794,0.641529,0.0053,0.2591,0.2825,0.0826,0.102,0.0,True,
LiNiO2,4.3,0.05,0.658819,0.641529,0.0173,0.2163,0.2825,0.2342,0.2632,0.0,True,
LiNiO2,4.3,0.1,0.679612,0.641529,0.0381,0.1347,0.2825,0.5232,0.5556,0.0,True,
LiNiO2,4.3,0.15,0.701399,0.641529,0.0599,0.037,0.2825,0.8691,0.8824,0.0,False,Δx=0.060
LiNiO2,4.3,0.2,0.738178,0.641529,0.0966,0.0,0.2825,1.0,1.0,0.0,False,Δx=0.097
LiNiO2,4.5,0.02,0.646794,0.641529,0.0053,0.2591,0.2825,0.0826,0.102,0.0,True,
LiNiO2,4.5,0.05,0.658819,0.641529,0.0173,0.2163,0.2825,0.2342,0.2632,0.0,True,
LiNiO2,4.5,0.1,0.718358,0.641529,0.0768,0.081,0.2825,0.7134,0.5556,0.0,False,Δx=0.077
LiNiO2,4.5,0.15,0.730305,0.641529,0.0888,0.0213,0.2825,0.9245,0.8823,0.0,False,Δx=0.089
LiNiO2,4.5,0.2,0.738178,0.641529,0.0966,0.0,0.2825,1.0,1.0,0.0,False,Δx=0.097
