voltage_V,electrolyte,n_cathodes_with_Nd_phosphate,n_cathodes_with_P2S7,n_cathodes_total
2.5,modelc,0,0,4
2.5,lpsocl,0,0,4
2.5,nd_only,4,0,4
2.5,modelc_nd,4,0,4
3.0,modelc,0,0,4
3.0,lpsocl,0,0,4
3.0,nd_only,4,0,4
3.0,modelc_nd,4,0,4
3.5,modelc,0,0,4
3.5,lpsocl,0,0,4
3.5,nd_only,2,0,4
3.5,modelc_nd,2,0,4
4.0,modelc,0,0,4
4.0,lpsocl,0,0,4
4.0,nd_only,1,0,4
4.0,modelc_nd,1,0,4
4.3,modelc,0,1,4
4.3,lpsocl,0,1,4
4.3,nd_only,3,0,4
4.3,modelc_nd,2,0,4
4.5,modelc,0,1,4
4.5,lpsocl,0,1,4
4.5,nd_only,3,0,4
4.5,modelc_nd,3,0,4
