cathode,dopant,voltage_V,x_atomic_frac,reaction_energy_eV_per_atom,forms_M_phosphate,reaction
LiCoO2,Al,2.50,0.0,0.0,0,LiCoO2 -> LiCoO2
LiCoO2,Al,2.50,0.12,-0.277906,0,0.04348 Li4.8Al0.2P1S4.4Cl1.6 + 0.9565 LiCoO2 -> 0.5739 Li + 0.008696 LiAlO2 + 0.9565 CoO + 0.04348 Li3PO4 + 0.1913 Li2SO4 + 0.06957 LiCl
LiCoO2,Al,2.50,0.120482,-0.278951,0,0.04367 Li4.8Al0.2P1S4.4Cl1.6 + 0.9563 LiCoO2 -> 0.5808 Li + 0.004367 Al2CoO4 + 0.952 CoO + 0.04367 Li3PO4 + 0.1921 Li2SO4 + 0.06987 LiCl
LiCoO2,Al,2.50,0.427107,-0.582761,0,0.199 Li4.8Al0.2P1S4.4Cl1.6 + 0.801 LiCoO2 -> 0.4777 Li + 0.0199 Al2CoO4 + 0.08678 Co9S8 + 0.199 Li3PO4 + 0.1815 Li2SO4 + 0.3185 LiCl
LiCoO2,Al,2.50,0.431928,-0.585878,0,0.2022 Li4.8Al0.2P1S4.4Cl1.6 + 0.7978 LiCoO2 -> 0.4691 Li + 0.008088 LiAl5O8 + 0.08864 Co9S8 + 0.2022 Li3PO4 + 0.1805 Li2SO4 + 0.3235 LiCl
LiCoO2,Al,2.50,0.500911,-0.608713,0,0.2507 Li4.8Al0.2P1S4.4Cl1.6 + 0.7493 LiCoO2 -> 0.5816 Li + 0.01003 LiAl5O8 + 0.2498 Co3S4 + 0.2507 Li3PO4 + 0.1039 Li2SO4 + 0.4011 LiCl
LiCoO2,Al,2.50,0.577812,-0.614944,0,0.3133 Li4.8Al0.2P1S4.4Cl1.6 + 0.6867 LiCoO2 -> 0.7268 Li + 0.01253 LiAl5O8 + 0.6867 CoS2 + 0.3133 Li3PO4 + 0.005013 Li2SO4 + 0.5013 LiCl
LiCoO2,Al,2.50,0.581395,-0.612693,0,0.3165 Li4.8Al0.2P1S4.4Cl1.6 + 0.6835 LiCoO2 -> 0.7278 Li + 0.01266 LiAl5O8 + 0.6835 CoS2 + 0.3165 Li3PO4 + 0.5063 LiCl + 0.006329 LiS4
LiCoO2,Al,2.50,0.6,-0.596866,1,0.3333 Li4.8Al0.2P1S4.4Cl1.6 + 0.6667 LiCoO2 -> 0.9 Li + 0.06667 AlPO4 + 0.6667 CoS2 + 0.2667 Li3PO4 + 0.5333 LiCl + 0.03333 LiS4
LiCoO2,Al,2.50,0.882353,-0.243318,1,0.7143 Li4.8Al0.2P1S4.4Cl1.6 + 0.2857 LiCoO2 -> 2.429 Li + 0.1429 AlPO4 + 0.2857 P2S7 + 0.2857 CoS2 + 1.143 LiCl + 0.1429 LiS4
LiCoO2,Al,2.50,0.952381,-0.137548,0,0.8696 Li4.8Al0.2P1S4.4Cl1.6 + 0.1304 LiCoO2 -> 2.783 Li + 0.4348 P2S7 + 0.1304 CoS2 + 0.08696 Al2O3 + 1.391 LiCl + 0.1304 LiS4
LiCoO2,Al,2.50,1.0,-0.05757,0,Li4.8Al0.2P1S4.4Cl1.6 -> 2.875 Li + 0.2 LiAlS2 + 0.5 P2S7 + 1.6 LiCl + 0.125 LiS4
LiCoO2,Al,3.50,0.0,-0.013345,0,LiCoO2 -> 0.5 Li + 0.5 Li(CoO2)2
LiCoO2,Al,3.50,0.083799,-0.366247,0,0.02959 Li4.8Al0.2P1S4.4Cl1.6 + 0.9704 LiCoO2 -> 0.716 Li + 0.002959 Al2CoO4 + 0.02959 Li3PO4 + 0.3225 Co3O4 + 0.1302 Li2SO4 + 0.04734 LiCl
LiCoO2,Al,3.50,0.088757,-0.385657,0,0.03145 Li4.8Al0.2P1S4.4Cl1.6 + 0.9686 LiCoO2 -> 0.761 Li + 0.03145 LiCoPO4 + 0.003145 Al2CoO4 + 0.3113 Co3O4 + 0.1384 Li2SO4 + 0.05031 LiCl
LiCoO2,Al,3.50,0.093168,-0.399323,0,0.03311 Li4.8Al0.2P1S4.4Cl1.6 + 0.9669 LiCoO2 -> 0.8013 Li + 0.03311 LiCoPO4 + 0.003311 Al2CoO4 + 0.02649 CoCl2 + 0.3013 Co3O4 + 0.1457 Li2SO4
LiCoO2,Al,3.50,0.096154,-0.408581,0,0.03425 Li4.8Al0.2P1S4.4Cl1.6 + 0.9658 LiCoO2 -> 0.8288 Li + 0.01712 Co3(PO4)2 + 0.003425 Al2CoO4 + 0.0274 CoCl2 + 0.2945 Co3O4 + 0.1507 Li2SO4
LiCoO2,Al,3.50,0.11194,-0.4546,0,0.04032 Li4.8Al0.2P1S4.4Cl1.6 + 0.9597 LiCoO2 -> 0.9758 Li + 0.02016 Co3(PO4)2 + 0.08871 Li2Co(SO4)2 + 0.004032 Al2CoO4 + 0.03226 CoCl2 + 0.2581 Co3O4
