state,cap_delta_pct,gamma_target,gamma_ref,measured_shape_mV,gamma_shape_mV,ratio_b_over_a,blend_vs_meas_max_mV,blend_vs_meas_rms_mV,max_at_x,frac_over_50mV,pe_shape_max_mV,pe_shape_rms_mV,legal_dgamma_neg,legal_dgamma_pos,gamma_family_max_mV,gamma_at_family_max,gamma_witness,gamma_witness_delta,run_id,inputs_sha,consumed_inputs
100,-7.5349,0.293540,0.295299,23.935054,0.636465,0.026591,136.032964,24.119540,0.0200,4.0000,35.698237,24.267331,-0.295299,0.204701,86.006744,0.0000,0.2210,-0.0743,b4b58d4bef68431d8c41d2b3dd4d5747,e17eeccf3b7c,"{""half_cell"": {""path"": ""/mnt/d/가형 관련/degradation mode/data/half_cell/GITT/100.xlsx"", ""sha256"": ""5a397e691fe9d3ddf08548ba9975d73d907a6d4f2d8d80610c9d6b3487ce98e6""}, ""half_cell_pristine"": {""path"": ""/mnt/d/가형 관련/degradation mode/data/half_cell/GITT/pristine.xlsx"", ""sha256"": ""2c4a5b692041ee86e59658adf43beedc25943c32bb54e1be779379d2282c9674""}, ""literature"": {""gr"": {""path"": ""/mnt/d/가형 관련/degradation mode/data/literature/Si_Gr_literature_OCP.xlsx"", ""sha256"": ""f8b9d1d60b827547ee28a68e8aeac99d4c0b567835e28e28266f89bbd2cfc0d4""}, ""si"": {""path"": ""/mnt/d/가형 관련/degradation mode/data/literature/Si_OCP_sources/Li.csv"", ""sha256"": ""ca8884e3517f8ceb6f61b09193b3ac42f172e8ee2fae0b6c0d45e997539d08fe""}}, ""matrix"": {""path"": ""out_u18b/matrix_100.csv"", ""row"": {""half_cell"": ""GITT"", ""index"": 8, ""run_id"": ""942578bbfaa54c65ad209d69b5a85e7b"", ""si"": ""Li"", ""w_dqdv"": ""0.0""}, ""sha256"": ""16c8849768d26893b346242f6b9dc2aa131bdf968cc530530bd90b478dafc979""}}"
200,-0.7901,0.312391,0.295299,35.770885,5.756682,0.160932,112.098856,19.262210,0.0200,3.2500,20.238706,2.707752,-0.295299,0.204701,86.006744,0.0000,0.1770,-0.1183,b4b58d4bef68431d8c41d2b3dd4d5747,41ed34c60e52,"{""half_cell"": {""path"": ""/mnt/d/가형 관련/degradation mode/data/half_cell/GITT/200.xlsx"", ""sha256"": ""e81325a863f37c08fe8bc493e09b578c6af4462f1e09e35508e5c84f26fd91bb""}, ""half_cell_pristine"": {""path"": ""/mnt/d/가형 관련/degradation mode/data/half_cell/GITT/pristine.xlsx"", ""sha256"": ""2c4a5b692041ee86e59658adf43beedc25943c32bb54e1be779379d2282c9674""}, ""literature"": {""gr"": {""path"": ""/mnt/d/가형 관련/degradation mode/data/literature/Si_Gr_literature_OCP.xlsx"", ""sha256"": ""f8b9d1d60b827547ee28a68e8aeac99d4c0b567835e28e28266f89bbd2cfc0d4""}, ""si"": {""path"": ""/mnt/d/가형 관련/degradation mode/data/literature/Si_OCP_sources/Li.csv"", ""sha256"": ""ca8884e3517f8ceb6f61b09193b3ac42f172e8ee2fae0b6c0d45e997539d08fe""}}, ""matrix"": {""path"": ""out_u18b/matrix_200.csv"", ""row"": {""half_cell"": ""GITT"", ""index"": 8, ""run_id"": ""3f7aa78a8e0a4d2783b1f8698d5d5592"", ""si"": ""Li"", ""w_dqdv"": ""0.0""}, ""sha256"": ""6303ca2bf4d492c8804eec9e27c75a703df09dd0bd44fcbbbede60b1fda38dd9""}}"
300_0009,-27.2927,0.239686,0.295299,119.335199,18.166649,0.152232,70.450956,21.701001,0.0633,4.2500,24.779315,4.087006,-0.295299,0.204701,86.006744,0.0000,,,b4b58d4bef68431d8c41d2b3dd4d5747,4275c933a887,"{""half_cell"": {""path"": ""/mnt/d/가형 관련/degradation mode/data/half_cell/GITT/300_0009.xlsx"", ""sha256"": ""65570dc9e6d772eea95a3778e46c91bc8380cb0d6d00cdf3e7dbeb7dfe324887""}, ""half_cell_pristine"": {""path"": ""/mnt/d/가형 관련/degradation mode/data/half_cell/GITT/pristine.xlsx"", ""sha256"": ""2c4a5b692041ee86e59658adf43beedc25943c32bb54e1be779379d2282c9674""}, ""literature"": {""gr"": {""path"": ""/mnt/d/가형 관련/degradation mode/data/literature/Si_Gr_literature_OCP.xlsx"", ""sha256"": ""f8b9d1d60b827547ee28a68e8aeac99d4c0b567835e28e28266f89bbd2cfc0d4""}, ""si"": {""path"": ""/mnt/d/가형 관련/degradation mode/data/literature/Si_OCP_sources/Li.csv"", ""sha256"": ""ca8884e3517f8ceb6f61b09193b3ac42f172e8ee2fae0b6c0d45e997539d08fe""}}, ""matrix"": {""path"": ""out_u18b/matrix_300_0009.csv"", ""row"": {""half_cell"": ""GITT"", ""index"": 8, ""run_id"": ""e647dccd08074588b1d5ccbc21a94f34"", ""si"": ""Li"", ""w_dqdv"": ""0.0""}, ""sha256"": ""709504f6101d22ade0698e541e3b9fc3b753c27d6ca950b04d2629d5ddb61d94""}}"
