job	rc	done	wall_s	peak_total_MiB	peak_self_MiB	killed	start	host_avail_min_MiB
V2_hollow_fcc_dft_bound	0	1	233	2750	—	0	2026-09-26 21:09:14	118523
V2_hollow_fcc_dft_far	0	1	131	2750	—	0	2026-09-26 21:13:13	118495
V2_hollow_fcc_Ed_m03	0	1	188	2752	—	0	2026-09-26 21:15:29	118516
V2_hollow_fcc_Ed_p03	0	1	199	2750	—	0	2026-09-26 21:18:42	118515
V2_hollow_fcc_Ed_p06	0	1	161	2750	—	0	2026-09-26 21:22:09	118519
