image,reaction_coord,Li3N_rawNEB_eV,Li3N_migstep_eV,LiC6_DFTSCF_eV
0,0.0,0.0,0.0,0.0
1,0.1667,-0.018,0.009,0.1674
2,0.3333,-0.093,0.084,0.2818
3,0.5,-0.102,0.102,0.2866
4,0.6667,-0.013,0.084,0.2764
5,0.8333,0.076,0.009,0.1583
6,1.0,0.077,0.0,-0.0222
