time_s_exact,electrode,sample_index,coordinate_first_m,coordinate_second_m,x_surface_first,x_surface_second,x_surface_difference_second_minus_first,x_particle_average_first,x_particle_average_second,x_particle_average_difference_second_minus_first,Eeq_V_first,Eeq_V_second,Eeq_V_difference_second_minus_first,etaMid_V_first,etaMid_V_second,etaMid_V_difference_second_minus_first,phil_V_first,phil_V_second,phil_V_difference_second_minus_first
1.7,N,0,0.0,0.0,0.012853533403347219,0.012853495417248803,-3.7986098416E-8,0.01176420444671912,0.011764204454321577,7.602457E-12,1.3420266617414276,1.342029043368239,0.0000023816268114,-0.05306696797230259,-0.05306701126474178,-4.329243919E-8,-1.288959693769125,-1.2889620321034971,-0.0000023383343721
1.7,N,1,2.1666666666666665E-7,2.1666666666666665E-7,0.012853532633213493,0.012853494647146522,-3.7986066971E-8,0.011764204413418779,0.01176420442102223,7.603451E-12,1.3420267100267531,1.342029091651593,0.0000023816248399,-0.05306691936423391,-0.05306696265469202,-4.329045811E-8,-1.2889596658434028,-1.2889620041777843,-0.0000023383343815
1.7,N,2,4.333333333333333E-7,4.333333333333333E-7,0.012853531863079767,0.01285349387704424,-3.7986035527E-8,0.011764204380118442,0.011764204387722868,7.604426E-12,1.3420267583120786,1.342029139934947,0.0000023816228684,-0.05306692712631045,-0.05306697041476838,-4.328845793E-8,-1.2889595820664923,-1.2889619204009024,-0.0000023383344101
1.7,N,3,6.5E-7,6.5E-7,0.012853532355200536,0.012853494369144373,-3.7986056163E-8,0.01176420440135546,0.011764204408959261,7.603801E-12,1.342026727457422,1.3420291090815843,0.0000023816241623,-0.05306691211829673,-0.05306695540800055,-4.328970382E-8,-1.288959442438647,-1.2889617807731046,-0.0000023383344576
1.7,N,4,8.666666666666666E-7,8.666666666666666E-7,0.012853532849949405,0.0128534948638725,-3.7986076905E-8,0.011764204422706015,0.0117642044303092,7.603185E-12,1.342026696437991,1.3420290780634534,0.0000023816254624,-0.05306695331508604,-0.0530669966060231,-4.329093706E-8,-1.2889592469601812,-1.288961585294705,-0.0000023383345238
1.7,N,5,0.0000010833333333333333,0.0000010833333333333333,0.01285353460430831,0.012853496618158692,-3.7986149618E-8,0.01176420449847961,0.01176420450608058,7.60097E-12,1.3420265864443781,1.3420289680743995,0.0000023816300214,-0.05306697190707732,-0.0530670152024868,-4.329540948E-8,-1.2889589956312888,-1.2889613339658983,-0.0000023383346095
1.7,N,6,0.0000013,0.0000013,0.012853536363923343,0.012853498377700797,-3.7986222546E-8,0.01176420457448029,0.011764204582079052,7.598762E-12,1.34202647612122,1.3420288577558137,0.0000023816345937,-0.05306704653865113,-0.05306708983852726,-4.329987613E-8,-1.2889586884522264,-1.2889610267869405,-0.0000023383347141
1.7,N,7,0.0000015166666666666664,0.0000015166666666666664,0.012853539380510629,0.012853501394163294,-3.7986347335E-8,0.011764204704790046,0.011764204712385007,7.594961E-12,1.342026286989262,1.34202866863168,0.000002381642418,-0.05306709873041782,-0.053067142037993786,-4.3307575966E-8,-1.28895832542313,-1.2889606637579671,-0.0000023383348371
1.7,N,8,0.0000017333333333333332,0.0000017333333333333332,0.012853542404982047,0.012853504418509598,-3.7986472449E-8,0.011764204835440443,0.0117642048430316,7.591157E-12,1.3420260973629905,1.3420284790132526,0.0000023816502621,-0.05306720679666754,-0.053067250111943576,-4.3315276036E-8,-1.2889579065441963,-1.2889602448791762,-0.0000023383349799
1.7,N,9,0.00000195,0.00000195,0.012853546683792785,0.012853508697143474,-3.7986649311E-8,0.011764205020286269,0.011764205027872026,7.585757E-12,1.342025829092997,1.3420282107543478,0.0000023816613508,-0.05306729258791676,-0.053067335914118274,-4.3326201514E-8,-1.288957431815502,-1.2889597701506434,-0.0000023383351414
1.7,N,10,0.0000021666666666666665,0.0000021666666666666665,0.012853550973115663,0.012853512986289051,-3.7986826612E-8,0.011764205205586256,0.011764205213166614,7.580358E-12,1.3420255601639204,1.3420279418363878,0.0000023816724674,-0.05306743408866854,-0.053067477425804865,-4.3337136325E-8,-1.2889569012371844,-1.2889592395725058,-0.0000023383353214
1.7,N,11,0.000002383333333333333,0.000002383333333333333,0.012853556514150214,0.012853518527094664,-3.7987055550E-8,0.011764205444968317,0.011764205452541686,7.573369E-12,1.3420252127558685,1.3420275944426898,0.0000023816868213,-0.053067553479015706,-0.053067596830304264,-4.3351288558E-8,-1.28895631480926,-1.288958653144781,-0.000002338335521
1.7,N,12,0.0000026,0.0000026,0.012853562068324937,0.012853524081039909,-3.7987285028E-8,0.011764205684918119,0.011764205692484486,7.566367E-12,1.342024864523963,1.3420272462251719,0.0000023817012089,-0.0530677284140062,-0.05306777177946165,-4.336545545E-8,-1.2889556725318043,-1.2889580108675438,-0.0000023383357395
1.7,N,13,0.0000028166666666666667,0.0000028166666666666667,0.012853568871588849,0.012853530884022812,-3.7987566037E-8,0.011764205978836916,0.011764205986394705,7.557789E-12,1.3420244379775053,1.3420268196963323,0.0000023817188270,-0.053067881402985906,-0.0530679247858199,-4.3382833994E-8,-1.2889549744047752,-1.2889573127407519,-0.0000023383359767
1.7,N,14,0.000003033333333333333,0.000003033333333333333,0.012853575690621039,0.012853537702773343,-3.7987847696E-8,0.011764206273436996,0.011764206280986195,7.549199E-12,1.342024010442418,1.3420263921789046,0.0000023817364866,-0.05306808977186672,-0.053068133172101684,-4.3400234964E-8,-1.2889542204281856,-1.2889565587644185,-0.0000023383362329
1.7,N,15,0.0000032499999999999994,0.0000032499999999999994,0.012853583756125057,0.012853545767944277,-3.7988180780E-8,0.011764206621893323,0.01176420662943234,7.539017E-12,1.3420235047568798,1.34202588651425,0.0000023817573702,-0.053068276358932076,-0.053068319779772555,-4.3420840479E-8,-1.2889534106019338,-1.2889557489384418,-0.0000023383365080
1.7,N,16,0.0000034666666666666664,0.0000034666666666666664,0.012853591840025559,0.012853553851510938,-3.7988514621E-8,0.011764206971144503,0.011764206978673315,7.528812E-12,1.3420229979179314,1.3420253796962323,0.0000023817783009,-0.05306851816127578,-0.05306856160275042,-4.344147464E-8,-1.2889525449259691,-1.2889548832627706,-0.0000023383368015
1.7,N,17,0.000003683333333333333,0.000003683333333333333,0.01285360116778562,0.012853563178885847,-3.7988899773E-8,0.0117642073741394,0.011764207381656466,7.517066E-12,1.3420224130923142,1.3420247948947632,0.0000023818024490,-0.05306873834580306,-0.053068781811109744,-4.3465306684E-8,-1.2889516234001306,-1.2889539617372452,-0.0000023383371146
1.7,N,18,0.0000039,0.0000039,0.012853610516570501,0.012853572527284708,-3.7989285793E-8,0.011764207778042749,0.011764207785548014,7.505265E-12,1.3420218269484971,1.3420242087751484,0.0000023818266513,-0.053069013581101165,-0.05306905707027587,-4.3489174705E-8,-1.2889506460243039,-1.288952984361749,-0.0000023383374451
1.7,N,19,0.0000041166666666666665,0.0000041166666666666665,0.012853621106607697,0.012853583116884684,-3.7989723013E-8,0.011764208235577597,0.011764208243069509,7.491912E-12,1.3420211629814787,1.3420235448355422,0.0000023818540635,-0.05306926736239159,-0.053069310878624876,-4.3516233286E-8,-1.288949612798269,-1.2889519511360643,-0.0000023383377953
1.7,N,20,0.000004333333333333333,0.000004333333333333333,0.012853631720298212,0.012853593730137005,-3.7990161207E-8,0.01176420869413446,0.011764208701612985,7.478525E-12,1.34202049753146,1.3420228794129974,0.0000023818815374,-0.053069576030058796,-0.05306961957339418,-4.3543335384E-8,-1.2889485237218463,-1.2889508620600099,-0.0000023383381636
1.7,N,21,0.00000455,0.00000455,0.012853643572638787,0.012853605581988298,-3.7990650489E-8,0.011764209206210916,0.011764209213674482,7.463566E-12,1.3420197544213943,1.3420221363336085,0.0000023819122142,-0.05306986340733877,-0.0530699069809597,-4.357362093E-8,-1.2889473787947574,-1.2889497171333082,-0.0000023383385508
