case,time_s,V_V,delta_Eeq_V,delta_etaMid_V,delta_phiL_V,identity_residual_V
Caps300R320H0125,0.002,2.232716843842165,2.1674719583645461,0.062680360527307855,0.0025645249503108,2.45E-16
Caps300R320H0125,0.1,2.2473257968181146,2.1823398487585679,0.062402897515436041,0.0025830505441106,5.9E-17
Caps300R320H0125,0.22,2.255482999380483,2.1906522133677371,0.062227390509322687,0.0026033955034235,-2.87E-16
Caps300R320H0125,1,2.284059345744816,2.2197671933338192,0.061563173102154423,0.0027289793088423,7.7E-17
Caps300R320H0125,1.7,2.3005995217649353,2.2365947275186424,0.061166432983170258,0.0028383612631226,4.2E-17
Caps300R320LateCapA5s,0.002,2.2327168438421645,2.167471958364546,0.062680360527311626,0.0025645249503068,7.4E-17
Caps300R320LateCapA5s,0.1,2.247325796818115,2.1823398487585679,0.062402897515434708,0.0025830505441125,-1.08E-16
Caps300R320LateCapA5s,0.22,2.2554809828431486,2.1906501641767120,0.062227423637206017,0.0026033950292303,2.83E-16
Caps300R320LateCapA5s,1,2.284058908192442,2.219766747708390,0.061563181293216473,0.0027289791908355,2.7E-17
Caps300R320LateCapA5s,1.7,2.300597177534794,2.2365923381452134,0.061166478887790586,0.0028383605017898,2.14E-16
