gamma_Si,obj,obj_ratio_to_best,rmse_pocv,a_PE,b_PE,a_NE,b_NE,bounds,LAM_PE_pct,LAM_NE_pct,LLI_pct
0.0,0.8360933923319294,1.1023174238472062,0.04531407967262743,1.0595215373055595,-0.02220896701927452,1.235454426987996,-0.18503234799718293,gamma_Si=lb,16.173219206236336,22.440331501126227,25.249146902108745
0.025,0.82192899016224,1.0836428745047217,0.04523808786907157,1.0593031774682733,-0.02167422029202767,1.26695101700082,-0.20961478924095675,-,16.190495308297372,20.463030657909208,23.726492685369255
0.05,0.8093986984303777,1.0671227596125366,0.0449745486579615,1.0579881470418158,-0.02102109938313646,1.3144724515191575,-0.2446918757947222,-,16.29453733426327,17.479718099129567,21.621879000237332
0.07500000000000001,0.7984281246299811,1.0526589990318551,0.044915946999218095,1.0584768769708417,-0.020761189429455703,1.346687372658253,-0.2714074741088638,-,16.25587020463419,15.45732168394405,19.94234059484103
0.1,0.7887510408819604,1.039900594139167,0.044876355482366084,1.0579816657518617,-0.02046309092331171,1.3795259915234133,-0.29827664360011563,-,16.295050118244646,13.395770616170468,18.31124697450528
0.125,0.7805327138715874,1.0290654348836423,0.044869307648692985,1.0579476806882318,-0.020351325682277023,1.4,-0.31926537087922097,a_NE=ub,16.29773893426099,12.110448166714686,17.022953154477282
0.15000000000000002,0.7736924870364124,1.020047182505818,0.045003134874256306,1.0580842538722746,-0.02042998185679212,1.4,-0.32805567242733236,a_NE=ub,16.28693359434296,12.110448166714686,16.48185229522969
0.17500000000000002,0.768428186973538,1.0131066544058631,0.04520992683061389,1.0585154662450105,-0.020532659880153088,1.4,-0.3368412130030029,a_NE=ub,16.252817114618697,12.110448166714686,15.924493348786022
0.2,0.764354301639767,1.00773558602121,0.04551963422885805,1.058890829605956,-0.02078315412129259,1.4,-0.3439701536741365,a_NE=ub,16.223119273595085,12.110448166714686,15.480896404934827
0.225,0.7614371094812984,1.0038895183755592,0.04597882106563992,1.059107205380551,-0.02089887430237816,1.4,-0.34922951538697333,a_NE=ub,16.20600014577426,12.110448166714686,15.153111783527399
0.25,0.7594008779105579,1.0012049217025072,0.04644801419611949,1.060528886263765,-0.021055382310844483,1.4,-0.3573460766858963,a_NE=ub,16.093520193682927,12.110448166714686,14.579384497120937
0.275,0.7584559056302121,0.999959056803644,0.04697577262400361,1.0614468840496447,-0.021123895475845346,1.4,-0.3657114905468115,a_NE=ub,16.02089042972193,12.110448166714686,14.015859822193757
0.30000000000000004,0.758789428774477,1.0003987784621946,0.04756943127772659,1.0617606966556379,-0.021207685451884107,1.4,-0.3746512812613951,a_NE=ub,15.996062335524044,12.110448166714686,13.455092267962648
0.325,0.7605884871682707,1.0027706826444132,0.048324474899962264,1.0633205418029423,-0.02135959719751964,1.4,-0.3828862056992734,a_NE=ub,15.872651161110523,12.110448166714686,12.865396316332166
0.35000000000000003,0.7640107009616348,1.007282577998632,0.04919043246678871,1.0647661189675928,-0.021511645968688035,1.4,-0.389823111032508,a_NE=ub,15.7582805930428,12.110448166714686,12.362075254301901
0.375,0.7691069743833032,1.0140015773842463,0.05015630894391912,1.065257706937285,-0.021647224758149206,1.4,-0.39627105020629944,a_NE=ub,15.719387342150467,12.110448166714686,11.945988979233663
0.4,0.7752375269922083,1.02208418516537,0.051139309434505155,1.0668990497309983,-0.021922957168263164,1.4,-0.40214837758547034,a_NE=ub,15.589528271115519,12.110448166714686,11.503056899586031
0.42500000000000004,0.7826552039993355,1.0318637560654842,0.052217705918692105,1.0671145717867796,-0.022077576370564702,1.4,-0.4089800404705935,a_NE=ub,15.572476687461881,12.110448166714686,11.081551348012765
0.45,0.7921260943185857,1.0443503126080942,0.053396402068934,1.0657960178615165,-0.022203912454208885,1.4,-0.4158860511408493,a_NE=ub,15.676797484129102,12.110448166714686,10.747583887437408
0.47500000000000003,0.8042446881077868,1.0603276390753027,0.05451220068569197,1.0649196084986143,-0.022532831762888422,1.4,-0.42106773485072535,a_NE=ub,15.746136872676528,12.110448166714686,10.504415263846262
0.5,0.8191139082771226,1.0799314304962162,0.05548444995557511,1.0651600469651865,-0.022767535620192767,1.4,-0.4243837837236695,"a_NE=ub,gamma_Si=ub",15.727113962879901,12.110448166714686,10.301276079981122
