gamma_Si,obj,obj_ratio_to_best,rmse_pocv,a_PE,b_PE,a_NE,b_NE,bounds,LAM_PE_pct,LAM_NE_pct,LLI_pct,n_ok,n_tried,run_id,profile_scale,inputs_sha
0.0,0.7613237794178732,2.62494527891909,0.02681444594936484,1.05447863931755,0.0,1.1778543166006192,-0.0007533880855786501,"b_PE=ub,gamma_Si=lb",5.996274809482208,-12.845786670159686,3.9267494599006634,25,25,eafd1ebec57b434e89eafddc9fa05c4d,global,47c82adb7e97
0.025,0.7287930103090636,2.512783422032038,0.024670310725945804,1.0545807279416766,0.0,1.162611721201773,-0.0006898552806076331,b_PE=ub,5.987173903489756,-11.385451003485723,3.9232391581117443,24,25,eafd1ebec57b434e89eafddc9fa05c4d,global,47c82adb7e97
0.05,0.6964744798845015,2.401353336498097,0.022624917758684207,1.0546986026288774,0.0,1.1484497370794846,-0.0004830332488361603,b_PE=ub,5.976665715566937,-10.028644634000024,3.9313373396470848,23,25,eafd1ebec57b434e89eafddc9fa05c4d,global,47c82adb7e97
0.07500000000000001,0.6590504007195221,2.2723199835702257,0.018547308951659902,1.0544154059034256,0.0,1.18714555212064,-0.0005334395360000008,b_PE=ub,6.001911885723076,-13.735944957663737,3.9525316680224374,24,25,eafd1ebec57b434e89eafddc9fa05c4d,global,47c82adb7e97
0.1,0.6163065929902297,2.1249448990985145,0.016806587568569623,1.0543506900717672,0.0,1.16973292114192,-0.0004857599184377195,b_PE=ub,6.007681115205657,-12.067706353706486,3.9627646744818072,22,25,eafd1ebec57b434e89eafddc9fa05c4d,global,47c82adb7e97
0.125,0.5776176840403093,1.9915505777333309,0.01522577423664537,1.0543582258238748,0.0,1.1528027435602008,-0.0004196644573165925,b_PE=ub,6.007009324669727,-10.44568979295859,3.9680962237994013,23,25,eafd1ebec57b434e89eafddc9fa05c4d,global,47c82adb7e97
0.15000000000000002,0.5398659424097287,1.8613874872806235,0.013808052306211113,1.0544052107677906,0.0,1.1368183495932727,-0.00030915018345466206,b_PE=ub,6.002820752619743,-8.914285198840695,3.973880230609334,24,25,eafd1ebec57b434e89eafddc9fa05c4d,global,47c82adb7e97
0.17500000000000002,0.501636491210126,1.7295773164242827,0.012466716749825947,1.0544979543939361,0.0,1.1243166356081826,-0.00021871097011414716,b_PE=ub,5.994552926207432,-7.71654305918085,3.973670426108507,23,25,eafd1ebec57b434e89eafddc9fa05c4d,global,47c82adb7e97
0.2,0.46354274424291947,1.5982350360946638,0.011371517323956989,1.0545556350488778,0.0,1.1117857479981934,-0.00017491217886923225,b_PE=ub,5.989410862410442,-6.516005904377457,3.972406556424621,24,25,eafd1ebec57b434e89eafddc9fa05c4d,global,47c82adb7e97
0.225,0.4223620195404899,1.4562492584104794,0.010613639459414927,1.0545896473577727,0.0,1.099785586755429,-5.2131869100318676e-06,b_PE=ub,5.986378763305489,-5.3663156442808235,3.984760105557403,24,25,eafd1ebec57b434e89eafddc9fa05c4d,global,47c82adb7e97
0.25,0.3557567339214629,1.226602904568221,0.01035506902883387,1.054656805553839,0.0,1.0855536422168082,0.00024616664110147066,b_PE=ub,5.980391804089908,-4.002806630753722,4.001532503040759,21,25,eafd1ebec57b434e89eafddc9fa05c4d,global,47c82adb7e97
0.275,0.3029761547995624,1.0446223389663112,0.010030146965127081,1.0544862401873112,0.0,1.0613639226539695,4.082240186455266e-05,b_PE=ub,5.995597213895533,-1.6852806897891093,3.998366072090502,20,25,eafd1ebec57b434e89eafddc9fa05c4d,global,47c82adb7e97
0.30000000000000004,0.2908376270422236,1.0027702755065069,0.009746487663278711,1.05469871243083,0.0,1.0375243766141498,-0.0001898151517141149,b_PE=ub,5.97665592703999,0.5986964445708173,3.95802328733054,23,25,eafd1ebec57b434e89eafddc9fa05c4d,global,47c82adb7e97
0.325,0.3075374392575531,1.0603490539691771,0.01003297070121028,1.0557490425540021,0.0,1.0048056595628005,-0.0001428644229514629,b_PE=ub,5.883022030082249,3.7333535175726436,3.866670942592566,24,25,eafd1ebec57b434e89eafddc9fa05c4d,global,47c82adb7e97
0.35000000000000003,0.355182682225324,1.2246236490525355,0.011099787413031756,1.0558904164640681,0.0,1.0,-0.0006289914393899858,"b_PE=ub,a_NE=lb",5.870418954310559,4.193765663786375,3.809540328508989,23,25,eafd1ebec57b434e89eafddc9fa05c4d,global,47c82adb7e97
0.375,0.4208495674717369,1.4510345205751523,0.011779911352698073,1.0559863060341148,0.0,1.0,-0.0006732897121755499,"b_PE=ub,a_NE=lb",5.861870676085466,4.193765663786375,3.7967769727755196,23,25,eafd1ebec57b434e89eafddc9fa05c4d,global,47c82adb7e97
0.4,0.4691093217629989,1.6174278707020924,0.03825659158944031,1.0548719829470636,0.0,1.0345762283506417,-0.029867480317281977,b_PE=ub,5.96120936095101,0.8811474279623652,1.2402547320377293,24,25,eafd1ebec57b434e89eafddc9fa05c4d,global,47c82adb7e97
0.42500000000000004,0.48518219501002696,1.672845045219761,0.04078983054349718,1.0549220991272774,0.0,1.0407110996641775,-0.04025477051752721,b_PE=ub,5.956741648228571,0.29338850927524424,0.2899845240282323,22,25,eafd1ebec57b434e89eafddc9fa05c4d,global,47c82adb7e97
0.45,0.49969079814932116,1.722868820049599,0.04238115057879365,1.0549717005147825,0.0,1.0445192360901372,-0.049385697810481216,b_PE=ub,5.952319827789314,-0.07145470153452481,-0.5458536699459221,24,25,eafd1ebec57b434e89eafddc9fa05c4d,global,47c82adb7e97
0.47500000000000003,0.5137862952477223,1.7714682590304187,0.04368722386168575,1.0550137294166533,0.0,1.0458925953023102,-0.05789797774994909,b_PE=ub,5.94857307257378,-0.20303107604375883,-1.3246778860131987,25,25,eafd1ebec57b434e89eafddc9fa05c4d,global,47c82adb7e97
0.5,0.5283208773739525,1.821581606025152,0.044831024644756974,1.0550737392186837,0.0,1.0476979092621812,-0.06599597865451184,"b_PE=ub,gamma_Si=ub",5.9432233720407766,-0.3759914083336113,-2.0674212696197074,25,25,eafd1ebec57b434e89eafddc9fa05c4d,global,47c82adb7e97
