gamma_Si,obj,obj_ratio_to_best,rmse_pocv,a_PE,b_PE,a_NE,b_NE,bounds,LAM_PE_pct,LAM_NE_pct,LLI_pct,n_ok,n_tried,run_id,profile_scale,inputs_sha
0.0,0.7892894271763994,1.73052564979557,0.026420144119827987,1.0385504921578586,-0.005412519685751172,1.2447110767212024,-1.1429923119890078e-05,gamma_Si=lb,12.979087733764413,-12.299206556267736,10.90920678886338,25,25,4f9729a20bec4216b6e3fa48c7ee0566,global,9cebc0bf4cd5
0.025,0.7583639367040249,1.6627211757303273,0.026746457520785877,1.0758294003927764,-0.03444805402817995,1.225802302407603,0.00047777279175223946,-,9.855460498124199,-10.593236076787232,10.240547193932374,23,25,4f9729a20bec4216b6e3fa48c7ee0566,global,9cebc0bf4cd5
0.05,0.7294393122801243,1.5993036222286552,0.025062658077693898,1.0787755940029016,-0.03645824063878657,1.2099617544875751,0.0005379268391213966,-,9.608596761019466,-9.164084367523454,10.165020426881647,24,25,4f9729a20bec4216b6e3fa48c7ee0566,global,9cebc0bf4cd5
0.07500000000000001,0.702995450437387,1.541325167655641,0.023465692160041282,1.0787905674737226,-0.036383315937760216,1.1928470588624038,0.000600082120343125,-,9.607342122847836,-7.619977646611504,10.162628095118132,21,25,4f9729a20bec4216b6e3fa48c7ee0566,global,9cebc0bf4cd5
0.1,0.6806007491174306,1.4922245415490227,0.021985335015835834,1.0787037223955307,-0.036239148476386276,1.1781203776738256,0.0006100406505523919,-,9.614618936047723,-6.291320222720932,10.158543803706731,23,25,4f9729a20bec4216b6e3fa48c7ee0566,global,9cebc0bf4cd5
0.125,0.662026958629938,1.4515013039813778,0.02085051043814595,1.0789893255474687,-0.03639832115136418,1.1616383073954983,0.0006607371935695941,-,9.59068803715024,-4.8042896585385515,10.152013096499882,23,25,4f9729a20bec4216b6e3fa48c7ee0566,global,9cebc0bf4cd5
0.15000000000000002,0.6448573524344785,1.4138567557395183,0.01964505851917788,1.0799748080348142,-0.03662741373898301,1.1482555772978742,0.0007294319444467609,-,9.508113732175412,-3.5968849847738475,10.092711599391734,22,25,4f9729a20bec4216b6e3fa48c7ee0566,global,9cebc0bf4cd5
0.17500000000000002,0.6286071570984192,1.3782280258022122,0.018815320868580537,1.080519751933677,-0.03696753416155673,1.1356391731395645,0.0007883276452301713,-,9.462452480680138,-2.45861908269518,10.080127919585859,23,25,4f9729a20bec4216b6e3fa48c7ee0566,global,9cebc0bf4cd5
0.2,0.6012431305309865,1.3182321000667896,0.015646172941899933,1.0853170983886125,-0.037431942307509514,1.1679998406826544,0.0009655666447612991,-,9.060479280418809,-5.378234210000852,9.721772635279773,23,25,4f9729a20bec4216b6e3fa48c7ee0566,global,9cebc0bf4cd5
0.225,0.5465479365500444,1.1983122926481469,0.015706847936156485,1.0787091030525426,-0.032547570103888965,1.158340210969307,0.0011180832542680126,-,9.614168086825355,-4.506731760377169,9.88355637865542,20,25,4f9729a20bec4216b6e3fa48c7ee0566,global,9cebc0bf4cd5
0.25,0.4988750737354609,1.0937890226545854,0.016707210864514366,1.071953598653957,-0.028798034407172747,1.1300335754889548,0.0009850055958891156,-,10.180216786452903,-1.9528758783401772,10.131292225262262,22,25,4f9729a20bec4216b6e3fa48c7ee0566,global,9cebc0bf4cd5
0.275,0.47231667103715086,1.035559436010504,0.018200622991150706,1.06269075920078,-0.023217599010901042,1.1028817298683442,0.0008295240939960546,-,10.956356940906392,0.4967935885411026,10.435426677928854,25,25,4f9729a20bec4216b6e3fa48c7ee0566,global,9cebc0bf4cd5
0.30000000000000004,0.46016088375345743,1.0089077402401148,0.01978873201448274,1.1001488785750657,-0.053344206630910745,1.062161813826253,0.0011266627019214629,-,7.817713471627238,4.170589337680178,9.82883688375331,24,25,4f9729a20bec4216b6e3fa48c7ee0566,global,9cebc0bf4cd5
0.325,0.45964012013026884,1.0077659603348241,0.020721926036066173,1.0935244418923251,-0.0484276477988604,1.042475959966567,0.0008018895479867318,-,8.372779910606296,5.946668791113498,9.948105107925265,23,25,4f9729a20bec4216b6e3fa48c7ee0566,global,9cebc0bf4cd5
0.35000000000000003,0.4824324636392382,1.057738421263796,0.022047182096891386,1.0892857547892407,-0.045054407262039686,1.0264798384571427,0.000584765455131523,-,8.727942631443428,7.3898565212475535,10.004011410807172,24,25,4f9729a20bec4216b6e3fa48c7ee0566,global,9cebc0bf4cd5
0.375,0.516393337990501,1.13219800748249,0.023469948957227465,1.0868149779001675,-0.042580007669455584,1.0139819700456467,0.0004975835794032247,-,8.93497085059794,8.517427997475366,9.99618112801084,24,25,4f9729a20bec4216b6e3fa48c7ee0566,global,9cebc0bf4cd5
0.4,0.5544566611342133,1.2156522572781485,0.025284796289323504,1.0876494936897363,-0.04273888355071539,1.0035789240375157,0.0004441104941245894,-,8.865046156654591,9.456002285380679,9.93330807713489,22,25,4f9729a20bec4216b6e3fa48c7ee0566,global,9cebc0bf4cd5
0.42500000000000004,0.5966310166387068,1.3081199902176543,0.026412049777760432,1.0855181312172104,-0.040553026257753116,1.0,0.00046436562990754697,a_NE=lb,9.043634591333252,9.778896760455874,9.930355512231866,23,25,4f9729a20bec4216b6e3fa48c7ee0566,global,9cebc0bf4cd5
0.45,0.6372375782211879,1.3971503179389735,0.026900964709571283,1.0851378514145518,-0.03927639895044181,1.0,0.0005503086276249326,a_NE=lb,9.075498516673102,9.778896760455874,9.860472511595797,23,25,4f9729a20bec4216b6e3fa48c7ee0566,global,9cebc0bf4cd5
0.47500000000000003,0.6686908851889826,1.4661120354085495,0.02775947910592663,1.0851213869023513,-0.0389748984773954,1.0,0.0006400773829853852,a_NE=lb,9.076878090302422,9.778896760455874,9.843634181936514,22,25,4f9729a20bec4216b6e3fa48c7ee0566,global,9cebc0bf4cd5
0.5,0.6833431618384893,1.4982373112539147,0.05365301629324584,1.0302114801643867,0.0,1.0955283678754177,-0.06805054331337272,"b_PE=ub,gamma_Si=ub",13.677819703515096,1.1602220200626672,5.29439924326522,24,25,4f9729a20bec4216b6e3fa48c7ee0566,global,9cebc0bf4cd5
