job	rc	done	wall_s	peak_total_MiB	peak_self_MiB	killed	start	host_avail_min_MiB
V2_top_fcc_relax	0	1	268	2752	—	0	2026-09-26 18:58:49	118499
V2_top_hcp_relax	0	1	307	2752	—	0	2026-09-26 19:03:22	118514
V2_bridge_relax	0	1	232	2750	—	0	2026-09-26 19:08:33	118483
V2_hollow_fcc_relax	0	1	238	2750	—	0	2026-09-26 19:12:29	118510
