# Shi et al. Adv. Energy Mater. 2020, 10, 1902881 (DOI 10.1002/aenm.201902881) — main + SI figure readout. ALL y_value = DIGITIZED (not stated) except rows flagged 'check' (digitized vs stated). tools/litdb/shi2019_fig_digitize.py
figure,panel,series,x_name,x_value,x_unit,y_name,y_value,y_unit,flag,note,provenance
3,3a,lambda=1.67 (D_CAM 5 um),f_CAM,60.0,wt%,theta_CAM,0.9967,fraction,ok,,digitized
3,3a,lambda=1.67 (D_CAM 5 um),f_CAM,61.0,wt%,theta_CAM,0.9988,fraction,ok,,digitized
3,3a,lambda=1.67 (D_CAM 5 um),f_CAM,62.0,wt%,theta_CAM,0.9966,fraction,ok,,digitized
3,3a,lambda=1.67 (D_CAM 5 um),f_CAM,63.0,wt%,theta_CAM,0.9953,fraction,ok,,digitized
3,3a,lambda=1.67 (D_CAM 5 um),f_CAM,64.0,wt%,theta_CAM,0.9943,fraction,ok,,digitized
3,3a,lambda=1.67 (D_CAM 5 um),f_CAM,65.0,wt%,theta_CAM,0.9919,fraction,ok,,digitized
3,3a,lambda=1.67 (D_CAM 5 um),f_CAM,66.0,wt%,theta_CAM,0.9932,fraction,ok,,digitized
3,3a,lambda=1.67 (D_CAM 5 um),f_CAM,67.0,wt%,theta_CAM,0.9941,fraction,ok,,digitized
3,3a,lambda=1.67 (D_CAM 5 um),f_CAM,68.0,wt%,theta_CAM,0.9895,fraction,ok,,digitized
3,3a,lambda=1.67 (D_CAM 5 um),f_CAM,69.0,wt%,theta_CAM,0.9892,fraction,ok,,digitized
3,3a,lambda=1.67 (D_CAM 5 um),f_CAM,70.0,wt%,theta_CAM,0.9848,fraction,ok,,digitized
3,3a,lambda=1.67 (D_CAM 5 um),f_CAM,71.0,wt%,theta_CAM,0.9811,fraction,ok,,digitized
3,3a,lambda=1.67 (D_CAM 5 um),f_CAM,72.0,wt%,theta_CAM,0.9723,fraction,ok,,digitized
3,3a,lambda=1.67 (D_CAM 5 um),f_CAM,73.0,wt%,theta_CAM,n/a,fraction,not_found,연결선과 겹쳐 마커 분리 실패,digitized
3,3a,lambda=1.67 (D_CAM 5 um),f_CAM,74.0,wt%,theta_CAM,0.9436,fraction,ok,,digitized
3,3a,lambda=1.67 (D_CAM 5 um),f_CAM,75.0,wt%,theta_CAM,0.9188,fraction,ok,,digitized
3,3a,lambda=1.67 (D_CAM 5 um),f_CAM,76.0,wt%,theta_CAM,0.8293,fraction,ok,,digitized
3,3a,lambda=1.67 (D_CAM 5 um),f_CAM,77.0,wt%,theta_CAM,0.7326,fraction,ok,,digitized
3,3a,lambda=1.67 (D_CAM 5 um),f_CAM,78.0,wt%,theta_CAM,0.6436,fraction,ok,,digitized
3,3a,lambda=1.67 (D_CAM 5 um),f_CAM,79.0,wt%,theta_CAM,0.6024,fraction,ok,,digitized
3,3a,lambda=1.67 (D_CAM 5 um),f_CAM,80.0,wt%,theta_CAM,0.4989,fraction,ok,,digitized
3,3a,lambda=1.67 (D_CAM 5 um),f_CAM,81.0,wt%,theta_CAM,0.3942,fraction,ok,,digitized
3,3a,lambda=1.67 (D_CAM 5 um),f_CAM,82.0,wt%,theta_CAM,0.3316,fraction,ok,,digitized
3,3a,lambda=1.67 (D_CAM 5 um),f_CAM,83.0,wt%,theta_CAM,0.2494,fraction,ok,,digitized
3,3a,lambda=1.67 (D_CAM 5 um),f_CAM,84.0,wt%,theta_CAM,0.2168,fraction,ok,,digitized
3,3a,lambda=1.67 (D_CAM 5 um),f_CAM,85.0,wt%,theta_CAM,0.1895,fraction,ok,,digitized
