time_s_exact,electrode,sample_index,coordinate_first_m,coordinate_second_m,x_surface_first,x_surface_second,x_surface_difference_second_minus_first,x_particle_average_first,x_particle_average_second,x_particle_average_difference_second_minus_first,Eeq_V_first,Eeq_V_second,Eeq_V_difference_second_minus_first,etaMid_V_first,etaMid_V_second,etaMid_V_difference_second_minus_first,phil_V_first,phil_V_second,phil_V_difference_second_minus_first
0.001,N,0,0.0,0.0,0.011724168320565843,0.011724168321773608,1.207765E-12,0.011720706911521227,0.011720706911530035,8.808E-15,1.4128348329679776,1.412834832892254,-7.57236E-11,-0.05450830469783341,-0.0545083046306829,6.715051E-11,-1.3583265282701442,-1.358326528261571,8.5732E-12
0.001,N,1,2.1666666666666665E-7,2.1666666666666665E-7,0.011724168314619756,0.011724168313415504,-1.204252E-12,0.011720706911477877,0.011720706911469094,-8.783E-15,1.4128348333407816,1.4128348334162848,7.55032E-11,-0.0545082079759136,-0.05450820805998524,-8.407164E-11,-1.3583265005435068,-1.3583265005349383,8.5685E-12
0.001,N,2,4.333333333333333E-7,4.333333333333333E-7,0.011724168308673672,0.011724168309876413,1.202741E-12,0.011720706911434519,0.011720706911443293,8.774E-15,1.412834833713585,1.4128348336381764,-7.54086E-11,-0.054508167221446024,-0.05450816715459794,6.6848084E-11,-1.3583264173638838,-1.3583264173553233,8.5605E-12
0.001,N,3,6.5E-7,6.5E-7,0.011724168312355574,0.011724168311156332,-1.199242E-12,0.011720706911461366,0.011720706911452624,-8.742E-15,1.4128348334827394,1.412834833557929,7.51896E-11,-0.05450818183064077,-0.054508181914395104,-8.3754334E-11,-1.358326278731416,-1.3583262787228514,8.5646E-12
0.001,N,4,8.666666666666666E-7,8.666666666666666E-7,0.011724168316057522,0.011724168317255257,1.197735E-12,0.01172070691148836,0.011720706911497094,8.734E-15,1.4128348332506375,1.412834833175543,-7.50945E-11,-0.05450825240592505,-0.054508252339394714,6.6530336E-11,-1.3583260846460694,-1.3583260846375051,8.5643E-12
0.001,N,5,0.0000010833333333333333,0.0000010833333333333333,0.011724168329367471,0.011724168328173225,-1.194246E-12,0.011720706911585395,0.01172070691157669,-8.705E-15,1.4128348324161393,1.4128348324910154,7.48761E-11,-0.05450837834625011,-0.054508378429691584,-8.3441474E-11,-1.3583258351077534,-1.358325835099188,8.5654E-12
0.001,N,6,0.0000013,0.0000013,0.01172416834271751,0.011724168343910253,1.192743E-12,0.011720706911682728,0.011720706911691426,8.698E-15,1.4128348315791275,1.4128348315043457,-7.47818E-11,-0.05450856025167705,-0.054508560185459576,6.6217474E-11,-1.358325530116291,-1.3583255301077268,8.5642E-12
0.001,N,7,0.0000015166666666666664,0.0000015166666666666664,0.011724168365655712,0.011724168364466426,-1.189286E-12,0.011720706911849966,0.011720706911841294,-8.672E-15,1.4128348301409634,1.4128348302155285,7.45651E-11,-0.05450879752381477,-0.05450879760694516,-8.313039E-11,-1.3583251696714376,-1.3583251696628722,8.5654E-12
0.001,N,8,0.0000017333333333333332,0.0000017333333333333332,0.011724168388654055,0.01172416838984183,1.187775E-12,0.011720706912017643,0.011720706912026303,8.660E-15,1.4128348286990289,1.4128348286245584,-7.44705E-11,-0.05450909076037913,-0.05450909069447274,6.590639E-11,-1.3583247537728615,-1.3583247537642975,8.5640E-12
0.001,N,9,0.00000195,0.00000195,0.011724168421220873,0.01172416842003655,-1.184323E-12,0.01172070691225508,0.011720706912246442,-8.638E-15,1.4128348266571766,1.4128348267314303,7.42537E-11,-0.05450943936562269,-0.054509439448442665,-8.2819975E-11,-1.3583242824201671,-1.3583242824116009,8.5662E-12
