time_s,V_V,delta_Eeq_V,delta_etaMid_V,delta_phiL_V,Li_total_mol_m2,identity_residual_V,Eeq_surface_residual_N_V,reaction_input_surface_residual_N_x,eta_minus_etaMid_N_V,boundary_N_phis_V,boundary_N_phil_V,boundary_N_Eeq_V,boundary_N_etamid_V,boundary_N_x_surface,boundary_N_x_particle_average,Eeq_surface_residual_P_V,reaction_input_surface_residual_P_x,eta_minus_etaMid_P_V,boundary_P_phis_V,boundary_P_phil_V,boundary_P_Eeq_V,boundary_P_etamid_V,boundary_P_x_surface,boundary_P_x_particle_average
0.0,2.2306115890131673,2.1653333621388813,0.062714519252576207,0.0025637076217097,1.236902963915189090,9.3E-17,0E-16,0E-13,0E-18,0.0,-1.358541929375794,1.4130534126086267,-0.054511483232832614,0.011720682053237088,0.011720681490508403,0E-15,0E-11,0E-18,2.2306115890131673,-1.3559782217540843,3.578386774747508,0.008203036019743593,0.9240638860887889,0.9240638866942696
0.00001002,2.230628982801418,2.1653510516079945,0.062714218182887692,0.0025637130105353,1.236902963915189342,5.08E-16,0E-16,0E-12,0E-17,0.0,-1.3585246502206407,1.4130358774424248,-0.05451122722178403,0.011720961732885445,0.011720681744716356,0E-16,0E-10,0E-18,2.230628982801418,-1.3559609372101054,3.5783869290504193,0.008202990961103662,0.9240635985230837,0.9240638864207313
0.00002002,2.2306462526326234,2.1653686131634018,0.062713921067225178,0.0025637184019966,1.236902963915190526,-1.78E-16,0E-16,0E-12,0E-17,0.0,-1.3585074895877196,1.4130184625273112,-0.05451097293959162,0.011721239494571815,0.011720681998925698,0E-15,0E-11,0E-18,2.2306462526326234,-1.355943771185723,3.578387075690713,0.008202948127633558,0.9240633252377708,0.9240638861471938
0.00004002,2.2306805079487275,2.1654034433697475,0.062713335394724455,0.0025637291842558,1.236902963915190782,-2.55E-16,0E-16,0E-12,0E-17,0.0,-1.358473441205913,1.4129839094495085,-0.05451046824359551,0.011721790603842075,0.011720682507347542,0E-15,0E-11,0E-18,2.2306805079487275,-1.3559097120216572,3.578387352819256,0.008202867151128945,0.9240628087688061,0.9240638856001218
0.00007001,2.2307310069469373,2.1654547797598595,0.062712481860358827,0.0025637453267192,1.23690296391519099,-2.27E-16,0E-16,0E-13,0E-18,0.0,-1.3584232210530982,1.4129329443259275,-0.054509723272829325,0.011722603479390407,0.011720683269735875,0E-15,0E-9,0E-18,2.2307310069469373,-1.355859475726379,3.578387724085787,0.008202758587529502,0.9240621168601377,0.9240638847797934
0.00010,2.2307804849961026,2.1655050680572939,0.062711655531185519,0.0025637614076233,1.236902963915189325,-1.19E-16,0E-16,0E-13,0E-17,0.0,-1.3583739894964995,1.4128829817896131,-0.05450899229311368,0.011723400364029326,0.011720684032135862,0E-15,0E-9,0E-18,2.2307804849961026,-1.3558102280888762,3.578388049846907,0.008202663238071839,0.9240615097573605,0.9240638839594714
0.00015000000000000001,2.230860781275788,2.1655866630109486,0.062710330281434246,0.0025637879834053,1.236902963915190060,-1.46E-16,0E-16,0E-12,0E-17,0.0,-1.3582940498930816,1.4128018537886544,-0.05450780389557286,0.011724694326716564,0.011720685303251778,0E-15,0E-9,0E-18,2.230860781275788,-1.3557302619096763,3.578388516799603,0.008202526385861386,0.9240606395237371,0.9240638825918259
0.00020,2.230938440905455,2.165665563184647,0.062709063519413635,0.0025638142013942,1.236902963915190581,1.65E-16,0E-15,0E-13,0E-17,0.0,-1.3582166930614326,1.412723345146491,-0.05450665208505834,0.01172594651156501,0.011720686574398901,0E-15,0E-10,0E-18,2.230938440905455,-1.3556528788600384,3.578388908331138,0.008202411434355295,0.9240599098483153,0.9240638812241948
0.0002999999999999999,2.2310865393612382,2.1658160037276264,0.062706670311464707,0.0025638653221473,1.236902963915190264,-2.07E-16,0E-16,0E-13,0E-18,0.0,-1.3580691029530163,1.4125735524777923,-0.054504449524775955,0.011728335651218735,0.011720689116781634,0E-16,0E-11,0E-18,2.2310865393612382,-1.355505237630869,3.5783895562054187,0.008202220786688752,0.9240587024412557,0.9240638784889665
0.0003999999999999998,2.231225642001545,2.1659572860063548,0.062704441367648299,0.002563914627542,1.236902963915189652,-9.9E-17,0E-16,0E-13,0E-17,0.0,-1.357930414233119,1.4124327875661757,-0.05450237333305674,0.01173058080136605,0.011720691659277348,0E-16,0E-10,0E-18,2.231225642001545,-1.355366499605577,3.5783900735725305,0.008202068034591559,0.9240577382531086,0.9240638757537781
