source_id,path,top_level,extension,bytes,sha256,source_url,raw_url
fc-src-93a03d65-github-release-drafter-data-omol-yml,.github/release-drafter-data-omol.yml,.github,.yml,829,ca735967dccd58e9e651c2327a40e6310808f64ce78fecfdc1b93dcd4565cc17,https://github.com/facebookresearch/fairchem/blob/93a03d656806a55f08c7cd126cfaa40ef18181fb/.github/release-drafter-data-omol.yml,https://raw.githubusercontent.com/facebookresearch/fairchem/93a03d656806a55f08c7cd126cfaa40ef18181fb/.github/release-drafter-data-omol.yml
fc-src-93a03d65-github-release-drafter-data-oc-yml,.github/release-drafter-data_oc.yml,.github,.yml,819,a53e185e575be51380bed5d3e2b9d34087c0b826e75d0ec1804a0789bd938703,https://github.com/facebookresearch/fairchem/blob/93a03d656806a55f08c7cd126cfaa40ef18181fb/.github/release-drafter-data_oc.yml,https://raw.githubusercontent.com/facebookresearch/fairchem/93a03d656806a55f08c7cd126cfaa40ef18181fb/.github/release-drafter-data_oc.yml
fc-src-93a03d65-github-release-drafter-demo-ocpapi-yml,.github/release-drafter-demo_ocpapi.yml,.github,.yml,839,beec3b2f4f7698ea23e94a266bca0ed6761d968b90eb851a61517ffe64306944,https://github.com/facebookresearch/fairchem/blob/93a03d656806a55f08c7cd126cfaa40ef18181fb/.github/release-drafter-demo_ocpapi.yml,https://raw.githubusercontent.com/facebookresearch/fairchem/93a03d656806a55f08c7cd126cfaa40ef18181fb/.github/release-drafter-demo_ocpapi.yml
fc-src-93a03d65-github-release-drafter-lammps-yml,.github/release-drafter-lammps.yml,.github,.yml,816,e6b42a8d7573119a483c6c2bc6d010bd577962515170af00a0ea8e5573081dfe,https://github.com/facebookresearch/fairchem/blob/93a03d656806a55f08c7cd126cfaa40ef18181fb/.github/release-drafter-lammps.yml,https://raw.githubusercontent.com/facebookresearch/fairchem/93a03d656806a55f08c7cd126cfaa40ef18181fb/.github/release-drafter-lammps.yml
fc-src-93a03d65-github-release-yml,.github/release.yml,.github,.yml,469,daaa096bcc7c503cc6c96b87362bab90ed018755f63a444ed7a19a8d9cac5447,https://github.com/facebookresearch/fairchem/blob/93a03d656806a55f08c7cd126cfaa40ef18181fb/.github/release.yml,https://raw.githubusercontent.com/facebookresearch/fairchem/93a03d656806a55f08c7cd126cfaa40ef18181fb/.github/release.yml
fc-src-93a03d65-github-workflows-build-yml,.github/workflows/build.yml,.github,.yml,2557,aba2fa293954499336e98969ede57159b3f543d01ce7f31150e870e21a12d419,https://github.com/facebookresearch/fairchem/blob/93a03d656806a55f08c7cd126cfaa40ef18181fb/.github/workflows/build.yml,https://raw.githubusercontent.com/facebookresearch/fairchem/93a03d656806a55f08c7cd126cfaa40ef18181fb/.github/workflows/build.yml
fc-src-93a03d65-github-workflows-build-docs-yml,.github/workflows/build_docs.yml,.github,.yml,3721,68e56eafe4a2bcc36f9ec79c011a8f5b167996ada6554ec083e0daaeb0b24dc0,https://github.com/facebookresearch/fairchem/blob/93a03d656806a55f08c7cd126cfaa40ef18181fb/.github/workflows/build_docs.yml,https://raw.githubusercontent.com/facebookresearch/fairchem/93a03d656806a55f08c7cd126cfaa40ef18181fb/.github/workflows/build_docs.yml
fc-src-93a03d65-github-workflows-contributor-check-yml,.github/workflows/contributor-check.yml,.github,.yml,200,2059bcb1bd6c31660a9dfdc79639cc7fcfa672b69bb85de51f37aa6546160205,https://github.com/facebookresearch/fairchem/blob/93a03d656806a55f08c7cd126cfaa40ef18181fb/.github/workflows/contributor-check.yml,https://raw.githubusercontent.com/facebookresearch/fairchem/93a03d656806a55f08c7cd126cfaa40ef18181fb/.github/workflows/contributor-check.yml
fc-src-93a03d65-github-workflows-deploy-docs-yml,.github/workflows/deploy_docs.yml,.github,.yml,930,75ba5fffb4a7421b76eea3616492e22c25300462a2fe60fa053eec5f29499a21,https://github.com/facebookresearch/fairchem/blob/93a03d656806a55f08c7cd126cfaa40ef18181fb/.github/workflows/deploy_docs.yml,https://raw.githubusercontent.com/facebookresearch/fairchem/93a03d656806a55f08c7cd126cfaa40ef18181fb/.github/workflows/deploy_docs.yml
fc-src-93a03d65-github-workflows-integration-test-yml,.github/workflows/integration-test.yml,.github,.yml,1559,f16d9567ad4e49e6cd68cdb2d7f37f3edbe9fed07bb593c2fdfa19eb7207baeb,https://github.com/facebookresearch/fairchem/blob/93a03d656806a55f08c7cd126cfaa40ef18181fb/.github/workflows/integration-test.yml,https://raw.githubusercontent.com/facebookresearch/fairchem/93a03d656806a55f08c7cd126cfaa40ef18181fb/.github/workflows/integration-test.yml
