objective,w_dqdv,noise,n,degenerate_frac,degenerate_frac_corrected,mean_abs_err,pe_ne_antisym_frac,mean_abs_err_lli,mean_abs_err_lam_pe,mean_abs_err_lam_ne
wdqdv_0.00,0.0,0.0,79,0.569620253164557,0.1518987341772152,0.024726847384926514,0.7215189873417721,0.015541831046756294,0.019095338324232197,0.0132377485182118
wdqdv_0.25,0.25,0.0,79,0.6708860759493671,0.189873417721519,0.023453532235515842,0.620253164556962,0.017963226113916597,0.021746641747790795,0.009664319808868123
wdqdv_0.50,0.5,0.0,79,0.6582278481012658,0.26582278481012656,0.026234104238654153,0.4810126582278481,0.018767342764487892,0.022546487824011283,0.013285518466509907
wdqdv_0.75,0.75,0.0,79,0.620253164556962,0.2911392405063291,0.02557301744754008,0.5443037974683544,0.01922825414382536,0.02358682897555689,0.012099896380625929
wdqdv_1.00,1.0,0.0,79,0.6962025316455697,0.25316455696202533,0.024960690473416206,0.4936708860759494,0.019566854107944117,0.023758760709933276,0.010494298371019993
wdqdv_1.25,1.25,0.0,79,0.6075949367088608,0.27848101265822783,0.028281489181145255,0.379746835443038,0.020393890912608046,0.02421632172866561,0.015074696561886262
wdqdv_1.50,1.5,0.0,79,0.6455696202531646,0.2911392405063291,0.025425904521105897,0.379746835443038,0.01874420360391015,0.021731632668704703,0.014748156235591977
wdqdv_1.75,1.75,0.0,79,0.6582278481012658,0.3037974683544304,0.024345026231901035,0.35443037974683544,0.018120909686941807,0.021160037522019986,0.014726760641254348
wdqdv_2.00,2.0,0.0,79,0.6455696202531646,0.45569620253164556,0.029225714356993292,0.24050632911392406,0.02042171730349692,0.023116635787274263,0.020333029071091465
wdqdv_0.00,0.0,0.001,79,0.5822784810126582,0.13924050632911392,0.026310322293796703,0.7215189873417721,0.01480973756406846,0.016965184561661843,0.017015197177936925
wdqdv_0.25,0.25,0.001,79,0.6582278481012658,0.24050632911392406,0.023981768692600915,0.569620253164557,0.01860545603717011,0.02243424653476028,0.00920091586006506
wdqdv_0.50,0.5,0.001,79,0.6708860759493671,0.27848101265822783,0.023801074132579692,0.5443037974683544,0.018887610967488727,0.022757138215963205,0.012260921995924212
wdqdv_0.75,0.75,0.001,79,0.6708860759493671,0.27848101265822783,0.024697131067843877,0.4936708860759494,0.01920253252850828,0.023069586154426565,0.012510355147870937
wdqdv_1.00,1.0,0.001,79,0.6582278481012658,0.3291139240506329,0.025152365236679408,0.3037974683544304,0.019400710947103397,0.022947204550598573,0.014238508593578985
wdqdv_1.25,1.25,0.001,79,0.6455696202531646,0.24050632911392406,0.025233700232347035,0.4430379746835443,0.01884299179173837,0.02233976232546891,0.015841763169058484
wdqdv_1.50,1.5,0.001,79,0.6455696202531646,0.3037974683544304,0.02624111284140983,0.3037974683544304,0.019274247020956963,0.02234086489116373,0.01706788167456684
wdqdv_1.75,1.75,0.001,79,0.6455696202531646,0.3291139240506329,0.026321054963364923,0.4050632911392405,0.018941691563520553,0.021827940611850706,0.016526096525638165
wdqdv_2.00,2.0,0.001,79,0.6329113924050633,0.35443037974683544,0.027877815647129434,0.26582278481012656,0.019331507888340045,0.02126948739757937,0.019816359551826954
wdqdv_0.00,0.0,0.005,79,0.5949367088607594,0.16455696202531644,0.02429752025196985,0.6962025316455697,0.015389747522630424,0.017628004519883764,0.013908613246919077
wdqdv_0.25,0.25,0.005,79,0.7088607594936709,0.26582278481012656,0.02291551257276053,0.620253164556962,0.01765603976844552,0.021193578339079058,0.00901955488257408
wdqdv_0.50,0.5,0.005,79,0.6582278481012658,0.22784810126582278,0.023415750117200016,0.5189873417721519,0.0175941031582684,0.021239690095610702,0.010522023797046243
wdqdv_0.75,0.75,0.005,79,0.6329113924050633,0.34177215189873417,0.023113594543676258,0.46835443037974683,0.01769145876034868,0.0213258211358769,0.011167404090125165
wdqdv_1.00,1.0,0.005,79,0.6455696202531646,0.31645569620253167,0.02456975456538104,0.43037974683544306,0.017672326280856562,0.020978137937005353,0.012984605859938365
wdqdv_1.25,1.25,0.005,79,0.6329113924050633,0.3037974683544304,0.02392402555971706,0.4177215189873418,0.01776006323211302,0.020988065852206635,0.012075129613383443
wdqdv_1.50,1.5,0.005,79,0.569620253164557,0.2911392405063291,0.024228705057242218,0.3037974683544304,0.018696696074275168,0.02197179667381926,0.01274190004165091
wdqdv_1.75,1.75,0.005,79,0.5822784810126582,0.3670886075949367,0.028118929658878963,0.24050632911392406,0.019333417908079218,0.021929746542916358,0.01783542566644432
wdqdv_2.00,2.0,0.005,79,0.5949367088607594,0.4430379746835443,0.027690430314460508,0.2911392405063291,0.020173830753356447,0.022698017141575415,0.017787270185221207
