time_s_exact,V_first_V,V_second_V,difference_V_second_minus_first_V,difference_delta_Eeq_V,difference_delta_etaMid_V,difference_delta_phiL_V,difference_decomposition_residual_V
0.35,2.2609767819243016,2.2609767711712294,-1.07530722E-8,-1.09395053E-8,1.88768777E-10,-2.3357E-12,2.3E-17
0.36,2.26144391013949,2.261443900217059,-9.922431E-9,-1.00953225E-8,1.75038648E-10,-2.1475E-12,3.52E-16
0.37,2.2619040983659353,2.2619040891877162,-9.1782191E-9,-9.3388763E-9,1.62638570E-10,-1.9808E-12,-5.70E-16
0.38,2.2623576589837286,2.2623576504741467,-8.5095819E-9,-8.6591589E-9,1.51412885E-10,-1.8359E-12,1.5E-17
0.39,2.2628048812152306,2.2628048733080446,-7.9071860E-9,-8.0467166E-9,1.41231028E-10,-1.7010E-12,5.72E-16
0.4,2.2632460334561806,2.263246026093159,-7.3630216E-9,-7.4934184E-9,1.31981314E-10,-1.5845E-12,-1.4E-17
0.41,2.263681365320939,2.26368135845076,-6.870179E-9,-6.9922509E-9,1.23554723E-10,-1.4827E-12,-1.23E-16
0.42,2.2641111094417092,2.2641111030190366,-6.4226726E-9,-6.5371530E-9,1.15866205E-10,-1.3857E-12,-1.05E-16
0.43,2.2645354830555586,2.2645354770402215,-6.0153371E-9,-6.1228787E-9,1.08839163E-10,-1.2975E-12,-6.3E-17
0.44,2.2649546894079298,2.2649546837642465,-5.6436833E-9,-5.7448669E-9,1.02401865E-10,-1.2179E-12,-3.65E-16
0.45,2.2653689189971273,2.265368913693327,-5.3038003E-9,-5.3991512E-9,9.6496143E-11,-1.1448E-12,-4.43E-16
0.46,2.2657783506806912,2.265778345688406,-4.9922852E-9,-5.0822731E-9,9.1063601E-11,-1.0758E-12,9.9E-17
0.47,2.266183152661466,2.266183147955304,-4.706162E-9,-4.7912046E-9,8.6062488E-11,-1.0201E-12,2.12E-16
0.48,2.266583483368685,2.26658347892587,-4.442815E-9,-4.5232947E-9,8.1445519E-11,-9.657E-13,-1.19E-16
0.49,2.2669794922472035,2.266979488047255,-4.1999485E-9,-4.2762120E-9,7.7174045E-11,-9.106E-13,5.5E-17
0.5,2.267371320466178,2.2673713164906295,-3.9755485E-9,-4.0479051E-9,7.3221649E-11,-8.649E-13,-1.49E-16
0.51,2.2677591015568823,2.2677590977890563,-3.7678260E-9,-3.8365616E-9,6.9551922E-11,-8.167E-13,3.78E-16
0.52,2.268142961988138,2.268142958412928,-3.575210E-9,-3.6405791E-9,6.6146646E-11,-7.779E-13,3.54E-16
0.53,2.268523021686586,2.2685230182902876,-3.3962984E-9,-3.4585346E-9,6.2976960E-11,-7.404E-13,-3.60E-16
0.54,2.268899394508139,2.268899391278289,-3.229850E-9,-3.2891640E-9,6.0019990E-11,-7.057E-13,-2.90E-16
0.55,2.269272188666101,2.2692721855913485,-3.0747525E-9,-3.1313418E-9,5.7264416E-11,-6.749E-13,-2.16E-16
0.56,2.269641507120742,2.269641504190723,-2.930019E-9,-2.9840633E-9,5.4689365E-11,-6.448E-13,-2.65E-16
0.57,2.270007447934505,2.2700074451397376,-2.7947674E-9,-2.8464258E-9,5.2273963E-11,-6.157E-13,1.37E-16
0.58,2.2703701045964877,2.2703701019282865,-2.6682012E-9,-2.7176238E-9,5.0011326E-11,-5.890E-13,2.74E-16
0.59,2.2707295663194564,2.270729563769852,-2.5496044E-9,-2.5969319E-9,4.7891911E-11,-5.644E-13,-1.1E-17
0.6,2.2710859183121475,2.271085915873809,-2.4383385E-9,-2.4836975E-9,4.5896397E-11,-5.375E-13,1.03E-16
0.61,2.27143924202939,2.2714392396955634,-2.3338266E-9,-2.3773302E-9,4.4021454E-11,-5.182E-13,3.46E-16
0.62,2.2717896154022212,2.2717896131666837,-2.2355375E-9,-2.2772981E-9,4.2255973E-11,-4.955E-13,1.27E-16
0.63,2.27213711304996,2.272137110906957,-2.143003E-9,-2.1831183E-9,4.0589755E-11,-4.740E-13,-4.55E-16
0.64,2.2724818064759282,2.272481804420136,-2.0557922E-9,-2.0943511E-9,3.9015905E-11,-4.569E-13,-1.05E-16
0.65,2.2728237642483595,2.2728237622748533,-1.9735062E-9,-2.0106011E-9,3.7533978E-11,-4.396E-13,5.22E-16
0.66,2.2731630521679,2.273163050272101,-1.895799E-9,-1.9315043E-9,3.6130877E-11,-4.256E-13,2.3E-17
0.67,2.2734997334228373,2.2734997316004977,-1.8223396E-9,-1.8567300E-9,3.4800609E-11,-4.101E-13,-1.09E-16
0.68,2.2738338687332194,2.2738338669803895,-1.7528299E-9,-1.7859769E-9,3.3540727E-11,-3.935E-13,-2.27E-16
0.69,2.2741655164847927,2.27416551479779,-1.6870027E-9,-1.7189687E-9,3.2344796E-11,-3.788E-13,4E-18
0.7,2.274494732853647,2.274494731229041,-1.624606E-9,-1.6554514E-9,3.121081E-11,-3.650E-13,-4.1E-16
0.71,2.2748215719223555,2.274821570356942,-1.5654135E-9,-1.5951945E-9,3.0137001E-11,-3.563E-13,2.99E-16
0.72,2.2751460857883017,2.2751460842790925,-1.5092092E-9,-1.5379808E-9,2.9109603E-11,-3.378E-13,-2.03E-16
0.73,2.2754683246648617,2.2754683232090507,-1.4558110E-9,-1.4836179E-9,2.8136155E-11,-3.289E-13,-3.55E-16
0.74,2.2757883369759715,2.2757883355709416,-1.4050299E-9,-1.4319215E-9,2.7211123E-11,-3.192E-13,-3.23E-16
0.75,2.2761061694446623,2.276106168087955,-1.3567073E-9,-1.3827249E-9,2.6324724E-11,-3.070E-13,-1.24E-16
0.76,2.2764218671759733,2.2764218658652786,-1.3106947E-9,-1.3358762E-9,2.5480287E-11,-2.984E-13,-3.87E-16
0.77,2.2767354737347127,2.2767354724678697,-1.2668430E-9,-1.2912297E-9,2.4674929E-11,-2.886E-13,3.71E-16
0.78,2.2770470312184528,2.2770470299934247,-1.2250281E-9,-1.2486538E-9,2.3907542E-11,-2.815E-13,-3.42E-16
0.79,2.2773565803261113,2.277356579140987,-1.1851243E-9,-1.2080277E-9,2.3170353E-11,-2.669E-13,-5.3E-17
0.8,2.27766416042243,2.2776641592754006,-1.1470294E-9,-1.1692359E-9,2.2472693E-11,-2.661E-13,-9.3E-17
0.81,2.2779698095986545,2.277969808488024,-1.1106305E-9,-1.1321731E-9,2.1798787E-11,-2.562E-13,1.3E-17
0.82,2.27827356472972,2.278273563653886,-1.075834E-9,-1.0967413E-9,2.1155968E-11,-2.485E-13,-1.68E-16
0.83,2.2785754615281344,2.278575460485584,-1.0425504E-9,-1.0628473E-9,2.0540236E-11,-2.434E-13,6.4E-17
0.84,2.278875534594823,2.2788755335841295,-1.0106935E-9,-1.0304086E-9,1.9950039E-11,-2.347E-13,-2.39E-16
0.85,2.2791738174671448,2.279173816486956,-9.801888E-10,-9.993437E-10,1.9384273E-11,-2.294E-13,2.7E-17
0.86,2.279470342664246,2.2794703417132887,-9.509573E-10,-9.695785E-10,1.8840485E-11,-2.192E-13,-8.5E-17
0.87,2.279765141729968,2.279765140807029,-9.22939E-10,-9.410451E-10,1.8320237E-11,-2.144E-13,2.63E-16
0.88,2.2800582452734264,2.28005824437736,-8.960664E-10,-9.136765E-10,1.782063E-11,-2.104E-13,-1.3E-16
0.89,2.2803496830074574,2.2803496821371776,-8.702798E-10,-8.874136E-10,1.7336355E-11,-2.032E-13,6.45E-16
0.9,2.2806394837850226,2.2806394829395056,-8.455170E-10,-8.621976E-10,1.6878500E-11,-1.976E-13,-3.00E-16
0.91,2.280927675633769,2.2809276748120304,-8.217386E-10,-8.379774E-10,1.6432855E-11,-1.943E-13,2.45E-16
0.92,2.281214285788757,2.2812142849898747,-7.988823E-10,-8.147020E-10,1.6005639E-11,-1.861E-13,1.61E-16
0.93,2.2814993407236006,2.281499339946688,-7.769126E-10,-7.923239E-10,1.5591974E-11,-1.810E-13,3.26E-16
0.94,2.2817828661799875,2.2817828654242063,-7.557812E-10,-7.707998E-10,1.5193401E-11,-1.752E-13,3.99E-16
0.95,2.2820648871957836,2.2820648864603346,-7.354490E-10,-7.500869E-10,1.4812152E-11,-1.744E-13,1.48E-16
0.96,2.282345428131732,2.2823454274158586,-7.158734E-10,-7.301469E-10,1.4444223E-11,-1.709E-13,1.77E-16
0.97,2.282624512696879,2.282624511999856,-6.97023E-10,-7.109444E-10,1.4089616E-11,-1.679E-13,-3.16E-16
0.98,2.2829021639727696,2.2829021632939095,-6.788601E-10,-6.924425E-10,1.3742565E-11,-1.601E-13,-6.5E-17
0.99,2.2831784044365127,2.2831784037751603,-6.613524E-10,-6.746094E-10,1.3413491E-11,-1.564E-13,-9.1E-17
1,2.283453255982743,2.283453255338267,-6.44476E-10,-6.574142E-10,1.3091084E-11,-1.530E-13,1.16E-16
1.05,2.284807542999111,2.2848075424307366,-5.683744E-10,-5.798857E-10,1.1648019E-11,-1.363E-13,-4.19E-16
1.1,2.286130093769949,2.286130093265664,-5.04285E-10,-5.145849E-10,1.0423882E-11,-1.243E-13,3.18E-16
1.15,2.2874233817716267,2.2874233813220033,-4.496234E-10,-4.588840E-10,9.372947E-12,-1.125E-13,1.53E-16
1.2,2.2886890909858906,2.288689090583011,-4.028796E-10,-4.112430E-10,8.465227E-12,-1.019E-13,7.3E-17
1.25,2.2899288898763506,2.2899288895136594,-3.626912E-10,-3.702819E-10,7.681631E-12,-9.13E-14,3.69E-16
1.3,2.2911443329392913,2.29114433261135,-3.279413E-10,-3.348576E-10,7.002400E-12,-8.61E-14,0E-18
1.35,2.2923368410885887,2.2923368407908744,-2.977143E-10,-3.040432E-10,6.408431E-12,-7.97E-14,1.69E-16
1.4,2.2935077071054804,2.293507706834203,-2.712774E-10,-2.770886E-10,5.880848E-12,-6.90E-14,-6.48E-16
1.45,2.2946581078404282,2.2946581075923893,-2.480389E-10,-2.533885E-10,5.417001E-12,-6.71E-14,-3.01E-16
1.5,2.295789117147831,2.2957891169203246,-2.275064E-10,-2.324502E-10,5.005111E-12,-6.13E-14,-1.1E-17
1.55,2.2969017177524127,2.2969017175431223,-2.092904E-10,-2.138714E-10,4.636732E-12,-5.56E-14,-1.32E-16
1.6,2.2979968116578458,2.297996811464784,-1.930618E-10,-1.973164E-10,4.307217E-12,-5.24E-14,-2.17E-16
1.65,2.2990752291525025,2.2990752289739516,-1.785509E-10,-1.825101E-10,4.006574E-12,-4.72E-14,-1.74E-16
1.7,2.3001377365837783,2.3001377364182556,-1.655227E-10,-1.692205E-10,3.739898E-12,-4.17E-14,-3.98E-16
1.75,2.3011850430835104,2.3011850429297134,-1.537970E-10,-1.572522E-10,3.502086E-12,-4.74E-14,5.14E-16
1.8,2.302217806407181,2.3022178062639793,-1.432017E-10,-1.464395E-10,3.282705E-12,-4.51E-14,1.95E-16
1.85,2.3032366380245475,2.3032366378909432,-1.336043E-10,-1.366432E-10,3.081982E-12,-4.33E-14,2.18E-16
1.9,2.3042421075758424,2.3042421074509583,-1.248841E-10,-1.277439E-10,2.896793E-12,-3.74E-14,4.07E-16
1.95,2.3052347467880723,2.3052347466711267,-1.169456E-10,-1.196370E-10,2.731148E-12,-3.97E-14,-4.8E-17
2,2.306215052929704,2.306215052820008,-1.09696E-10,-1.122348E-10,2.573497E-12,-3.54E-14,7.03E-16
2.05,2.3071834918689835,2.3071834917659273,-1.030562E-10,-1.054590E-10,2.433827E-12,-3.11E-14,7.3E-17
2.1,2.3081405007903473,2.3081405006933755,-9.69718E-11,-9.92444E-11,2.304599E-12,-3.20E-14,1E-18
2.15,2.309086490614789,2.309086490523413,-9.1376E-11,-9.35315E-11,2.182255E-12,-2.67E-14,-5.5E-17
2.2,2.3100218481628723,2.310021848076647,-8.62253E-11,-8.82697E-11,2.072561E-12,-2.80E-14,-1.61E-16
2.25,2.3109469380931933,2.3109469380117234,-8.14699E-11,-8.34137E-11,1.969976E-12,-2.60E-14,-1.76E-16
2.3,2.311862104644275,2.3118621045672003,-7.70747E-11,-7.89248E-11,1.876055E-12,-2.56E-14,-3.55E-16
2.35,2.3127676732037927,2.3127676731307827,-7.30100E-11,-7.47677E-11,1.784572E-12,-2.72E-14,3.28E-16
2.4,2.313663951725674,2.313663951656441,-6.9233E-11,-7.09101E-11,1.701745E-12,-2.48E-14,1.55E-16
2.45,2.3145512320128008,2.3145512319470765,-6.57243E-11,-6.73274E-11,1.624479E-12,-2.11E-14,-2.79E-16
2.5,2.3154297908805765,2.315429790818114,-6.24625E-11,-6.39933E-11,1.551868E-12,-2.09E-14,-1.68E-16
2.55,2.3162998912146535,2.316299891155231,-5.94225E-11,-6.08860E-11,1.486816E-12,-2.33E-14,-1.6E-17
2.6,2.3171617829344244,2.3171617828778412,-5.65832E-11,-5.79862E-11,1.420865E-12,-1.79E-14,3.5E-17
2.65,2.318015703872313,2.318015703818376,-5.3937E-11,-5.52759E-11,1.359134E-12,-2.03E-14,6.6E-17
2.7,2.3188618805777144,2.31886188052626,-5.14544E-11,-5.27409E-11,1.302067E-12,-1.55E-14,-6.7E-17
2.75,2.319700529053395,2.319700529004262,-4.9133E-11,-5.03662E-11,1.250109E-12,-1.68E-14,-1.09E-16
2.8,2.3205318554310947,2.320531855384141,-4.69537E-11,-4.81377E-11,1.200372E-12,-1.62E-14,-1.72E-16
2.85,2.321356056592429,2.321356056547522,-4.4907E-11,-4.60461E-11,1.154184E-12,-1.54E-14,3.16E-16
2.9,2.3221733207404105,2.322173320697427,-4.29835E-11,-4.40801E-11,1.112890E-12,-1.60E-14,-2.90E-16
2.95,2.3229838279262567,2.3229838278850816,-4.11751E-11,-4.22285E-11,1.070474E-12,-1.67E-14,-3.74E-16
3,2.323787750535776,2.3237877504963076,-3.94684E-11,-4.04853E-11,1.029841E-12,-1.32E-14,2.59E-16
3.05,2.3245852537390133,2.3245852537011507,-3.78626E-11,-3.88404E-11,9.93429E-13,-1.60E-14,3.71E-16
3.1,2.3253764959064913,2.3253764958701453,-3.63460E-11,-3.72879E-11,9.56347E-13,-1.47E-14,2.53E-16
3.15,2.3261616289950764,2.3261616289601648,-3.49116E-11,-3.58214E-11,9.23488E-13,-1.37E-14,1.2E-17
3.2,2.3269407989060897,2.3269407988725357,-3.35540E-11,-3.44342E-11,8.92182E-13,-1.17E-14,-2.82E-16
3.25,2.327714145818107,2.3277141457858335,-3.22735E-11,-3.31220E-11,8.61977E-13,-1.38E-14,3.23E-16
3.3,2.32848180449657,2.328481804465513,-3.1057E-11,-3.18779E-11,8.33557E-13,-1.23E-14,-3.57E-16
3.35,2.3292439045821913,2.3292439045522872,-2.99041E-11,-3.06986E-11,8.05797E-13,-1.10E-14,-2.97E-16
3.4,2.3300005708598737,2.330000570831061,-2.88127E-11,-2.95800E-11,7.82487E-13,-1.49E-14,-2.87E-16
3.45,2.330751923509728,2.330751923481954,-2.7774E-11,-2.85174E-11,7.54066E-13,-1.06E-14,-6.6E-17
3.5,2.3314980783416623,2.3314980783148758,-2.67865E-11,-2.75079E-11,7.31639E-13,-1.05E-14,2.61E-16
3.55,2.332239147014804,2.3322391469889583,-2.58457E-11,-2.65477E-11,7.10545E-13,-8.4E-15,-1.45E-16
3.6,2.332975237242946,2.33297523721799,-2.4956E-11,-2.56333E-11,6.85893E-13,-8.7E-15,1.07E-16
3.65,2.3337064529870957,2.3337064529629914,-2.41043E-11,-2.47632E-11,6.67465E-13,-8.3E-15,-2.65E-16
3.7,2.3344328946361035,2.334432894612805,-2.32985E-11,-2.39334E-11,6.44372E-13,-9.5E-15,2.8E-17
3.75,2.335154659176248,2.3351546591537224,-2.25256E-11,-2.31426E-11,6.29053E-13,-1.19E-14,-1.53E-16
3.8,2.3358718403506264,2.3358718403288408,-2.17856E-11,-2.23872E-11,6.11289E-13,-9.5E-15,-1.89E-16
3.85,2.3365845288090434,2.3365845287879616,-2.10818E-11,-2.16665E-11,5.91524E-13,-6.7E-15,-1.24E-16
3.9,2.3372928122491077,2.3372928122286942,-2.04135E-11,-2.09782E-11,5.76423E-13,-1.17E-14,-2.3E-17
3.95,2.337996775549172,2.3379967755294033,-1.97687E-11,-2.03198E-11,5.60442E-13,-9.2E-15,-1.42E-16
4,2.3386965008936573,2.3386965008745038,-1.91535E-11,-1.96899E-11,5.44232E-13,-7.9E-15,6.8E-17
4.05,2.339392067891305,2.339392067872741,-1.8564E-11,-1.90878E-11,5.28910E-13,-5.4E-15,2.90E-16
4.1,2.3400835536868283,2.3400835536688263,-1.80020E-11,-1.85100E-11,5.15368E-13,-7.0E-15,-3.68E-16
4.15,2.3407710330664275,2.340771033048968,-1.74595E-11,-1.79572E-11,5.02045E-13,-4.5E-15,1.55E-16
4.2,2.3414545785575585,2.3414545785406156,-1.69429E-11,-1.74277E-11,4.90053E-13,-5.1E-15,-1.53E-16
4.25,2.3421342605233297,2.34213426050688,-1.64497E-11,-1.69190E-11,4.76509E-13,-7.1E-15,-1.09E-16
4.3,2.3428101472518894,2.3428101472359164,-1.59730E-11,-1.64318E-11,4.63408E-13,-4.7E-15,9.2E-17
4.35,2.343482305041135,2.34348230502562,-1.5515E-11,-1.59627E-11,4.49640E-13,-1.4E-15,-5.40E-16
4.4,2.3441507982789966,2.3441507982639194,-1.50772E-11,-1.55133E-11,4.41649E-13,-5.9E-15,3.51E-16
4.45,2.344815689519634,2.344815689504979,-1.4655E-11,-1.50817E-11,4.30767E-13,-3.8E-15,-2.67E-16
4.5,2.345477039555742,2.345477039541493,-1.4249E-11,-1.46663E-11,4.19216E-13,-2.5E-15,5.84E-16
4.55,2.3461349074872473,2.3461349074733873,-1.38600E-11,-1.42664E-11,4.10115E-13,-4E-15,2.85E-16
4.6,2.3467893507865947,2.346789350773107,-1.34877E-11,-1.38813E-11,3.99016E-13,-5.9E-15,4.84E-16
4.65,2.347440425360808,2.3474404253476835,-1.31245E-11,-1.35116E-11,3.87020E-13,-5E-16,5.80E-16
4.7,2.3480881856105906,2.3480881855978106,-1.27800E-11,-1.31546E-11,3.80808E-13,-6.3E-15,9.2E-17
4.75,2.3487326844865257,2.3487326844740837,-1.24420E-11,-1.28115E-11,3.72149E-13,-2.2E-15,-4.49E-16
4.8,2.3493739735426606,2.349373973530542,-1.21186E-11,-1.24815E-11,3.6260E-13,-2E-16,5.0E-16
4.85,2.350012102987535,2.350012102975726,-1.1809E-11,-1.21620E-11,3.56160E-13,-2.8E-15,-3.60E-16
4.9,2.350647121732853,2.350647121721345,-1.1508E-11,-1.18550E-11,3.48386E-13,-1.4E-15,1.4E-17
4.95,2.3512790774399175,2.351279077428697,-1.12205E-11,-1.15573E-11,3.39282E-13,-2.2E-15,-2.82E-16
5,2.351908016563937,2.351908016552994,-1.0943E-11,-1.12711E-11,3.32617E-13,-5.0E-15,4.83E-16
