time_s,V_V,delta_Eeq_V,delta_etaMid_V,delta_phiL_V,Li_total_mol_m2,identity_residual_V,Eeq_surface_residual_N_V,reaction_input_surface_residual_N_x,eta_minus_etaMid_N_V,Eeq_surface_residual_P_V,reaction_input_surface_residual_P_x,eta_minus_etaMid_P_V
0.0,2.2306115627203504,2.1653333353938041,0.06271451971042752,0.0025637076161191,1.236902963915189606,-3.2E-16,0E-16,0E-12,0E-17,0E-16,0E-11,0E-17
0.00001002,2.2306159338837825,2.1653377801463103,0.062714443533187891,0.0025637102042845,1.236902963915190245,-1.91E-16,0E-15,0E-13,0E-17,0E-16,0E-10,0E-18
0.00002002,2.230620303134049,2.165342222871125,0.062714367470528609,0.0025637127923957,1.236902963915190977,-3.09E-16,0E-15,0E-12,0E-17,0E-15,0E-11,0E-18
0.00004002,2.230629037054696,2.165351103595422,0.062714215490779157,0.0025637179684955,1.23690296391519237,-6.57E-16,0E-15,0E-13,0E-18,0E-15,0E-10,0E-18
0.00007001,2.2306421193118933,2.1653644055356277,0.062713988046612324,0.0025637257296531,1.236902963915190323,1.76E-16,0E-16,0E-12,0E-18,0E-15,0E-11,0E-18
0.00010,2.2306551843365043,2.165377689703689,0.062713761142487501,0.0025637334903276,1.236902963915190739,1.99E-16,0E-15,0E-11,0E-18,0E-15,0E-10,0E-18
0.00015000000000000001,2.230676927795199,2.165399797320809,0.062713384046413581,0.0025637464279766,1.236902963915191549,-1.81E-16,0E-15,0E-12,0E-17,0E-14,0E-10,0E-18
0.00020,2.230698622787384,2.1654218549849006,0.062713008438324946,0.0025637593641586,1.236902963915191111,-1.46E-16,0E-15,0E-12,0E-18,0E-16,0E-10,0E-18
0.0002999999999999999,2.230741868132064,2.1654658213325187,0.062712261568178105,0.0025637852313674,1.236902963915190718,-2.05E-16,0E-16,0E-12,0E-17,0E-16,0E-11,0E-18
0.00050,2.2308277867491273,2.1655531653450225,0.062710784465244805,0.0025638369388599,1.236902963915191627,9.5E-17,0E-15,0E-13,0E-16,0E-16,0E-10,0E-18
0.00075,2.2309341272084877,2.1656612580356288,0.062708967665631610,0.0025639015072269,1.23690296391518983,3.90E-16,0E-16,0E-13,0E-18,0E-15,0E-10,0E-18
0.001,2.2310393118499836,2.1657681641474047,0.06270718172067302,0.0025639659819056,1.236902963915192118,2.8E-16,0E-16,0E-12,0E-17,0E-16,0E-10,0E-17
0.0014999999999999996,2.2312463275930567,2.165978541079122,0.06270369197058434,0.0025640945433504,1.236902963915192206,-4E-17,0E-15,0E-12,0E-17,0E-15,0E-9,0E-17
0.002,2.231448980660534,2.166184455069028,0.062700303088158992,0.0025642225033466,1.236902963915190823,4.08E-16,0E-14,0E-13,0E-17,0E-15,0E-10,0E-18
0.003,2.231841977012174,2.1665837246435326,0.062693776193700978,0.0025644761749404,1.236902963915191059,2.2E-17,0E-15,0E-11,0E-18,0E-16,0E-10,0E-18
0.004,2.2322192815024695,2.1669670083202023,0.062687546568465314,0.0025647266138015,1.236902963915191292,3.86E-16,0E-16,0E-11,0E-18,0E-14,0E-10,0E-17
0.005,2.2325818729217564,2.1673353286459797,0.06268157066174340,0.0025649736140332,1.23690296391519010,1.0E-16,0E-15,0E-13,0E-17,0E-16,0E-11,0E-17
0.006,2.232930671413255,2.1676896380877636,0.062675816200559174,0.0025652171249324,1.236902963915191537,-1.74E-16,0E-16,0E-12,0E-17,0E-15,0E-10,0E-18
0.007,2.2332665288675986,2.1680308122333651,0.062670259433274202,0.0025654572009592,1.23690296391519053,9.8E-17,0E-16,0E-12,0E-17,0E-16,0E-9,0E-18
0.008,2.23359023263552,2.1683596562884342,0.062664882388774546,0.0025656939583112,1.236902963915190558,5.4E-17,0E-16,0E-12,0E-16,0E-15,0E-10,0E-18
0.009000000000000001,2.233902511817078,2.1686769133959234,0.062659670876191064,0.0025659275449634,1.236902963915190279,1.36E-16,0E-16,0E-13,0E-17,0E-16,0E-10,0E-18
0.01,2.234204043161707,2.1689832718518128,0.06265461318770149,0.0025661581221927,1.236902963915190479,1E-17,0E-16,0E-13,0E-17,0E-15,0E-10,0E-17
0.011,2.2344954560404684,2.1692793708854961,0.062649699301036144,0.0025663858539365,1.236902963915191403,-3.44E-16,0E-16,0E-13,0E-17,0E-16,0E-11,0E-18
