time_s,V_V,delta_Eeq_V,delta_etaMid_V,delta_phiL_V,Li_total_mol_m2,identity_residual_V,Eeq_surface_residual_N_V,reaction_input_surface_residual_N_x,eta_minus_etaMid_N_V,Eeq_surface_residual_P_V,reaction_input_surface_residual_P_x,eta_minus_etaMid_P_V
0.0,2.2306115627203473,2.1653333353938041,0.062714519710427297,0.0025637076161158,1.236902963915189606,1.03E-16,0E-16,0E-12,0E-18,0E-16,0E-11,0E-18
0.00001002,2.2306159338837825,2.1653377801463103,0.062714443533187671,0.0025637102042847,1.236902963915190245,-1.71E-16,0E-15,0E-13,0E-16,0E-16,0E-10,0E-18
0.00002002,2.230620303134049,2.165342222871125,0.062714367470527943,0.0025637127923958,1.236902963915190977,2.57E-16,0E-15,0E-12,0E-18,0E-15,0E-11,0E-18
0.00004002,2.2306290370546966,2.165351103595422,0.062714215490780268,0.0025637179684945,1.23690296391519237,-1.68E-16,0E-15,0E-13,0E-18,0E-15,0E-10,0E-18
0.00007001,2.230642119311894,2.1653644055356277,0.062713988046612105,0.0025637257296544,1.236902963915190323,-2.05E-16,0E-16,0E-12,0E-17,0E-15,0E-11,0E-18
0.00010,2.230655184336503,2.165377689703689,0.062713761142487726,0.0025637334903265,1.236902963915190739,-2.26E-16,0E-15,0E-11,0E-17,0E-15,0E-10,0E-18
0.00015000000000000001,2.2306769277951997,2.165399797320809,0.062713384046412689,0.0025637464279779,1.236902963915191549,1.11E-16,0E-15,0E-12,0E-17,0E-14,0E-10,0E-18
0.00020,2.2306986227873833,2.1654218549849006,0.062713008438325835,0.0025637593641569,1.236902963915191111,-3.5E-17,0E-15,0E-12,0E-17,0E-16,0E-10,0E-18
0.0002999999999999999,2.2307418681320645,2.1654658213325187,0.062712261568177885,0.002563785231368,1.236902963915190718,-8.5E-17,0E-16,0E-12,0E-17,0E-16,0E-11,0E-18
0.00050,2.2308277867491295,2.1655531653450225,0.062710784465245029,0.0025638369388621,1.236902963915191627,-1.29E-16,0E-15,0E-13,0E-18,0E-16,0E-10,0E-18
0.00075,2.230934127208487,2.1656612580356288,0.06270896766562961,0.0025639015072282,1.23690296391518983,3.9E-16,0E-16,0E-13,0E-17,0E-15,0E-10,0E-17
0.001,2.2310393118499836,2.1657681641474044,0.062707181720674132,0.0025639659819051,1.236902963915192118,-3.2E-17,0E-15,0E-13,0E-18,0E-16,0E-10,0E-18
0.0014999999999999996,2.2312463275930563,2.165978541079122,0.062703691970583452,0.0025640945433504,1.236902963915192206,4.48E-16,0E-15,0E-12,0E-17,0E-15,0E-9,0E-18
0.002,2.231448980660534,2.166184455069028,0.062700303088159215,0.0025642225033466,1.236902963915190823,1.85E-16,0E-14,0E-13,0E-18,0E-15,0E-10,0E-17
0.0025,2.231647421534808,2.1663860676370723,0.062697004136288425,0.0025643497614476,1.236902963915190664,-3.25E-16,0E-16,0E-12,0E-17,0E-15,0E-10,0E-18
0.003,2.2318417956720062,2.1665835334620366,0.062693785966920321,0.0025644762430494,1.236902963915191238,-1.21E-16,0E-16,0E-12,0E-17,0E-13,0E-9,0E-18
0.0035,2.232032241393552,2.1667769983876503,0.062690641108733788,0.0025646018971676,1.236902963915191978,3.12E-16,0E-16,0E-12,0E-17,0E-16,0E-10,0E-18
0.004,2.232218889889323,2.1669665997201602,0.062687563477224816,0.0025647266919382,1.23690296391519066,-2.16E-16,0E-16,0E-12,0E-18,0E-16,0E-10,0E-16
0.0045000000000000005,2.232401865788332,2.1671524670950459,0.06268454808308843,0.0025648506101976,1.236902963915191274,7E-17,0E-16,0E-11,0E-16,0E-16,0E-10,0E-17
0.005,2.232581287802342,2.1673347233691338,0.06268159078742874,0.0025649736457796,1.236902963915191074,-1.4E-16,0E-16,0E-13,0E-17,0E-15,0E-10,0E-17
0.0055,2.23275726930199,2.1675134853920914,0.062678688109243151,0.0025650958006551,1.236902963915190421,3.49E-16,0E-15,0E-12,0E-17,0E-16,0E-10,0E-18
0.006,2.232929918799993,2.1676888646392206,0.062675837078073558,0.0025652170826988,1.236902963915191498,4.2E-17,0E-16,0E-13,0E-17,0E-15,0E-10,0E-18
0.006500000000000001,2.23309934035003,2.1678609677236587,0.062673035122322806,0.0025653375040486,1.236902963915190705,-1.06E-16,0E-16,0E-12,0E-18,0E-16,0E-9,0E-17
0.007000000000000001,2.233265633877119,2.1680298968123708,0.06267027998488017,0.0025654570798685,1.236902963915191205,-4.7E-16,0E-16,0E-12,0E-17,0E-15,0E-10,0E-17
0.0075000000000000015,2.2334288954543555,2.1681957499677417,0.062667569659171863,0.0025655758274421,1.236902963915191364,-1.63E-16,0E-16,0E-13,0E-17,0E-16,0E-10,0E-18
0.008000000000000002,2.2335892175382726,2.1683586214322082,0.062664902340593855,0.0025656937654702,1.236902963915189372,3.45E-16,0E-16,0E-12,0E-17,0E-15,0E-10,0E-18
0.008500000000000002,2.2337466891721314,2.1685186018692362,0.06266227638933164,0.0025658109135633,1.23690296391519085,2.6E-16,0E-16,0E-12,0E-17,0E-15,0E-10,0E-16
0.009000000000000003,2.233901396164313,2.1686757785706903,0.062659690301753336,0.0025659272918692,1.23690296391519176,1.64E-16,0E-15,0E-13,0E-17,0E-16,0E-10,0E-18
0.009500000000000001,2.234053421247057,2.1688302356380485,0.062657142688230305,0.0025660429207784,1.236902963915190779,-2.05E-16,0E-16,0E-13,0E-18,0E-16,0E-10,0E-18
0.01,2.2342028442195754,2.1689820541430816,0.062654632255775058,0.0025661578207188,1.236902963915189584,-5.8E-17,0E-16,0E-13,0E-17,0E-15,0E-11,0E-18
0.0105,2.2343497420785203,2.1691313122721577,0.062652157794367502,0.0025662720119950,1.23690296391519079,9.8E-17,0E-15,0E-13,0E-17,0E-16,0E-10,0E-18
0.011000000000000001,2.2344941891380685,2.1692780854573475,0.062649718166042146,0.0025663855146789,1.236902963915191434,-4.6E-17,0E-16,0E-13,0E-18,0E-16,0E-10,0E-16
