P-S length LPSCl,P-S length LPSCl1.6
A,A
2.0361,2.0415
2.0361,2.0427
2.0361,2.0472
2.0361,2.0524
2.0361,2.0580
2.0361,2.0581
2.0361,2.0620
2.0361,2.0623
2.1086,2.0645
2.1086,2.0657
2.1086,2.0657
2.1086,2.0662
2.1086,2.0691
2.1086,2.0692
2.1086,2.0693
2.1086,2.0728
,2.0756
,2.0756
,2.0783
,2.0832
