objective,noise,n,degenerate_frac,degenerate_frac_corrected,mean_abs_err,mean_abs_err_lam_pe,mean_abs_err_lam_ne,mean_abs_err_lli,pe_ne_antisym_frac,alpha_wall_frac
pocv,0.0,492,0.7865853658536586,0.5487804878048781,0.045146664478814456,0.024948673036412926,0.03738691674719482,0.01631413105504171,0.28252032520325204,0.09552845528455285
pocv,0.001,492,0.7947154471544715,0.6036585365853658,0.04626244056446428,0.024305873050918504,0.03951225233930938,0.01599973834566819,0.2926829268292683,0.08130081300813008
pocv,0.005,492,0.7764227642276422,0.5630081300813008,0.048222273760653384,0.024471481495043163,0.041032229966336424,0.016021677354995288,0.30691056910569103,0.07317073170731707
pocv_dvdq,0.0,492,0.6097560975609756,0.13414634146341464,0.02506249306754886,0.01932880792819737,0.013530842384135454,0.015862787489789167,0.6829268292682927,0.11585365853658537
pocv_dvdq,0.001,492,0.6117886178861789,0.13211382113821138,0.024636528483687487,0.018759299270993516,0.013141637768936879,0.0157246731203997,0.7012195121951219,0.11585365853658537
pocv_dvdq,0.005,492,0.6341463414634146,0.18495934959349594,0.025521810289868864,0.019151581868999852,0.01417348079369801,0.015916743510607265,0.6504065040650406,0.12195121951219512
pocv_dvdq_dqdv,0.0,492,0.6239837398373984,0.2073170731707317,0.024053023561278565,0.021837412537467082,0.011623387050828144,0.018662015360600373,0.48577235772357724,0.08130081300813008
pocv_dvdq_dqdv,0.001,492,0.6463414634146342,0.25203252032520324,0.023863058157443162,0.021492697855993875,0.013085216933822119,0.01838273872829507,0.4613821138211382,0.09349593495934959
pocv_dvdq_dqdv,0.005,492,0.6321138211382114,0.23983739837398374,0.02339068597524528,0.021013494571522618,0.011534079941595788,0.018013986501747136,0.47560975609756095,0.11178861788617886
dqdv_only,0.0,492,0.7479674796747967,0.6524390243902439,0.04816712872910245,0.02601699464409245,0.04164939633165374,0.02600145387421636,0.23373983739837398,0.056910569105691054
dqdv_only,0.001,492,0.7621951219512195,0.6036585365853658,0.046882066719820925,0.023405689697764426,0.04250851804939224,0.02446620908207368,0.21138211382113822,0.06097560975609756
dqdv_only,0.005,492,0.7865853658536586,0.6524390243902439,0.05084594383717312,0.023846807242248094,0.047232563434925254,0.02611644628911784,0.21341463414634146,0.054878048780487805
