t_ps,comp1_600K,comp1_800K,comp1_1000K,modelc_600K,modelc_800K,modelc_1000K
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000056e-01,4.751369999999999760e-01,7.954440000000000399e-01,1.002739999999999965e+00,4.652609999999999801e-01,7.857359999999999900e-01,9.114179999999999504e-01
2.000000000000000111e-01,1.282810000000000006e+00,1.037369999999999903e+00,1.348880000000000079e+00,1.388290000000000024e+00,1.113839999999999941e+00,1.636509999999999909e+00
2.999999999999999889e-01,1.356289999999999996e+00,1.627129999999999965e+00,2.268440000000000012e+00,1.196569999999999911e+00,1.639410000000000034e+00,2.249070000000000125e+00
4.000000000000000222e-01,1.628540000000000099e+00,2.490979999999999972e+00,2.829769999999999897e+00,1.509090000000000042e+00,2.116089999999999804e+00,2.330940000000000012e+00
5.000000000000000000e-01,1.679510000000000058e+00,1.895960000000000090e+00,3.367550000000000043e+00,1.435740000000000016e+00,2.517360000000000042e+00,2.894740000000000091e+00
5.999999999999999778e-01,1.585409999999999986e+00,2.078860000000000152e+00,3.814049999999999940e+00,1.792810000000000015e+00,3.170249999999999790e+00,3.935820000000000096e+00
6.999999999999999556e-01,1.530310000000000059e+00,2.375090000000000146e+00,3.641370000000000218e+00,1.900379999999999958e+00,3.499169999999999892e+00,4.099590000000000067e+00
8.000000000000000444e-01,1.345499999999999918e+00,3.074419999999999931e+00,4.126920000000000144e+00,1.609310000000000018e+00,3.660250000000000004e+00,4.559700000000000308e+00
9.000000000000000222e-01,1.084759999999999946e+00,3.654570000000000096e+00,4.518169999999999575e+00,1.686960000000000015e+00,3.796839999999999993e+00,4.378289999999999793e+00
1.000000000000000000e+00,9.604730000000000212e-01,4.412289999999999601e+00,6.160820000000000185e+00,1.652449999999999974e+00,4.350010000000000154e+00,5.310539999999999594e+00
1.100000000000000089e+00,8.688510000000000399e-01,5.310579999999999856e+00,6.046969999999999956e+00,1.522010000000000085e+00,3.562699999999999978e+00,6.072149999999999714e+00
1.199999999999999956e+00,8.418900000000000272e-01,4.510049999999999670e+00,5.698470000000000368e+00,1.774089999999999945e+00,3.726539999999999964e+00,6.006109999999999616e+00
1.300000000000000044e+00,7.976699999999999902e-01,4.942029999999999923e+00,5.956240000000000201e+00,1.642050000000000010e+00,4.161380000000000301e+00,7.144949999999999690e+00
1.399999999999999911e+00,1.022440000000000015e+00,4.996620000000000061e+00,5.879310000000000258e+00,1.706069999999999975e+00,4.726919999999999789e+00,6.881940000000000168e+00
1.500000000000000000e+00,1.337269999999999959e+00,4.620940000000000047e+00,5.138370000000000104e+00,1.932719999999999994e+00,5.461759999999999948e+00,8.216549999999999798e+00
1.600000000000000089e+00,1.664009999999999989e+00,4.592679999999999652e+00,4.666280000000000427e+00,1.873199999999999976e+00,5.505370000000000097e+00,7.155979999999999563e+00
