"# Li MSD (A^2) vs time, MLIP-MD. LPSCl=comp1(Li6PS5Cl), LPSCl1.6=modelc, b2o3=B2O3-doped LPSCl1.6. Common 0-49 ps @1 ps."
# D = slope/6 in the 2-50 ps window (see b2o3_vs_lpscl16_conductivity.csv for D/Ea/sigma). single-seed except b2o3 Ea(3-seed).
t_ps,LPSCl_600K,LPSCl_800K,LPSCl_1000K,LPSCl1.6_600K,LPSCl1.6_800K,LPSCl1.6_1000K,b2o3_600K,b2o3_800K,b2o3_1000K
0.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1.0,0.960,4.412,6.161,1.652,4.350,5.311,1.335,2.437,4.238
2.0,2.112,5.037,8.858,2.005,8.727,9.550,1.985,3.563,7.409
3.0,5.210,5.651,10.505,1.659,13.479,9.204,3.183,5.668,8.952
4.0,5.774,6.867,13.260,3.026,16.372,14.016,3.713,6.068,11.586
5.0,8.160,7.051,15.457,4.524,19.280,15.351,4.533,8.976,13.006
6.0,10.555,9.826,16.256,5.461,17.718,16.254,4.870,9.911,17.728
7.0,10.278,10.443,17.611,7.205,16.159,19.599,5.954,11.501,20.172
8.0,10.584,10.553,18.140,7.836,18.158,26.170,7.677,12.784,23.022
9.0,10.380,8.385,18.060,8.097,20.299,28.595,7.752,16.273,24.475
10.0,11.169,9.291,22.735,7.972,19.483,28.718,8.997,16.742,31.840
11.0,11.469,7.894,22.470,9.402,21.804,31.959,8.960,17.887,41.887
12.0,11.412,9.093,19.480,10.043,26.141,32.601,10.830,19.611,45.659
13.0,11.941,9.189,23.425,9.211,24.087,32.727,10.529,21.723,51.468
14.0,10.832,10.231,21.041,11.258,27.836,34.830,10.172,23.522,54.934
15.0,10.356,11.304,21.252,10.404,28.675,38.902,9.749,25.751,59.173
16.0,10.761,10.364,19.271,9.736,27.986,37.456,10.280,29.935,63.563
17.0,10.638,10.488,19.583,9.616,32.116,48.298,12.359,30.635,69.251
18.0,10.360,11.909,25.465,10.864,34.166,53.705,11.001,33.820,68.081
19.0,12.582,13.578,22.702,10.842,33.133,56.112,10.969,35.661,68.543
20.0,13.312,13.118,25.418,10.066,33.700,61.723,10.688,38.240,75.867
21.0,13.587,15.700,24.663,9.986,34.324,59.661,12.290,39.349,76.533
22.0,13.747,14.582,26.360,10.587,35.365,65.827,13.146,42.092,79.831
23.0,13.229,13.719,25.493,11.949,37.626,64.819,14.020,42.715,78.265
24.0,12.272,14.244,27.312,12.564,39.254,67.781,15.745,44.964,82.129
25.0,11.897,16.578,29.379,13.127,37.835,71.351,18.861,48.031,86.124
26.0,11.024,17.481,33.049,14.784,39.173,70.291,17.403,47.576,94.547
27.0,11.682,16.409,30.687,13.049,40.849,78.499,18.793,48.964,94.988
28.0,11.133,19.230,34.210,12.805,43.710,81.420,19.181,51.354,96.402
29.0,12.228,17.326,34.558,13.855,44.065,87.215,20.587,51.010,100.975
30.0,14.330,17.016,33.189,13.936,42.214,88.670,19.778,53.915,95.540
31.0,13.008,17.526,34.210,13.391,41.749,93.339,21.405,54.953,93.835
32.0,12.731,17.337,38.867,15.930,42.078,91.159,20.505,57.417,92.309
33.0,13.515,15.325,39.397,18.460,42.965,90.595,22.803,59.081,105.524
34.0,14.440,14.039,39.055,20.545,43.350,92.639,22.688,61.915,104.680
35.0,13.986,15.962,40.942,20.652,44.628,100.017,23.291,62.520,108.613
36.0,13.805,17.943,36.380,20.135,42.323,106.407,23.952,65.656,106.924
37.0,11.953,17.519,32.729,21.284,45.850,98.622,24.026,67.454,107.073
38.0,12.748,20.006,36.297,21.313,50.972,97.261,23.973,71.044,114.879
39.0,13.999,21.644,38.511,23.797,59.293,98.222,25.004,69.616,115.807
40.0,13.675,21.116,37.951,23.766,65.363,109.122,23.554,72.427,124.988
41.0,14.539,23.783,44.738,21.949,65.973,112.290,22.374,77.716,125.987
42.0,15.127,20.649,39.929,20.187,63.471,116.367,24.338,81.019,137.054
43.0,13.107,20.530,46.059,22.966,61.811,116.495,25.947,74.327,143.276
44.0,14.349,19.686,46.291,23.994,68.442,126.798,24.749,75.001,146.588
45.0,13.884,19.473,45.404,24.667,69.678,122.704,25.632,77.459,146.497
46.0,13.809,21.802,46.640,23.129,70.818,129.030,27.264,77.879,150.062
47.0,13.142,19.434,44.822,23.006,65.910,128.970,27.045,85.971,143.677
48.0,13.886,22.189,43.799,24.341,69.880,136.241,27.319,87.539,146.649
49.0,12.224,20.581,52.948,25.201,68.874,147.425,28.791,86.361,154.305
