# SDCP v7c computed IR (ORCA r2SCAN-3c freq -> mapspc, FWHM 25 cm-1), UNSCALED wavenumbers.
# Multiply wavenumber by 0.965 to compare with experiment (report kb/projects/sdcp_v7c_structure_spectroscopy_report_2026_07_10.md uses scaled values; e.g. O-H 3754 raw -> 3624 scaled).
# Uploaded by user 2026-07-12 (a429bee4-sdcp_v7c_IR.csv). A = 1000 - mapspc transmittance-like value.
# wavenumber_cm-1,A_neutral,A_doped,T_neutral,T_doped  (A = 1000 - mapspc value; FWHM 25; r2SCAN-3c freq)
1967.3500,0.0000,0.0000,1000.0000,1000.0000
1970.9700,0.0000,0.0000,1000.0000,1000.0000
1974.5800,0.0000,0.0000,1000.0000,1000.0000
1978.2000,0.0000,0.0000,1000.0000,1000.0000
1981.8200,0.0000,0.0000,1000.0000,1000.0000
1985.4300,0.0000,0.0000,1000.0000,1000.0000
1989.0500,0.0000,0.0000,1000.0000,1000.0000
1992.6700,0.0000,0.0000,1000.0000,1000.0000
1996.2900,0.0000,0.0000,1000.0000,1000.0000
1999.9000,0.0000,0.0000,1000.0000,1000.0000
2003.5200,0.0000,0.0000,1000.0000,1000.0000
2007.1400,0.0000,0.0000,1000.0000,1000.0000
2010.7500,0.0000,0.0000,1000.0000,1000.0000
2014.3700,0.0000,0.0000,1000.0000,1000.0000
2017.9900,0.0000,0.0000,1000.0000,1000.0000
2021.6000,0.0000,0.0000,1000.0000,1000.0000
2025.2200,0.0000,0.0000,1000.0000,1000.0000
2028.8400,0.0000,0.0000,1000.0000,1000.0000
2032.4500,0.0000,0.0000,1000.0000,1000.0000
2036.0700,0.0000,0.0000,1000.0000,1000.0000
2039.6900,0.0000,0.0000,1000.0000,1000.0000
2043.3000,0.0000,0.0000,1000.0000,1000.0000
2046.9200,0.0000,0.0000,1000.0000,1000.0000
2050.5400,0.0000,0.0000,1000.0000,1000.0000
2054.1500,0.0000,0.0000,1000.0000,1000.0000
2057.7700,0.0000,0.0000,1000.0000,1000.0000
2061.3900,0.0000,0.0000,1000.0000,1000.0000
2065.0000,0.0000,0.0000,1000.0000,1000.0000
2068.6200,0.0000,0.0000,1000.0000,1000.0000
2072.2400,0.0000,0.0000,1000.0000,1000.0000
2075.8600,0.0000,0.0000,1000.0000,1000.0000
2079.4700,0.0000,0.0000,1000.0000,1000.0000
2083.0900,0.0000,0.0000,1000.0000,1000.0000
2086.7100,0.0000,0.0000,1000.0000,1000.0000
2090.3200,0.0000,0.0000,1000.0000,1000.0000
2093.9400,0.0000,0.0000,1000.0000,1000.0000
2097.5600,0.0000,0.0000,1000.0000,1000.0000
2101.1700,0.0000,0.0000,1000.0000,1000.0000
2104.7900,0.0000,0.0000,1000.0000,1000.0000
2108.4100,0.0000,0.0000,1000.0000,1000.0000
2112.0200,0.0000,0.0000,1000.0000,1000.0000
2115.6400,0.0000,0.0000,1000.0000,1000.0000
2119.2600,0.0000,0.0000,1000.0000,1000.0000
2122.8700,0.0000,0.0000,1000.0000,1000.0000
2126.4900,0.0000,0.0000,1000.0000,1000.0000
2130.1100,0.0000,0.0000,1000.0000,1000.0000
2133.7200,0.0000,0.0000,1000.0000,1000.0000
2137.3400,0.0000,0.0000,1000.0000,1000.0000
2140.9600,0.0000,0.0000,1000.0000,1000.0000
2144.5700,0.0000,0.0000,1000.0000,1000.0000
2148.1900,0.0000,0.0000,1000.0000,1000.0000
2151.8100,0.0000,0.0000,1000.0000,1000.0000
2155.4300,0.0000,0.0000,1000.0000,1000.0000
2159.0400,0.0000,0.0000,1000.0000,1000.0000
2162.6600,0.0000,0.0000,1000.0000,1000.0000
2166.2800,0.0000,0.0000,1000.0000,1000.0000
2169.8900,0.0000,0.0000,1000.0000,1000.0000
2173.5100,0.0000,0.0000,1000.0000,1000.0000
2177.1300,0.0000,0.0000,1000.0000,1000.0000
2180.7400,0.0000,0.0000,1000.0000,1000.0000
2184.3600,0.0000,0.0000,1000.0000,1000.0000
2187.9800,0.0000,0.0000,1000.0000,1000.0000
2191.5900,0.0000,0.0000,1000.0000,1000.0000
2195.2100,0.0000,0.0000,1000.0000,1000.0000
2198.8300,0.0000,0.0000,1000.0000,1000.0000
2202.4400,0.0000,0.0000,1000.0000,1000.0000
2206.0600,0.0000,0.0000,1000.0000,1000.0000
2209.6800,0.0000,0.0000,1000.0000,1000.0000
2213.2900,0.0000,0.0000,1000.0000,1000.0000
2216.9100,0.0000,0.0000,1000.0000,1000.0000
2220.5300,0.0000,0.0000,1000.0000,1000.0000
2224.1400,0.0000,0.0000,1000.0000,1000.0000
2227.7600,0.0000,0.0000,1000.0000,1000.0000
2231.3800,0.0000,0.0000,1000.0000,1000.0000
2235.0000,0.0000,0.0000,1000.0000,1000.0000
2238.6100,0.0000,0.0000,1000.0000,1000.0000
2242.2300,0.0000,0.0000,1000.0000,1000.0000
2245.8500,0.0000,0.0000,1000.0000,1000.0000
2249.4600,0.0000,0.0000,1000.0000,1000.0000
2253.0800,0.0000,0.0000,1000.0000,1000.0000
2256.7000,0.0000,0.0000,1000.0000,1000.0000
2260.3100,0.0000,0.0000,1000.0000,1000.0000
2263.9300,0.0000,0.0000,1000.0000,1000.0000
2267.5500,0.0000,0.0000,1000.0000,1000.0000
2271.1600,0.0000,0.0000,1000.0000,1000.0000
2274.7800,0.0000,0.0000,1000.0000,1000.0000
2278.4000,0.0000,0.0000,1000.0000,1000.0000
2282.0100,0.0000,0.0000,1000.0000,1000.0000
2285.6300,0.0000,0.0000,1000.0000,1000.0000
2289.2500,0.0000,0.0000,1000.0000,1000.0000
2292.8600,0.0000,0.0000,1000.0000,1000.0000
2296.4800,0.0000,0.0000,1000.0000,1000.0000
2300.1000,0.0000,0.0000,1000.0000,1000.0000
2303.7100,0.0000,0.0000,1000.0000,1000.0000
2307.3300,0.0000,0.0000,1000.0000,1000.0000
2310.9500,0.0000,0.0000,1000.0000,1000.0000
2314.5700,0.0000,0.0000,1000.0000,1000.0000
2318.1800,0.0000,0.0000,1000.0000,1000.0000
2321.8000,0.0000,0.0000,1000.0000,1000.0000
2325.4200,0.0000,0.0000,1000.0000,1000.0000
2329.0300,0.0000,0.0000,1000.0000,1000.0000
2332.6500,0.0000,0.0000,1000.0000,1000.0000
2336.2700,0.0000,0.0000,1000.0000,1000.0000
2339.8800,0.0000,0.0000,1000.0000,1000.0000
2343.5000,0.0000,0.0000,1000.0000,1000.0000
2347.1200,0.0000,0.0000,1000.0000,1000.0000
2350.7300,0.0000,0.0000,1000.0000,1000.0000
2354.3500,0.0000,0.0000,1000.0000,1000.0000
2357.9700,0.0000,0.0000,1000.0000,1000.0000
2361.5800,0.0000,0.0000,1000.0000,1000.0000
2365.2000,0.0000,0.0000,1000.0000,1000.0000
2368.8200,0.0000,0.0000,1000.0000,1000.0000
2372.4300,0.0000,0.0000,1000.0000,1000.0000
2376.0500,0.0000,0.0000,1000.0000,1000.0000
2379.6700,0.0000,0.0000,1000.0000,1000.0000
2383.2800,0.0000,0.0000,1000.0000,1000.0000
2386.9000,0.0000,0.0000,1000.0000,1000.0000
2390.5200,0.0000,0.0000,1000.0000,1000.0000
2394.1300,0.0000,0.0000,1000.0000,1000.0000
2397.7500,0.0000,0.0000,1000.0000,1000.0000
2401.3700,0.0000,0.0000,1000.0000,1000.0000
2404.9900,0.0000,0.0000,1000.0000,1000.0000
2408.6000,0.0000,0.0000,1000.0000,1000.0000
2412.2200,0.0000,0.0000,1000.0000,1000.0000
2415.8400,0.0000,0.0000,1000.0000,1000.0000
2419.4500,0.0000,0.0000,1000.0000,1000.0000
2423.0700,0.0000,0.0000,1000.0000,1000.0000
2426.6900,0.0000,0.0000,1000.0000,1000.0000
2430.3000,0.0000,0.0000,1000.0000,1000.0000
2433.9200,0.0000,0.0000,1000.0000,1000.0000
2437.5400,0.0000,0.0000,1000.0000,1000.0000
2441.1500,0.0000,0.0000,1000.0000,1000.0000
2444.7700,0.0000,0.0000,1000.0000,1000.0000
2448.3900,0.0000,0.0000,1000.0000,1000.0000
2452.0000,0.0000,0.0000,1000.0000,1000.0000
2455.6200,0.0000,0.0000,1000.0000,1000.0000
2459.2400,0.0000,0.0000,1000.0000,1000.0000
2462.8500,0.0000,0.0000,1000.0000,1000.0000
2466.4700,0.0000,0.0000,1000.0000,1000.0000
2470.0900,0.0000,0.0000,1000.0000,1000.0000
2473.7000,0.0000,0.0000,1000.0000,1000.0000
2477.3200,0.0000,0.0000,1000.0000,1000.0000
2480.9400,0.0000,0.0000,1000.0000,1000.0000
2484.5600,0.0000,0.0000,1000.0000,1000.0000
2488.1700,0.0000,0.0000,1000.0000,1000.0000
2491.7900,0.0000,0.0000,1000.0000,1000.0000
2495.4100,0.0000,0.0000,1000.0000,1000.0000
2499.0200,0.0000,0.0000,1000.0000,1000.0000
2502.6400,0.0000,0.0000,1000.0000,1000.0000
2506.2600,0.0000,0.0000,1000.0000,1000.0000
2509.8700,0.0000,0.0000,1000.0000,1000.0000
2513.4900,0.0000,0.0000,1000.0000,1000.0000
2517.1100,0.0000,0.0000,1000.0000,1000.0000
2520.7200,0.0000,0.0000,1000.0000,1000.0000
2524.3400,0.0000,0.0000,1000.0000,1000.0000
2527.9600,0.0000,0.0000,1000.0000,1000.0000
2531.5700,0.0000,0.0000,1000.0000,1000.0000
2535.1900,0.0000,0.0000,1000.0000,1000.0000
2538.8100,0.0000,0.0000,1000.0000,1000.0000
2542.4200,0.0000,0.0000,1000.0000,1000.0000
2546.0400,0.0000,0.0000,1000.0000,1000.0000
2549.6600,0.0000,0.0000,1000.0000,1000.0000
2553.2700,0.0000,0.0000,1000.0000,1000.0000
2556.8900,0.0000,0.0000,1000.0000,1000.0000
2560.5100,0.0000,0.0000,1000.0000,1000.0000
2564.1300,0.0000,0.0000,1000.0000,1000.0000
2567.7400,0.0000,0.0000,1000.0000,1000.0000
2571.3600,0.0000,0.0000,1000.0000,1000.0000
2574.9800,0.0000,0.0000,1000.0000,1000.0000
2578.5900,0.0000,0.0000,1000.0000,1000.0000
2582.2100,0.0000,0.0000,1000.0000,1000.0000
2585.8300,0.0000,0.0000,1000.0000,1000.0000
2589.4400,0.0000,0.0000,1000.0000,1000.0000
2593.0600,0.0000,0.0000,1000.0000,1000.0000
2596.6800,0.0000,0.0000,1000.0000,1000.0000
2600.2900,0.0000,0.0000,1000.0000,1000.0000
2603.9100,0.0000,0.0000,1000.0000,1000.0000
2607.5300,0.0000,0.0000,1000.0000,1000.0000
2611.1400,0.0000,0.0000,1000.0000,1000.0000
2614.7600,0.0000,0.0000,1000.0000,1000.0000
2618.3800,0.0000,0.0000,1000.0000,1000.0000
2621.9900,0.0000,0.0000,1000.0000,1000.0000
2625.6100,0.0000,0.0000,1000.0000,1000.0000
2629.2300,0.0000,0.0000,1000.0000,1000.0000
2632.8400,0.0000,0.0000,1000.0000,1000.0000
2636.4600,0.0000,0.0000,1000.0000,1000.0000
2640.0800,0.0000,0.0000,1000.0000,1000.0000
2643.7000,0.0000,0.0000,1000.0000,1000.0000
2647.3100,0.0000,0.0000,1000.0000,1000.0000
2650.9300,0.0000,0.0000,1000.0000,1000.0000
2654.5500,0.0000,0.0000,1000.0000,1000.0000
2658.1600,0.0000,0.0000,1000.0000,1000.0000
2661.7800,0.0000,0.0000,1000.0000,1000.0000
2665.4000,0.0000,0.0000,1000.0000,1000.0000
2669.0100,0.0000,0.0000,1000.0000,1000.0000
2672.6300,0.0000,0.0000,1000.0000,1000.0000
2676.2500,0.0000,0.0000,1000.0000,1000.0000
2679.8600,0.0000,0.0000,1000.0000,1000.0000
2683.4800,0.0000,0.0000,1000.0000,1000.0000
2687.1000,0.0000,0.0000,1000.0000,1000.0000
2690.7100,0.0000,0.0000,1000.0000,1000.0000
2694.3300,0.0000,0.0000,1000.0000,1000.0000
2697.9500,0.0000,0.0000,1000.0000,1000.0000
2701.5600,0.0000,0.0000,1000.0000,1000.0000
2705.1800,0.0000,0.0000,1000.0000,1000.0000
2708.8000,0.0000,0.0000,1000.0000,1000.0000
2712.4100,0.0000,0.0000,1000.0000,1000.0000
2716.0300,0.0000,0.0000,1000.0000,1000.0000
2719.6500,0.0000,0.0000,1000.0000,1000.0000
2723.2600,0.0000,0.0000,1000.0000,1000.0000
2726.8800,0.0000,0.0000,1000.0000,1000.0000
2730.5000,0.0000,0.0000,1000.0000,1000.0000
2734.1200,0.0000,0.0000,1000.0000,1000.0000
2737.7300,0.0000,0.0000,1000.0000,1000.0000
2741.3500,0.0000,0.0000,1000.0000,1000.0000
2744.9700,0.0000,0.0000,1000.0000,1000.0000
2748.5800,0.0000,0.0000,1000.0000,1000.0000
2752.2000,0.0000,0.0000,1000.0000,1000.0000
2755.8200,0.0000,0.0000,1000.0000,1000.0000
2759.4300,0.0000,0.0000,1000.0000,1000.0000
2763.0500,0.0000,0.0000,1000.0000,1000.0000
2766.6700,0.0000,0.0000,1000.0000,1000.0000
2770.2800,0.0000,0.0000,1000.0000,1000.0000
2773.9000,0.0000,0.0000,1000.0000,1000.0000
2777.5200,0.0000,0.0000,1000.0000,1000.0000
2781.1300,0.0000,0.0000,1000.0000,1000.0000
2784.7500,0.0000,0.0000,1000.0000,1000.0000
2788.3700,0.0000,0.0000,1000.0000,1000.0000
2791.9800,0.0000,0.0000,1000.0000,1000.0000
2795.6000,0.0000,0.0000,1000.0000,1000.0000
2799.2200,0.0000,0.0000,1000.0000,1000.0000
2802.8300,0.0000,0.0000,1000.0000,1000.0000
2806.4500,0.0000,0.0000,1000.0000,1000.0000
2810.0700,0.0000,0.0000,1000.0000,1000.0000
2813.6900,0.0000,0.0000,1000.0000,1000.0000
2817.3000,0.0000,0.0000,1000.0000,1000.0000
2820.9200,0.0000,0.0000,1000.0000,1000.0000
2824.5400,0.0000,0.0000,1000.0000,1000.0000
2828.1500,0.0000,0.0000,1000.0000,1000.0000
2831.7700,0.0000,0.0000,1000.0000,1000.0000
2835.3900,0.0000,0.0000,1000.0000,1000.0000
2839.0000,0.0000,0.0000,1000.0000,1000.0000
2842.6200,0.0000,0.0000,1000.0000,1000.0000
2846.2400,0.0000,0.0000,1000.0000,1000.0000
2849.8500,0.0000,0.0000,1000.0000,1000.0000
2853.4700,0.0000,0.0000,1000.0000,1000.0000
2857.0900,0.0000,0.0000,1000.0000,1000.0000
2860.7000,0.0000,0.0000,1000.0000,1000.0000
2864.3200,0.0000,0.0000,1000.0000,1000.0000
2867.9400,0.0000,0.0000,1000.0000,1000.0000
2871.5500,0.0000,0.0000,1000.0000,1000.0000
2875.1700,0.0000,0.0000,1000.0000,1000.0000
2878.7900,0.0000,0.0000,1000.0000,1000.0000
2882.4000,0.0000,0.0000,1000.0000,1000.0000
2886.0200,0.0000,0.0000,1000.0000,1000.0000
2889.6400,0.0000,0.0000,1000.0000,1000.0000
2893.2600,0.0000,0.0000,1000.0000,1000.0000
2896.8700,0.0000,0.0000,1000.0000,1000.0000
2900.4900,0.0000,0.0000,1000.0000,1000.0000
2904.1100,0.0000,0.0000,1000.0000,1000.0000
2907.7200,0.0000,0.0000,1000.0000,1000.0000
2911.3400,0.0000,0.0000,1000.0000,1000.0000
2914.9600,0.0000,0.0000,1000.0000,1000.0000
2918.5700,0.0000,0.0000,1000.0000,1000.0000
2922.1900,0.0000,0.0000,1000.0000,1000.0000
2925.8100,0.0000,0.0001,1000.0000,999.9999
2929.4200,0.0000,0.0003,1000.0000,999.9997
2933.0400,0.0000,0.0008,1000.0000,999.9992
2936.6600,0.0000,0.0017,1000.0000,999.9983
2940.2700,0.0001,0.0032,999.9999,999.9968
2943.8900,0.0001,0.0055,999.9999,999.9945
2947.5100,0.0003,0.0084,999.9997,999.9916
2951.1200,0.0007,0.0117,999.9993,999.9883
2954.7400,0.0013,0.0146,999.9987,999.9854
2958.3600,0.0022,0.0163,999.9978,999.9837
2961.9700,0.0037,0.0164,999.9963,999.9836
2965.5900,0.0058,0.0147,999.9942,999.9853
2969.2100,0.0088,0.0118,999.9912,999.9882
2972.8300,0.0125,0.0086,999.9875,999.9914
2976.4400,0.0167,0.0057,999.9833,999.9943
2980.0600,0.0204,0.0036,999.9796,999.9964
2983.6800,0.0228,0.0027,999.9772,999.9973
2987.2900,0.0230,0.0029,999.9770,999.9971
2990.9100,0.0209,0.0041,999.9791,999.9959
2994.5300,0.0172,0.0061,999.9828,999.9939
2998.1400,0.0129,0.0087,999.9871,999.9913
3001.7600,0.0092,0.0115,999.9908,999.9885
3005.3800,0.0068,0.0141,999.9932,999.9859
3008.9900,0.0060,0.0163,999.9940,999.9837
3012.6100,0.0066,0.0176,999.9934,999.9824
3016.2300,0.0081,0.0180,999.9919,999.9820
3019.8400,0.0098,0.0173,999.9902,999.9827
3023.4600,0.0112,0.0158,999.9888,999.9842
3027.0800,0.0117,0.0134,999.9883,999.9866
3030.6900,0.0112,0.0107,999.9888,999.9893
3034.3100,0.0097,0.0080,999.9903,999.9920
3037.9300,0.0076,0.0057,999.9924,999.9943
3041.5400,0.0055,0.0038,999.9945,999.9962
3045.1600,0.0036,0.0024,999.9964,999.9976
3048.7800,0.0023,0.0014,999.9977,999.9986
3052.3900,0.0015,0.0008,999.9985,999.9992
3056.0100,0.0012,0.0004,999.9988,999.9996
3059.6300,0.0012,0.0003,999.9988,999.9997
3063.2500,0.0014,0.0004,999.9986,999.9996
3066.8600,0.0017,0.0007,999.9983,999.9993
3070.4800,0.0018,0.0013,999.9982,999.9987
3074.1000,0.0019,0.0021,999.9981,999.9979
3077.7100,0.0018,0.0031,999.9982,999.9969
3081.3300,0.0017,0.0041,999.9983,999.9959
3084.9500,0.0017,0.0049,999.9983,999.9951
3088.5600,0.0019,0.0054,999.9981,999.9946
3092.1800,0.0024,0.0055,999.9976,999.9945
3095.8000,0.0033,0.0052,999.9967,999.9948
3099.4100,0.0044,0.0047,999.9956,999.9953
3103.0300,0.0054,0.0041,999.9946,999.9959
3106.6500,0.0061,0.0034,999.9939,999.9966
3110.2600,0.0061,0.0028,999.9939,999.9972
3113.8800,0.0055,0.0023,999.9945,999.9977
3117.5000,0.0045,0.0018,999.9955,999.9982
3121.1100,0.0034,0.0015,999.9966,999.9985
3124.7300,0.0024,0.0013,999.9976,999.9987
3128.3500,0.0017,0.0011,999.9983,999.9989
3131.9600,0.0012,0.0009,999.9988,999.9991
3135.5800,0.0010,0.0008,999.9990,999.9992
3139.2000,0.0007,0.0006,999.9993,999.9994
3142.8200,0.0005,0.0004,999.9995,999.9996
3146.4300,0.0004,0.0003,999.9996,999.9997
3150.0500,0.0002,0.0002,999.9998,999.9998
3153.6700,0.0001,0.0001,999.9999,999.9999
3157.2800,0.0001,0.0000,999.9999,1000.0000
3160.9000,0.0000,0.0000,1000.0000,1000.0000
3164.5200,0.0000,0.0000,1000.0000,1000.0000
3168.1300,0.0000,0.0000,1000.0000,1000.0000
3171.7500,0.0000,0.0000,1000.0000,1000.0000
3175.3700,0.0000,0.0000,1000.0000,1000.0000
3178.9800,0.0000,0.0000,1000.0000,1000.0000
3182.6000,0.0000,0.0000,1000.0000,1000.0000
3186.2200,0.0000,0.0000,1000.0000,1000.0000
3189.8300,0.0000,0.0000,1000.0000,1000.0000
3193.4500,0.0000,0.0000,1000.0000,1000.0000
3197.0700,0.0000,0.0000,1000.0000,1000.0000
3200.6800,0.0000,0.0000,1000.0000,1000.0000
3204.3000,0.0000,0.0000,1000.0000,1000.0000
3207.9200,0.0000,0.0000,1000.0000,1000.0000
3211.5300,0.0000,0.0000,1000.0000,1000.0000
3215.1500,0.0000,0.0000,1000.0000,1000.0000
3218.7700,0.0000,0.0000,1000.0000,1000.0000
3222.3900,0.0000,0.0000,1000.0000,1000.0000
3226.0000,0.0000,0.0000,1000.0000,1000.0000
3229.6200,0.0001,0.0000,999.9999,1000.0000
3233.2400,0.0002,0.0001,999.9998,999.9999
3236.8500,0.0003,0.0002,999.9997,999.9998
3240.4700,0.0006,0.0005,999.9994,999.9995
3244.0900,0.0009,0.0009,999.9991,999.9991
3247.7000,0.0013,0.0014,999.9987,999.9986
3251.3200,0.0016,0.0020,999.9984,999.9980
3254.9400,0.0018,0.0025,999.9982,999.9975
3258.5500,0.0018,0.0029,999.9982,999.9971
3262.1700,0.0017,0.0029,999.9983,999.9971
3265.7900,0.0013,0.0027,999.9987,999.9973
3269.4000,0.0009,0.0022,999.9991,999.9978
3273.0200,0.0006,0.0015,999.9994,999.9985
3276.6400,0.0003,0.0010,999.9997,999.9990
3280.2500,0.0002,0.0006,999.9998,999.9994
3283.8700,0.0001,0.0003,999.9999,999.9997
3287.4900,0.0000,0.0001,1000.0000,999.9999
3291.1000,0.0000,0.0001,1000.0000,999.9999
3294.7200,0.0000,0.0000,1000.0000,1000.0000
3298.3400,0.0000,0.0000,1000.0000,1000.0000
3301.9600,0.0000,0.0000,1000.0000,1000.0000
3305.5700,0.0000,0.0000,1000.0000,1000.0000
3309.1900,0.0000,0.0000,1000.0000,1000.0000
3312.8100,0.0000,0.0000,1000.0000,1000.0000
3316.4200,0.0000,0.0000,1000.0000,1000.0000
3320.0400,0.0000,0.0000,1000.0000,1000.0000
3323.6600,0.0000,0.0000,1000.0000,1000.0000
3327.2700,0.0000,0.0000,1000.0000,1000.0000
3330.8900,0.0000,0.0000,1000.0000,1000.0000
3334.5100,0.0000,0.0000,1000.0000,1000.0000
3338.1200,0.0000,0.0000,1000.0000,1000.0000
3341.7400,0.0000,0.0000,1000.0000,1000.0000
3345.3600,0.0000,0.0000,1000.0000,1000.0000
3348.9700,0.0000,0.0000,1000.0000,1000.0000
3352.5900,0.0000,0.0000,1000.0000,1000.0000
3356.2100,0.0000,0.0000,1000.0000,1000.0000
3359.8200,0.0000,0.0000,1000.0000,1000.0000
3363.4400,0.0000,0.0000,1000.0000,1000.0000
3367.0600,0.0000,0.0000,1000.0000,1000.0000
3370.6700,0.0000,0.0000,1000.0000,1000.0000
3374.2900,0.0000,0.0000,1000.0000,1000.0000
3377.9100,0.0000,0.0000,1000.0000,1000.0000
3381.5200,0.0000,0.0000,1000.0000,1000.0000
3385.1400,0.0000,0.0000,1000.0000,1000.0000
3388.7600,0.0000,0.0000,1000.0000,1000.0000
3392.3800,0.0000,0.0000,1000.0000,1000.0000
3395.9900,0.0000,0.0000,1000.0000,1000.0000
3399.6100,0.0000,0.0000,1000.0000,1000.0000
3403.2300,0.0000,0.0000,1000.0000,1000.0000
3406.8400,0.0000,0.0000,1000.0000,1000.0000
3410.4600,0.0000,0.0000,1000.0000,1000.0000
3414.0800,0.0000,0.0000,1000.0000,1000.0000
3417.6900,0.0000,0.0000,1000.0000,1000.0000
3421.3100,0.0000,0.0000,1000.0000,1000.0000
3424.9300,0.0000,0.0000,1000.0000,1000.0000
3428.5400,0.0000,0.0000,1000.0000,1000.0000
3432.1600,0.0000,0.0000,1000.0000,1000.0000
3435.7800,0.0000,0.0000,1000.0000,1000.0000
3439.3900,0.0000,0.0000,1000.0000,1000.0000
3443.0100,0.0000,0.0000,1000.0000,1000.0000
3446.6300,0.0000,0.0000,1000.0000,1000.0000
3450.2400,0.0000,0.0000,1000.0000,1000.0000
3453.8600,0.0000,0.0000,1000.0000,1000.0000
3457.4800,0.0000,0.0000,1000.0000,1000.0000
3461.0900,0.0000,0.0000,1000.0000,1000.0000
3464.7100,0.0000,0.0000,1000.0000,1000.0000
3468.3300,0.0000,0.0000,1000.0000,1000.0000
3471.9500,0.0000,0.0000,1000.0000,1000.0000
3475.5600,0.0000,0.0000,1000.0000,1000.0000
3479.1800,0.0000,0.0000,1000.0000,1000.0000
3482.8000,0.0000,0.0000,1000.0000,1000.0000
3486.4100,0.0000,0.0000,1000.0000,1000.0000
3490.0300,0.0000,0.0000,1000.0000,1000.0000
3493.6500,0.0000,0.0000,1000.0000,1000.0000
3497.2600,0.0000,0.0000,1000.0000,1000.0000
3500.8800,0.0000,0.0000,1000.0000,1000.0000
3504.5000,0.0000,0.0000,1000.0000,1000.0000
3508.1100,0.0000,0.0000,1000.0000,1000.0000
3511.7300,0.0000,0.0000,1000.0000,1000.0000
3515.3500,0.0000,0.0000,1000.0000,1000.0000
3518.9600,0.0000,0.0000,1000.0000,1000.0000
3522.5800,0.0000,0.0000,1000.0000,1000.0000
3526.2000,0.0000,0.0000,1000.0000,1000.0000
3529.8100,0.0000,0.0000,1000.0000,1000.0000
3533.4300,0.0000,0.0000,1000.0000,1000.0000
3537.0500,0.0000,0.0000,1000.0000,1000.0000
3540.6600,0.0000,0.0000,1000.0000,1000.0000
3544.2800,0.0000,0.0000,1000.0000,1000.0000
3547.9000,0.0000,0.0000,1000.0000,1000.0000
3551.5200,0.0000,0.0000,1000.0000,1000.0000
3555.1300,0.0000,0.0000,1000.0000,1000.0000
3558.7500,0.0000,0.0000,1000.0000,1000.0000
3562.3700,0.0000,0.0000,1000.0000,1000.0000
3565.9800,0.0000,0.0000,1000.0000,1000.0000
3569.6000,0.0000,0.0000,1000.0000,1000.0000
3573.2200,0.0000,0.0000,1000.0000,1000.0000
3576.8300,0.0000,0.0000,1000.0000,1000.0000
3580.4500,0.0000,0.0000,1000.0000,1000.0000
3584.0700,0.0000,0.0000,1000.0000,1000.0000
3587.6800,0.0000,0.0000,1000.0000,1000.0000
3591.3000,0.0000,0.0000,1000.0000,1000.0000
3594.9200,0.0000,0.0000,1000.0000,1000.0000
3598.5300,0.0000,0.0000,1000.0000,1000.0000
3602.1500,0.0000,0.0000,1000.0000,1000.0000
3605.7700,0.0000,0.0000,1000.0000,1000.0000
3609.3800,0.0000,0.0000,1000.0000,1000.0000
3613.0000,0.0000,0.0000,1000.0000,1000.0000
3616.6200,0.0000,0.0000,1000.0000,1000.0000
3620.2300,0.0000,0.0000,1000.0000,1000.0000
3623.8500,0.0000,0.0000,1000.0000,1000.0000
3627.4700,0.0000,0.0000,1000.0000,1000.0000
3631.0900,0.0000,0.0000,1000.0000,1000.0000
3634.7000,0.0000,0.0000,1000.0000,1000.0000
3638.3200,0.0000,0.0000,1000.0000,1000.0000
3641.9400,0.0000,0.0000,1000.0000,1000.0000
3645.5500,0.0000,0.0000,1000.0000,1000.0000
3649.1700,0.0000,0.0000,1000.0000,1000.0000
3652.7900,0.0000,0.0000,1000.0000,1000.0000
3656.4000,0.0000,0.0000,1000.0000,1000.0000
3660.0200,0.0000,0.0000,1000.0000,1000.0000
3663.6400,0.0000,0.0000,1000.0000,1000.0000
3667.2500,0.0000,0.0000,1000.0000,1000.0000
3670.8700,0.0000,0.0000,1000.0000,1000.0000
3674.4900,0.0000,0.0000,1000.0000,1000.0000
3678.1000,0.0000,0.0000,1000.0000,1000.0000
3681.7200,0.0000,0.0000,1000.0000,1000.0000
3685.3400,0.0000,0.0000,1000.0000,1000.0000
3688.9500,0.0000,0.0000,1000.0000,1000.0000
3692.5700,0.0000,0.0000,1000.0000,1000.0000
3696.1900,0.0000,0.0000,1000.0000,1000.0000
3699.8000,0.0000,0.0000,1000.0000,1000.0000
3703.4200,0.0000,0.0000,1000.0000,1000.0000
3707.0400,0.0000,0.0000,1000.0000,1000.0000
3710.6500,0.0000,0.0000,1000.0000,1000.0000
3714.2700,0.0000,0.0000,1000.0000,1000.0000
3717.8900,0.0000,0.0000,1000.0000,1000.0000
3721.5100,0.0001,0.0000,999.9999,1000.0000
3725.1200,0.0003,0.0000,999.9997,1000.0000
3728.7400,0.0007,0.0000,999.9993,1000.0000
3732.3600,0.0017,0.0000,999.9983,1000.0000
3735.9700,0.0034,0.0000,999.9966,1000.0000
3739.5900,0.0060,0.0000,999.9940,1000.0000
3743.2100,0.0095,0.0000,999.9905,1000.0000
3746.8200,0.0134,0.0000,999.9866,1000.0000
3750.4400,0.0169,0.0000,999.9831,1000.0000
3754.0600,0.0189,0.0000,999.9811,1000.0000
3757.6700,0.0189,0.0000,999.9811,1000.0000
