objective,noise,n,degenerate_frac,degenerate_frac_corrected,mean_abs_err,mean_abs_err_lam_pe,mean_abs_err_lam_ne,mean_abs_err_lli,pe_ne_antisym_frac,alpha_wall_frac
pocv,0.0,1023,0.396871945259042,0.5640273704789834,0.034064819777967666,0.011137667339369807,0.03166153785696012,0.004268176933653427,0.4359726295210166,0.0
pocv,0.001,1023,0.40175953079178883,0.5659824046920822,0.03893299991653636,0.013240040140907397,0.036537598041520764,0.004793380072023584,0.436950146627566,0.0
pocv,0.005,1023,0.3978494623655914,0.5356793743890518,0.037829614326955426,0.011659205821903568,0.03557146302597056,0.004448691751745124,0.4447702834799609,0.0
pocv_dvdq,0.0,1023,0.37732160312805474,0.3118279569892473,0.02329599730661532,0.014631693433863805,0.01946684034765319,0.00690809126633057,0.3196480938416422,0.0
pocv_dvdq,0.001,1023,0.3704789833822092,0.3098729227761486,0.022256605036718523,0.013976766612762785,0.018784596208973332,0.0065371262564190265,0.3020527859237537,0.0
pocv_dvdq,0.005,1023,0.375366568914956,0.32649071358748777,0.026529361273196012,0.015041197279003618,0.02282873224277546,0.00755806155004278,0.3284457478005865,0.0
pocv_dvdq_dqdv,0.0,1023,0.39296187683284456,0.11143695014662756,0.019916015395996866,0.015568993854978222,0.01565365063546079,0.009166724168918916,0.7341153470185728,0.0
pocv_dvdq_dqdv,0.001,1023,0.38220918866080156,0.11241446725317693,0.019488243387805887,0.015043213162247982,0.015216731318761093,0.008776461107406066,0.7360703812316716,0.0
pocv_dvdq_dqdv,0.005,1023,0.37438905180840665,0.22776148582600195,0.021469793131745074,0.012423142285894853,0.018651137995565364,0.007965041170735113,0.6715542521994134,0.0
dqdv_only,0.0,1023,0.9980449657869013,0.3411534701857282,0.055170347653593466,0.048675970735805825,0.02208395544831648,0.0252499764342102,0.7243401759530792,0.0
dqdv_only,0.001,1023,1.0,0.3176930596285435,0.06458066869219797,0.04808371029864279,0.03103369270287364,0.030628067403031093,0.7262952101661779,0.0009775171065493646
dqdv_only,0.005,1023,0.9970674486803519,0.501466275659824,0.07255551757419174,0.04765247300576975,0.04286234701361443,0.031437081108016525,0.7204301075268817,0.022482893450635387
