AM_wt%,eps_f02,eps_f05,eps_f10,eps_knee,std_f05,n_pts
0,55.0,49.81,47.1,30.5,0.1,62190
10,52.2,46.67,43.6,16.3,0.1,66258
20,52.0,46.44,43.3,16.0,0.2,66557
30,48.3,43.4,40.0,17.7,0.1,70985
40,47.9,43.02,39.7,17.2,0.2,71628
50,45.8,40.44,37.3,26.0,0.2,75786
60,42.7,37.83,34.8,10.7,0.1,80648
70,44.1,38.29,34.4,7.2,0.5,75724
80,40.1,35.14,31.2,6.9,0.2,75710
85,37.8,32.81,29.5,6.2,0.7,78203
90,35.4,32.56,29.0,6.8,1.5,80770
95,34.4,31.1,27.7,5.8,2.5,82527
100,35.6,33.24,28.9,14.7,2.4,76539
