case,channel,status,rho_kind,n_nodes,path_A,path_B,kwarg,tol_A,tol_B,cg_info_A,sigma_ratio_A,sigma_ratio_B,delta_pct
lhs00_100,ionic,OK,iterative,30315,cg,cg,atol,1e-08,1e-09,0,2.2207325455265538e-07,2.2207325455265538e-07,0.0
lhs00_100,electronic,OK,direct,796,spsolve,spsolve,,,,,7.942927856309311e-08,7.942927856309311e-08,0.0
lhs00_100,thermal,OK,iterative,31111,cg,cg,atol,1e-08,1e-09,0,2.5793782834332183e-06,2.5793782834332183e-06,0.0
lhs00_101,ionic,OK,direct,17684,spsolve,spsolve,,,,,1.5235863742634192e-08,1.5235863742634192e-08,0.0
lhs00_101,electronic,OK,direct,12434,spsolve,spsolve,,,,,1.2216177106006045e-07,1.2216177106006045e-07,0.0
lhs00_101,thermal,OK,iterative,30118,cg,cg,atol,1e-08,1e-09,0,1.7351420763277696e-06,1.7351420763277696e-06,0.0
lhs00_102,ionic,OK,iterative,42129,cg,cg,atol,1e-08,1e-09,0,1.4675909771914913e-08,1.4675909771914913e-08,0.0
lhs00_102,electronic,OK,direct,3684,spsolve,spsolve,,,,,1.5981909123792324e-07,1.5981909123792324e-07,0.0
lhs00_102,thermal,OK,iterative,45813,cg,cg,atol,1e-08,1e-09,0,1.6809614773983719e-06,1.6809614773983719e-06,0.0
lhs00_103,ionic,OK,iterative,79576,cg,cg,atol,1e-08,1e-09,0,1.1839321588006606e-07,1.1839321588006606e-07,0.0
lhs00_103,electronic,OK,direct,1555,spsolve,spsolve,,,,,9.90541184178655e-08,9.90541184178655e-08,0.0
lhs00_103,thermal,OK,iterative,81131,cg,cg,atol,1e-08,1e-09,0,2.103676232026776e-06,2.103676232026776e-06,0.0
lhs00_104,ionic,OK,iterative,42129,cg,cg,atol,1e-08,1e-09,0,4.9466289409898446e-09,4.9466289409898446e-09,0.0
lhs00_104,electronic,OK,direct,12434,spsolve,spsolve,,,,,1.4644987516537724e-07,1.4644987516537724e-07,0.0
lhs00_104,thermal,OK,iterative,54563,cg,cg,atol,1e-08,1e-09,0,1.6114851021613315e-06,1.6114851021613315e-06,0.0
lhs00_105,ionic,SOLVE_NONE,none,3315,none,none,,,,,,,
lhs00_105,electronic,OK,direct,1555,spsolve,spsolve,,,,,1.8764209016471595e-07,1.8764209016471595e-07,0.0
lhs00_105,thermal,OK,direct,4870,spsolve,spsolve,,,,,1.5835314363525034e-06,1.5835314363525034e-06,0.0
lhs00_106,ionic,OK,iterative,30315,cg,cg,atol,1e-08,1e-09,0,1.575927557271918e-07,1.575927557271918e-07,0.0
lhs00_106,electronic,OK,direct,3684,spsolve,spsolve,,,,,7.667778677812565e-08,7.667778677812565e-08,0.0
lhs00_106,thermal,OK,iterative,33999,cg,cg,atol,1e-08,1e-09,0,2.3035848703356065e-06,2.3035848703356065e-06,0.0
lhs00_107,ionic,SOLVE_NONE,none,3722,none,none,,,,,,,
lhs00_107,electronic,OK,direct,12434,spsolve,spsolve,,,,,1.8113541641560613e-07,1.8113541641560613e-07,0.0
lhs00_107,thermal,OK,direct,16156,spsolve,spsolve,,,,,1.2454446520524254e-06,1.2454446520524254e-06,0.0
lhs00_108,ionic,SOLVE_NONE,none,3315,none,none,,,,,,,
lhs00_108,electronic,OK,direct,3683,spsolve,spsolve,,,,,1.7690730169151112e-07,1.7690730169151112e-07,0.0
lhs00_108,thermal,OK,direct,6998,spsolve,spsolve,,,,,1.5127229900477982e-06,1.5127229900477982e-06,0.0
lhs00_109,ionic,OK,direct,12789,spsolve,spsolve,,,,,1.195937374478618e-07,1.195937374478618e-07,0.0
lhs00_109,electronic,OK,direct,3684,spsolve,spsolve,,,,,8.208100702209651e-08,8.208100702209651e-08,0.0
lhs00_109,thermal,OK,direct,16473,spsolve,spsolve,,,,,2.1985570956721163e-06,2.1985570956721163e-06,0.0
lhs00_110,ionic,OK,direct,7460,spsolve,spsolve,,,,,8.336567273811334e-09,8.336567273811334e-09,0.0
lhs00_110,electronic,OK,direct,12434,spsolve,spsolve,,,,,1.198961832397817e-07,1.198961832397817e-07,0.0
