case,channel,status,rho_kind,n_nodes,path_A,path_B,kwarg,tol_A,tol_B,cg_info_A,rtol_A,rtol_B,atol_A,binding_A,sigma_ratio_A,sigma_ratio_B,delta_pct,delta_perm_pct,perm_status,perm_n_moved,perm_path,rho_registered_pct,rho_source
lhs00_077,electronic,OK,direct,575,spsolve,spsolve,,,,,,,,,1.4213003847112536e-07,1.4213003847112536e-07,0.0,1.0652719224618063e-11,OK,574,spsolve,1.0652719224618063e-11,permutation
lhs00_077,thermal,OK,direct,8433,spsolve,spsolve,,,,,,,,,2.255975083575011e-06,2.255975083575011e-06,0.0,6.67045813159999e-10,OK,8433,spsolve,6.67045813159999e-10,permutation
lhs00_078,ionic,OK,direct,9947,spsolve,spsolve,,,,,,,,,1.1493666352397699e-07,1.1493666352397699e-07,0.0,2.0731259229385047e-08,OK,9945,spsolve,2.0731259229385047e-08,permutation
lhs00_078,electronic,OK,direct,1850,spsolve,spsolve,,,,,,,,,4.931704226701099e-08,4.931704226701099e-08,0.0,1.8432541048378048e-10,OK,1850,spsolve,1.8432541048378048e-10,permutation
lhs00_078,thermal,OK,direct,11797,spsolve,spsolve,,,,,,,,,3.6309890857187525e-06,3.6309890857187525e-06,0.0,7.50609681932794e-10,OK,11795,spsolve,7.50609681932794e-10,permutation
lhs00_079,ionic,SOLVE_NONE,none,3722,none,none,,,,,,,,,,,,,skipped,,,,
lhs00_079,electronic,OK,direct,11220,spsolve,spsolve,,,,,,,,,1.724185709605534e-07,1.724185709605534e-07,0.0,2.3765735955311705e-09,OK,11218,spsolve,2.3765735955311705e-09,permutation
lhs00_079,thermal,OK,direct,14942,spsolve,spsolve,,,,,,,,,1.3540784900701572e-06,1.3540784900701572e-06,0.0,2.4091498489068147e-09,OK,14942,spsolve,2.4091498489068147e-09,permutation
lhs00_080,ionic,OK,direct,26525,spsolve,spsolve,,,,,,,,,1.1131606130369567e-10,1.1131606130369567e-10,0.0,6.692446396058969e-07,OK,26524,spsolve,6.692446396058969e-07,permutation
lhs00_080,electronic,OK,iterative,49841,cg,cg,atol,1e-08,1e-09,0,1e-05,1.0000000000000002e-06,1e-08,rtol,1.3467063102237113e-07,1.3467063017620182e-07,6.283250559765123e-07,1.7417870678481245e-07,OK,49841,cg,6.283250559765123e-07,tighten
lhs00_080,thermal,OK,iterative,76366,cg,cg,atol,1e-08,1e-09,0,1e-05,1.0000000000000002e-06,1e-08,rtol,2.0172282995211453e-06,2.017228271634088e-06,1.382444275569568e-06,3.7823487963365965e-09,OK,76365,cg,1.382444275569568e-06,tighten
lhs00_081,ionic,OK,iterative,30314,cg,cg,atol,1e-08,1e-09,0,1e-05,1.0000000000000002e-06,1e-08,rtol,1.8695644417029718e-07,1.869564438302595e-07,1.8188070429181704e-07,9.393122087560948e-08,OK,30314,cg,1.8188070429181704e-07,tighten
lhs00_081,electronic,OK,direct,2975,spsolve,spsolve,,,,,,,,,5.6825087121059245e-08,5.6825087121059245e-08,0.0,1.255245564863167e-10,OK,2974,spsolve,1.255245564863167e-10,permutation
lhs00_081,thermal,OK,iterative,33289,cg,cg,atol,1e-08,1e-09,0,1e-05,1.0000000000000002e-06,1e-08,rtol,2.7220240252823438e-06,2.722024016732992e-06,3.140806854709672e-07,5.447187508794891e-08,OK,33288,cg,3.140806854709672e-07,tighten
lhs00_082,ionic,SOLVE_NONE,none,12561,none,none,,,,,,,,,,,,,skipped,,,,
lhs00_082,electronic,OK,direct,2716,spsolve,spsolve,,,,,,,,,9.888127478650954e-08,9.888127478650954e-08,0.0,4.2797344825479996e-10,OK,2716,spsolve,4.2797344825479996e-10,permutation
lhs00_082,thermal,OK,direct,15277,spsolve,spsolve,,,,,,,,,1.8426039948903337e-06,1.8426039948903337e-06,0.0,3.539639397257625e-10,OK,15277,spsolve,3.539639397257625e-10,permutation
lhs00_083,ionic,SOLVE_NONE,none,12564,none,none,,,,,,,,,,,,,skipped,,,,
lhs00_083,electronic,OK,direct,2955,spsolve,spsolve,,,,,,,,,1.784298535738987e-07,1.784298535738987e-07,0.0,8.361953097668776e-10,OK,2955,spsolve,8.361953097668776e-10,permutation
lhs00_083,thermal,OK,direct,15519,spsolve,spsolve,,,,,,,,,1.9135262927798434e-06,1.9135262927798434e-06,0.0,3.0950472902038473e-10,OK,15519,spsolve,3.0950472902038473e-10,permutation
lhs00_084,ionic,OK,iterative,59682,cg,cg,atol,1e-08,1e-09,0,1e-05,1.0000000000000002e-06,1e-08,rtol,3.2304892460634525e-08,3.2304892153701225e-08,9.501139834415279e-07,1.9297625380889403e-07,OK,59679,cg,9.501139834415279e-07,tighten
lhs00_084,electronic,OK,direct,11205,spsolve,spsolve,,,,,,,,,1.1072735700573953e-07,1.1072735700573953e-07,0.0,1.1024078910858313e-09,OK,11204,spsolve,1.1024078910858313e-09,permutation
lhs00_084,thermal,OK,iterative,70887,cg,cg,atol,1e-08,1e-09,0,1e-05,1.0000000000000002e-06,1e-08,rtol,2.0054391872652194e-06,2.0054391739983994e-06,6.615418738494052e-07,2.3070441189811696e-07,OK,70885,cg,6.615418738494052e-07,tighten
lhs00_085,ionic,OK,direct,23578,spsolve,spsolve,,,,,,,,,5.666398535435666e-08,5.666398535435666e-08,0.0,2.6234887175360718e-08,OK,23578,spsolve,2.6234887175360718e-08,permutation
lhs00_085,electronic,OK,direct,11200,spsolve,spsolve,,,,,,,,,8.926756736071187e-08,8.926756736071187e-08,0.0,1.7179731687729095e-09,OK,11199,spsolve,1.7179731687729095e-09,permutation
lhs00_085,thermal,OK,iterative,34778,cg,cg,atol,1e-08,1e-09,0,1e-05,1.0000000000000002e-06,1e-08,rtol,2.0256009438481378e-06,2.025600933650291e-06,5.034479691911909e-07,1.1466475281172511e-07,OK,34777,cg,5.034479691911909e-07,tighten
lhs00_086,ionic,OK,direct,5266,spsolve,spsolve,,,,,,,,,2.2970048610642178e-10,2.2970048610642178e-10,0.0,1.0593942703227006e-07,OK,5266,spsolve,1.0593942703227006e-07,permutation
lhs00_086,electronic,OK,iterative,69576,cg,cg,atol,1e-08,1e-09,0,1e-05,1.0000000000000002e-06,1e-08,rtol,1.3008886993082875e-07,1.3008886829704203e-07,1.2559004596447272e-06,1.0193242762841482e-08,OK,69575,cg,1.2559004596447272e-06,tighten
lhs00_086,thermal,OK,iterative,74842,cg,cg,atol,1e-08,1e-09,0,1e-05,1.0000000000000002e-06,1e-08,rtol,2.8309164095399636e-06,2.830916364457179e-06,1.5925155630528729e-06,2.5155178324662233e-07,OK,74842,cg,1.5925155630528729e-06,tighten
lhs00_087,ionic,SOLVE_NONE,none,3721,none,none,,,,,,,,,,,,,skipped,,,,
lhs00_087,electronic,OK,direct,2226,spsolve,spsolve,,,,,,,,,1.5124240942747545e-07,1.5124240942747545e-07,0.0,4.877684508544173e-11,OK,2225,spsolve,4.877684508544173e-11,permutation
lhs00_087,thermal,OK,direct,5947,spsolve,spsolve,,,,,,,,,2.6913056332693306e-06,2.6913056332693306e-06,0.0,1.0856589884978358e-10,OK,5946,spsolve,1.0856589884978358e-10,permutation
lhs00_088,ionic,OK,iterative,30314,cg,cg,atol,1e-08,1e-09,0,1e-05,1.0000000000000002e-06,1e-08,rtol,1.7797193377130447e-07,1.7797193330752886e-07,2.605891814936214e-07,2.68530668630479e-08,OK,30314,cg,2.605891814936214e-07,tighten
lhs00_088,electronic,OK,direct,19917,spsolve,spsolve,,,,,,,,,1.9030445142841256e-08,1.9030445142841256e-08,0.0,5.301308270624882e-10,OK,19917,spsolve,5.301308270624882e-10,permutation
lhs00_088,thermal,OK,iterative,50231,cg,cg,atol,1e-08,1e-09,0,1e-05,1.0000000000000002e-06,1e-08,rtol,3.062433287880861e-06,3.062433253886607e-06,1.1100406398436896e-06,3.6062082759813735e-08,OK,50231,cg,1.1100406398436896e-06,tighten
lhs00_090,ionic,OK,direct,9946,spsolve,spsolve,,,,,,,,,1.6448975193334868e-07,1.6448975193334868e-07,0.0,6.158042832336068e-09,OK,9945,spsolve,6.158042832336068e-09,permutation
lhs00_090,electronic,OK,direct,206,spsolve,spsolve,,,,,,,,,2.8440983846361896e-08,2.8440983846361896e-08,0.0,5.1746442872882745e-11,OK,205,spsolve,5.1746442872882745e-11,permutation
lhs00_090,thermal,OK,direct,10152,spsolve,spsolve,,,,,,,,,3.4145437096961236e-06,3.4145437096961236e-06,0.0,8.912399078700663e-10,OK,10151,spsolve,8.912399078700663e-10,permutation
lhs00_091,ionic,OK,direct,3315,spsolve,spsolve,,,,,,,,,1.2937118563076255e-09,1.2937118563076255e-09,0.0,2.443891258254811e-08,OK,3314,spsolve,2.443891258254811e-08,permutation
lhs00_091,electronic,OK,direct,646,spsolve,spsolve,,,,,,,,,1.532724005529116e-07,1.532724005529116e-07,0.0,1.9514831660506206e-12,OK,646,spsolve,1.9514831660506206e-12,permutation
lhs00_091,thermal,OK,direct,3961,spsolve,spsolve,,,,,,,,,2.026877379433304e-06,2.026877379433304e-06,0.0,3.344875116085684e-10,OK,3959,spsolve,3.344875116085684e-10,permutation
lhs00_092,ionic,OK,direct,5265,spsolve,spsolve,,,,,,,,,9.576225710599163e-10,9.576225710599163e-10,0.0,1.7537711668563293e-07,OK,5263,spsolve,1.7537711668563293e-07,permutation
lhs00_092,electronic,OK,direct,11188,spsolve,spsolve,,,,,,,,,1.3404304655915518e-07,1.3404304655915518e-07,0.0,3.3276045831392618e-09,OK,11188,spsolve,3.3276045831392618e-09,permutation
lhs00_092,thermal,OK,direct,16453,spsolve,spsolve,,,,,,,,,1.7407772393854722e-06,1.7407772393854722e-06,0.0,1.1656951906320869e-09,OK,16453,spsolve,1.1656951906320869e-09,permutation
lhs00_093,ionic,SOLVE_NONE,none,1570,none,none,,,,,,,,,,,,,skipped,,,,
lhs00_093,electronic,OK,iterative,59786,cg,cg,atol,1e-08,1e-09,0,1e-05,1.0000000000000002e-06,1e-08,rtol,1.6386125385831562e-07,1.6386122988624202e-07,1.4629494790028302e-05,5.507054467831534e-07,OK,59786,cg,1.4629494790028302e-05,tighten
lhs00_093,thermal,OK,iterative,61356,cg,cg,atol,1e-08,1e-09,0,1e-05,1.0000000000000002e-06,1e-08,rtol,1.8012822867142026e-06,1.8012820729360097e-06,1.1868111649897446e-05,4.172852474352929e-07,OK,61356,cg,1.1868111649897446e-05,tighten
lhs00_094,ionic,OK,iterative,42128,cg,cg,atol,1e-08,1e-09,0,1e-05,1.0000000000000002e-06,1e-08,rtol,9.72877311116752e-09,9.728773090498775e-09,2.1244966026111652e-07,2.9118609939281087e-08,OK,42128,cg,2.1244966026111652e-07,tighten
lhs00_094,electronic,OK,direct,8943,spsolve,spsolve,,,,,,,,,1.1944550155483198e-07,1.1944550155483198e-07,0.0,4.5524417016913754e-10,OK,8943,spsolve,4.5524417016913754e-10,permutation
lhs00_094,thermal,OK,iterative,51071,cg,cg,atol,1e-08,1e-09,0,1e-05,1.0000000000000002e-06,1e-08,rtol,1.8672054843690367e-06,1.86720547571262e-06,4.6360278792504224e-07,1.067179445985399e-07,OK,51070,cg,4.6360278792504224e-07,tighten
lhs00_095,ionic,OK,direct,7460,spsolve,spsolve,,,,,,,,,2.2549905666015428e-08,2.2549905666015428e-08,0.0,1.574817615137701e-08,OK,7457,spsolve,1.574817615137701e-08,permutation
lhs00_095,electronic,OK,iterative,39804,cg,cg,atol,1e-08,1e-09,0,1e-05,1.0000000000000002e-06,1e-08,rtol,8.811284455904127e-08,8.811284372759123e-08,9.436195671357183e-07,1.300746394216624e-07,OK,39802,cg,9.436195671357183e-07,tighten
