case_id,block,d_am_p_um,d_am_s_um,ps_frac,ps_label,d_se_um,am_pct,rve_um,loading_mAh_cm2,pressure_MPa,e_se_gpa,thickness_est_um,phi_am_est,phi_se_est,se_percolation,d_am_max_um,sv_inv_um,r_AM_P_um,r_AM_S_um,r_SE_um,size_ratio_P_over_S,size_ratio_AM_over_SE,n_am_p_est,n_am_s_est,n_se_est,n_total_est,rve_min_um,rve_recommended_um,rve_over_d_am_max,thick_over_d_am_max,finite_size_flag,phi_se,phi_se_status,phi_am,phi_am_status,coverage_AM_P_hertz_pct,coverage_AM_P_hertz_pct_status,coverage_AM_S_hertz_pct,coverage_AM_S_hertz_pct_status,coverage_AM_total_hertz_pct,coverage_AM_total_hertz_pct_status,porosity_sphere_pct_RECORD_ONLY,porosity_sphere_pct_RECORD_ONLY_status,n_AM_P_measured,n_AM_S_measured,n_SE_measured,cov_AM_P_n_valid,cov_AM_S_n_valid,cov_n_capped,cov_n_free_surf_invalid,closure_residual,tau_status,tau_n_sampled,tau_n_valid,tau_n_truncated,tau_convention,plate_z_sim,plate_z_source,V_box_sim,timestep,area_channel,atom_sha256
lhs00_000,bimodal,11.0000,1.0000,0.6000,6:4,2.0000,85.0000,50.0000,2.0000,300.0000,1.3500,36.2815,0.5739,0.2431,OK,11.0000,0.4545,5.5000,0.5000,1.0000,11.0000,5.5000,44.8183,39768.8052,5263.5183,45077.1419,40.9075,50.0000,4.5455,3.2983,,0.1539434730024577,OK,0.3689416876123715,OK,13.258474167299564,OK,13.64443515945266,OK,13.643988681252257,OK,47.71148393851708,OK,46,39719,5265,46,39719,0,0,0.0,NOT_PERCOLATING,0,0,0,harvest_v1/solid_zrange/rSEmax/no_fallback/same_component,0.04730410000000001,mesh_stl,0.00014326025000000007,2420000,dem_geometric_c_cpl22 — LIGGGHTS 기하 교차 원판 pi(r d - d^2/4); Hertz 탄성 pi R* d 가 **아니다** (동일 반경 비 = 2 - d/(2r)),7aa05fa862a8a4ea63db15669a7d4df744e5eb05e786441e807e28403759c32f
lhs00_001,bimodal,8.0000,1.0000,0.6000,6:4,1.0000,95.0000,50.0000,2.0000,300.0000,1.3500,28.7064,0.7254,0.0916,BELOW_phic,8.0000,0.4750,4.0000,0.5000,0.5000,8.0000,8.0000,116.5102,39768.8052,12558.5701,52443.8854,25.3716,50.0000,6.2500,3.5883,se_BELOW_phic,0.05510527277584719,OK,0.43698253241031576,OK,6.818226574713381,OK,6.381801685377606,OK,6.383083194024921,OK,50.7912194813837,OK,117,39728,12564,117,39728,0,0,0.0,NOT_PERCOLATING,0,0,0,harvest_v1/solid_zrange/rSEmax/no_fallback/same_component,0.03775220000000001,mesh_stl,0.00011938050000000005,1990000,dem_geometric_c_cpl22 — LIGGGHTS 기하 교차 원판 pi(r d - d^2/4); Hertz 탄성 pi R* d 가 **아니다** (동일 반경 비 = 2 - d/(2r)),d34accffe1173165ca9481400e760f22883cbe111de7a9464acfabc60256edfd
lhs00_002,bimodal,12.0000,3.0000,0.9000,9:1,2.0000,70.0000,50.0000,2.0000,300.0000,1.3500,51.7022,0.4027,0.4143,OK,12.0000,0.1083,6.0000,1.5000,1.0000,4.0000,6.0000,51.7823,368.2297,12782.8302,13202.8422,38.0575,50.0000,4.1667,4.3085,,0.26877779317029604,OK,0.2621576504813724,OK,48.40109326506657,OK,47.475450221737034,OK,47.59005364614926,OK,46.90645563483316,OK,52,368,12789,52,368,0,0,0.0,NOT_PERCOLATING,0,0,0,harvest_v1/solid_zrange/rSEmax/no_fallback/same_component,0.06972449999999998,mesh_stl,0.00019931124999999998,3900000,dem_geometric_c_cpl22 — LIGGGHTS 기하 교차 원판 pi(r d - d^2/4); Hertz 탄성 pi R* d 가 **아니다** (동일 반경 비 = 2 - d/(2r)),15bbecc4f3ac6d442e781d32f812aceb93e12b6d2bc9f8e54439cb1e30238b49
lhs00_003,bimodal,7.0000,5.0000,0.6000,6:4,1.5000,80.0000,50.0000,2.0000,300.0000,1.3500,40.7792,0.5106,0.3064,OK,7.0000,0.1657,3.5000,2.5000,0.7500,1.4000,4.6667,173.9161,318.1504,17675.0245,18167.0910,20.7664,50.0000,7.1429,5.8256,,0.2062926721354234,OK,0.3448861972442563,OK,29.82254672252859,OK,30.95242416787752,OK,30.55135205238855,OK,44.88211306203203,OK,175,318,17683,175,318,0,0,0.0,NOT_PERCOLATING,0,0,0,harvest_v1/solid_zrange/rSEmax/no_fallback/same_component,0.05059049999999999,mesh_stl,0.00015147625,2590000,dem_geometric_c_cpl22 — LIGGGHTS 기하 교차 원판 pi(r d - d^2/4); Hertz 탄성 pi R* d 가 **아니다** (동일 반경 비 = 2 - d/(2r)),6ae04542ddaae7e91197110b9f7b229fd8b4a22dcbc11981704a76f987898097
lhs00_004,bimodal,15.0000,2.0000,0.8000,8:2,1.0000,80.0000,50.0000,2.0000,300.0000,1.3500,40.7792,0.5106,0.3064,OK,15.0000,0.1533,7.5000,1.0000,0.5000,7.5000,15.0000,23.5667,2485.5503,59653.2078,62162.3248,56.4133,56.4133,3.3333,2.7186,thin+n_am_p_low,0.19432347127272978,OK,0.328465609618896,OK,28.617740667678273,OK,30.011125772751438,OK,29.997749275742738,OK,47.72109191083742,OK,24,2476,59639,24,2476,0,0,0.0,NOT_PERCOLATING,0,0,0,harvest_v1/solid_zrange/rSEmax/no_fallback/same_component,0.0542782,mesh_stl,0.0001606955,2940000,dem_geometric_c_cpl22 — LIGGGHTS 기하 교차 원판 pi(r d - d^2/4); Hertz 탄성 pi R* d 가 **아니다** (동일 반경 비 = 2 - d/(2r)),6249009ae26e96dae736f5a7337ef5c5cc82f66aab6de048b66e7b2b5403d063
lhs00_005,bimodal,10.0000,4.0000,0.1000,1:9,1.5000,70.0000,50.0000,2.0000,300.0000,1.3500,51.7022,0.4027,0.4143,OK,10.0000,0.2350,5.0000,2.0000,0.7500,2.5000,6.6667,9.9422,1398.1221,30300.0421,31708.1063,86.8539,86.8539,5.0000,5.1702,n_am_p_CRIT,0.2720256277942998,OK,0.26464193023264054,OK,47.19143985139321,OK,46.23636057388417,OK,46.243138993170966,OK,46.33324419730596,OK,10,1399,30315,10,1399,0,0,-1.1102230246251565e-16,NOT_PERCOLATING,0,0,0,harvest_v1/solid_zrange/rSEmax/no_fallback/same_component,0.0687735,mesh_stl,0.00019693375000000003,3800000,dem_geometric_c_cpl22 — LIGGGHTS 기하 교차 원판 pi(r d - d^2/4); Hertz 탄성 pi R* d 가 **아니다** (동일 반경 비 = 2 - d/(2r)),fcb4ea4e5be66fdb3b82511dbcff2a79d0c6a859a0f083523268f67f43d8f768
lhs00_006,bimodal,12.0000,2.0000,0.3000,3:7,1.0000,85.0000,50.0000,2.0000,300.0000,1.3500,36.2815,0.5739,0.2431,OK,12.0000,0.3750,6.0000,1.0000,0.5000,6.0000,12.0000,17.2608,8699.4261,42108.1467,50824.8336,65.9175,65.9175,4.1667,3.0235,n_am_p_low,0.1485653712819719,OK,0.34912580129403764,OK,22.244327036911795,OK,23.613352022235247,OK,23.61068305150698,OK,50.23088274239904,OK,17,8703,42128,17,8703,0,0,0.0,NOT_PERCOLATING,0,0,0,harvest_v1/solid_zrange/rSEmax/no_fallback/same_component,0.04938979999999999,mesh_stl,0.0001484745,2750000,dem_geometric_c_cpl22 — LIGGGHTS 기하 교차 원판 pi(r d - d^2/4); Hertz 탄성 pi R* d 가 **아니다** (동일 반경 비 = 2 - d/(2r)),52bfbd25ed783bce76f3e85e8b0e601521ec5f927a40dfd276d1c6aae4b2e7fc
lhs00_007,bimodal,15.0000,5.0000,0.5000,5:5,2.0000,85.0000,50.0000,2.0000,300.0000,1.3500,36.2815,0.5739,0.2431,OK,15.0000,0.1333,7.5000,2.5000,1.0000,3.0000,7.5000,14.7292,397.6881,5263.5183,5675.9356,71.3578,71.3578,3.3333,2.4188,thin+n_am_p_low,0.1429252948522179,OK,0.34060129322866495,OK,21.72772285839779,OK,27.235994968325432,OK,27.035936659248158,OK,51.647341191911714,OK,15,398,5265,15,398,0,0,0.0,NOT_PERCOLATING,0,0,0,harvest_v1/solid_zrange/rSEmax/no_fallback/same_component,0.0517217,mesh_stl,0.00015430425000000005,2990000,dem_geometric_c_cpl22 — LIGGGHTS 기하 교차 원판 pi(r d - d^2/4); Hertz 탄성 pi R* d 가 **아니다** (동일 반경 비 = 2 - d/(2r)),9a8bf265e66b2284b16422c08008543e74b50e83bab162aa52bf5b06bb6242b7
lhs00_008,bimodal,10.0000,4.0000,0.8000,8:2,1.5000,90.0000,50.0000,2.0000,300.0000,1.3500,32.2836,0.6450,0.1720,BELOW_phic,10.0000,0.1300,5.0000,2.0000,0.7500,2.5000,6.6667,79.5376,310.6938,7855.5665,8245.7979,30.7075,50.0000,5.0000,3.2284,se_BELOW_phic,0.10203814614942076,OK,0.3839842373917405,OK,13.682522581216698,OK,17.432713720636,OK,16.661466185536913,OK,51.397761645883875,OK,80,309,7856,80,309,0,0,0.0,NOT_PERCOLATING,0,0,0,harvest_v1/solid_zrange/rSEmax/no_fallback/same_component,0.0444216,mesh_stl,0.00013605400000000004,2430000,dem_geometric_c_cpl22 — LIGGGHTS 기하 교차 원판 pi(r d - d^2/4); Hertz 탄성 pi R* d 가 **아니다** (동일 반경 비 = 2 - d/(2r)),8bab6f44dd4b1c3ce2222a9b403d5a033e6d55186460dfbb7f3ff343468216c3
lhs00_009,bimodal,15.0000,5.0000,0.9000,9:1,1.0000,80.0000,50.0000,2.0000,300.0000,1.3500,40.7792,0.5106,0.3064,OK,15.0000,0.0800,7.5000,2.5000,0.5000,3.0000,15.0000,26.5125,79.5376,59653.2078,59759.2579,53.1869,53.1869,3.3333,2.7186,thin+n_am_p_low,0.18306147441551987,OK,0.31052220209791725,OK,26.14897164492746,OK,29.10321676102984,OK,28.357753040144196,OK,50.64163234865629,OK,27,80,59616,27,80,0,0,0.0,NOT_PERCOLATING,0,0,0,harvest_v1/solid_zrange/rSEmax/no_fallback/same_component,0.058206299999999996,mesh_stl,0.00017051575000000003,3310000,dem_geometric_c_cpl22 — LIGGGHTS 기하 교차 원판 pi(r d - d^2/4); Hertz 탄성 pi R* d 가 **아니다** (동일 반경 비 = 2 - d/(2r)),e618042ae4d5e46d8d79f175faa17d731d50587721cd5f44467576ade2cc3696
