# input_2mAh_a7_50 P:S sweep (AM_P:AM_S = p00→p10 = 0:10 … 10:0) at fixed AM:SE 70:30, 2mAh, 300 MPa, 50×50µm RVE.
# Fed from the webapp per-case metric dumps (요약/full report).  H = Hertzian (DEM native), P = Physics (Tabor+volume, Stage-E).
# σ values are Stage-E final (mS/cm); κ in mS/cm-equiv; ASR in Ω·cm² (thermal K·cm²/W-eq).  "—" = not computed / N/A.
# Append p04/p06/p08/p10 as they arrive.
case,mode,P_S,AM_SE,target_MPa,AM_P_n,AM_S_n,SE_n,porosity_DEM_pct,porosity_union_pct,overlap_pct,thickness_um,SE_percol_pct,AM_percol_pct,f_AM_cc_pct,elec_active_AM_pct,phi_SE,sigma_ionic_H,sigma_ionic_P,sigma_e_H,sigma_e_P,kappa_H,kappa_P,cov_AM_P_H,cov_AM_P_P,cov_AM_S_H,cov_AM_S_P,z_SE_SE,z_AM_SE,z_AM_AM,tau_Dijkstra,tau_Laplace_eff_H,tau_Laplace_eff_P,ASR_ionic_H,ASR_ionic_P,ASR_e_H,ASR_e_P,ASR_thermal_H,ASR_thermal_P,MPM_porosity_pct,MPM_thickness_um,MPM_SE_solid_pct,notes
input_2mAh_a7_50_p00,standard,0:10,70:30,300,0,1555,102333,19.54,20.6,1.26,52.54,100.0,69.9,72.4,72,0.408,0.3469,0.2045,0.228,0.199,3.557,2.192,—,—,16.2,43.0,6.14,53.83,1.9,1.30,1.88,2.45,15.15,25.70,23.01,26.39,1.48,2.40,20.36,52.49,50.05,pure AM_S (no AM_P); elec-active AM 72% (<80% dead-AM warning); fracture 100% intact; Bruggeman σ 0.727; MPM cov AM_S label 0/0 & AM_P plastic 64/87 (rigid 57/83)
input_2mAh_a7_50_p02,bimodal,2:8,70:30,300,12,1244,102321,18.48,19.5,1.31,52.07,100.0,61.0,68.1,68,0.412,0.3551,0.2136,0.125,—,4.223,—,16.5,41.7,17.1,45.8,6.41,59.09,1.64,1.29,1.86,2.40,14.66,24.38,41.72,—,1.23,—,18.67,51.58,49.81,bimodal (12 AM_P + 1244 AM_S); Bruggeman fallback fired → σ_e/κ Physics(P) not computed (—); elec-active AM 68% (<80%); AM_P-AM_P over-compression F/P_c 7.5× (micro/multi-crack in AM_P pairs); MPM cov AM_P 61/84 AM_S 67/88 (rigid 54/80 · 59/84)
input_2mAh_a7_50_p04,bimodal,4:6,70:30,300,23,933,102324,17.40,18.5,1.34,51.16,100.0,51.9,56.5,56,0.419,0.3971,0.2324,0.250,—,4.635,—,17.9,46.2,18.0,48.6,6.74,66.06,1.52,1.28,1.78,2.33,12.88,22.02,20.47,—,1.10,—,17.58,50.66,50.03,bimodal (23 AM_P + 933 AM_S); Bruggeman fallback (σ_e/κ Physics —); elec-active AM 56% (<80%, worsening w/ AM_P); AM_P-AM_P F/P_c 2.5× (micro/multi-crack); MPM cov AM_P 66/89 AM_S 68/89 (rigid 59/86 · 60/85)
input_2mAh_a7_50_p06,bimodal,6:4,70:30,300,35,622,102316,16.52,17.6,1.34,50.83,100.0,37.0,42.8,43,0.422,0.4109,0.2464,0.176,—,5.061,—,18.1,46.8,18.8,50.9,7.01,79.36,1.14,1.27,1.75,2.27,12.37,20.63,28.94,—,1.00,—,17.48,50.80,49.81,bimodal (35 AM_P + 622 AM_S); elec-active AM 43% (<50% 대량 dead-AM 강력권장); FIRST fracture onset: AM_P-AM_P severe 11.76% (frag 0.53%) F/P_c 3.3× (few large AM_P bear load → over-compress); z_AM_AM 1.14 (AM network thinning); MPM cov AM_P 66/88 AM_S 69/90 (rigid 59/85 · 62/87)
