case_name,tier,composition,mode,wt_AM,phi_SE,r_SE_um,r_AM_eff_um,lam_eff,percolation_pct,sigma_ionic_mScm,phi_c_at_this_lam,phi_minus_phi_c,predicted_sigma_mScm,residual_log
input_6mAh_real40_7,6mAh,bimodal,bimodal,0.82,0.345,1.5,4.0,2.667,94.07,0.032058,0.22,0.125,0.07384,-0.362
input_6mAh_real40_9,6mAh,bimodal,bimodal,0.82,0.345,1.5,4.0,2.667,97.02,0.062612,0.22,0.125,0.07384,-0.072
input_8mAh_real40_7,8mAh,bimodal,bimodal,0.82,0.345,1.5,4.0,2.667,93.59,0.031802,0.22,0.125,0.07384,-0.366
input_8mAh_real40_9,8mAh,bimodal,bimodal,0.82,0.345,1.5,4.0,2.667,97.8,0.055686,0.22,0.125,0.07384,-0.123
input_1mAh_6_S1,1mAh,bimodal,bimodal,0.8,0.375,0.5,3.75,7.5,98.93,0.11344,0.22,0.155,0.10491,0.034
input_1mAh_9_S1,1mAh,bimodal,bimodal,0.85,0.2975,0.5,3.75,7.5,97.72,0.03212,0.22,0.0775,0.03383,-0.023
input_8mAh_real40_4,8mAh,bimodal,bimodal,0.82,0.345,0.5,4.0,8.0,99.54,0.107919,0.22,0.125,0.07384,0.165
input_8mAh_9,8mAh,bimodal,bimodal,0.85,0.2975,0.5,3.75,7.5,99.06,0.069726,0.22,0.0775,0.03383,0.314
input_1mAh_6_S2,1mAh,bimodal,bimodal,0.8,0.375,0.5,3.75,7.5,98.88,0.121511,0.22,0.155,0.10491,0.064
input_8mAh_8_AMP,8mAh,mono AM_P,standard,0.85,0.2975,0.5,5.0,10.0,98.64,0.060141,0.22,0.0775,0.03383,0.25
input_8mAh_8_AMS,8mAh,mono AM_S,standard,0.85,0.2975,0.5,2.5,5.0,98.39,0.043035,0.22,0.0775,0.03383,0.104
input_8mAh_8,8mAh,bimodal,bimodal,0.85,0.2975,0.5,3.75,7.5,98.99,0.06188,0.22,0.0775,0.03383,0.262
input_8mAh_7,8mAh,bimodal,bimodal,0.85,0.2975,0.5,3.75,7.5,98.9,0.055567,0.22,0.0775,0.03383,0.215
input_8mAh_6,8mAh,bimodal,bimodal,0.8,0.375,0.5,3.75,7.5,99.5,0.118518,0.22,0.155,0.10491,0.053
input_8mAh_5_AMS,8mAh,mono AM_S,standard,0.8,0.375,0.5,2.5,5.0,99.46,0.095924,0.22,0.155,0.10491,-0.039
input_8mAh_5_AMP,8mAh,mono AM_P,standard,0.8,0.375,0.5,5.0,10.0,99.4,0.125666,0.22,0.155,0.10491,0.078
input_8mAh_5,8mAh,bimodal,bimodal,0.8,0.375,0.5,3.75,7.5,99.53,0.113037,0.22,0.155,0.10491,0.032
input_8mAh_4,8mAh,bimodal,bimodal,0.8,0.375,0.5,3.75,7.5,99.5,0.103945,0.22,0.155,0.10491,-0.004
input_8mAh_3,8mAh,bimodal,bimodal,0.75,0.4444,0.5,3.75,7.5,99.7,0.166989,0.22,0.2244,0.19193,-0.06
input_8mAh_2,8mAh,bimodal,bimodal,0.76,0.4311,0.5,3.75,7.5,99.7,0.15643,0.22,0.2111,0.17371,-0.046
input_8mAh_1,8mAh,bimodal,bimodal,0.75,0.4444,0.5,3.75,7.5,99.72,0.152573,0.22,0.2244,0.19193,-0.1
input_1mAh_8,1mAh,bimodal,bimodal,0.86,0.2809,0.5,3.75,7.5,97.29,0.024818,0.22,0.0609,0.02282,0.036
input_1mAh_8_AMP,1mAh,mono AM_P,standard,0.85,0.2975,0.5,5.0,10.0,97.35,0.020398,0.22,0.0775,0.03383,-0.22
input_1mAh_8_AMS,1mAh,mono AM_S,standard,0.85,0.2975,0.5,2.5,5.0,95.69,0.022392,0.22,0.0775,0.03383,-0.179
input_1mAh_9,1mAh,bimodal,bimodal,0.86,0.2809,0.5,3.75,7.5,97.86,0.019565,0.22,0.0609,0.02282,-0.067
input_1mAh_7,1mAh,bimodal,bimodal,0.86,0.2809,0.5,3.75,7.5,96.83,0.027892,0.22,0.0609,0.02282,0.087
input_1mAh_5_AMS,1mAh,mono AM_S,standard,0.8,0.375,0.5,2.5,5.0,98.94,0.098485,0.22,0.155,0.10491,-0.027
input_1mAh_5,1mAh,bimodal,bimodal,0.8,0.375,0.5,3.75,7.5,98.98,0.115085,0.22,0.155,0.10491,0.04
input_1mAh_3,1mAh,bimodal,bimodal,0.76,0.4311,0.5,3.75,7.5,99.3,0.174167,0.22,0.2111,0.17371,0.001
input_1mAh_4,1mAh,bimodal,bimodal,0.81,0.3602,0.5,3.75,7.5,98.88,0.10075,0.22,0.1402,0.08905,0.054
input_1mAh_5_AMP,1mAh,mono AM_P,standard,0.8,0.375,0.5,5.0,10.0,98.86,0.117711,0.22,0.155,0.10491,0.05
input_1mAh_1,1mAh,bimodal,bimodal,0.76,0.4311,0.5,3.75,7.5,99.53,0.202259,0.22,0.2111,0.17371,0.066
input_1mAh_2,1mAh,bimodal,bimodal,0.76,0.4311,0.5,3.75,7.5,99.5,0.209184,0.22,0.2111,0.17371,0.081
input_6mAh_real_9,6mAh,bimodal,bimodal,0.82,0.345,1.5,4.0,2.667,97.57,0.059519,0.22,0.125,0.07384,-0.094
input_6mAh_real_8,6mAh,bimodal,bimodal,0.82,0.345,1.5,4.0,2.667,95.97,0.049434,0.22,0.125,0.07384,-0.174
input_6mAh_real_7,6mAh,bimodal,bimodal,0.82,0.345,1.5,4.0,2.667,93.4,0.034485,0.22,0.125,0.07384,-0.331
input_6mAh_real_6,6mAh,mono AM_S,standard,0.82,0.345,1.5,2.0,1.333,86.28,0.012472,0.22,0.125,0.07384,-0.772
input_6mAh_real_5,6mAh,mono AM_P,standard,0.82,0.345,0.5,6.0,12.0,99.21,0.101776,0.22,0.125,0.07384,0.139
input_6mAh_real_3,6mAh,bimodal,bimodal,0.82,0.345,0.5,4.0,8.0,99.58,0.101221,0.22,0.125,0.07384,0.137
input_6mAh_real_4,6mAh,bimodal,bimodal,0.82,0.345,0.5,4.0,8.0,99.55,0.107855,0.22,0.125,0.07384,0.165
input_6mAh_real_1,6mAh,mono AM_S,standard,0.82,0.345,0.5,2.0,4.0,99.08,0.068957,0.22,0.125,0.07384,-0.03
input_6mAh_real_10,6mAh,mono AM_P,standard,0.82,0.345,1.5,6.0,4.0,99.39,0.073146,0.22,0.125,0.07384,-0.004
input_6mAh_real_2,6mAh,bimodal,bimodal,0.82,0.345,0.5,4.0,8.0,99.43,0.088793,0.22,0.125,0.07384,0.08
input_8mAh_real40_2,8mAh,bimodal,bimodal,0.82,0.345,0.5,4.0,8.0,99.4,0.082744,0.22,0.125,0.07384,0.049
input_1mAh_100_11,1mAh,mono AM_S,standard,0.87,0.264,0.5,4.0,8.0,91.53,0.014485,0.22,0.044,0.01342,0.033
input_1mAh_6_S3,1mAh,bimodal,bimodal,0.8,0.375,0.5,3.75,7.5,98.94,0.119492,0.22,0.155,0.10491,0.057
input_1mAh_6_S4,1mAh,bimodal,bimodal,0.8,0.375,0.5,3.75,7.5,98.95,0.092594,0.22,0.155,0.10491,-0.054
input_1mAh_100_12,1mAh,bimodal,bimodal,0.87,0.264,0.5,4.0,8.0,95.58,0.024754,0.22,0.044,0.01342,0.266
input_1mAh_100_13,1mAh,bimodal,bimodal,0.87,0.264,0.5,4.0,8.0,96.89,0.033053,0.22,0.044,0.01342,0.391
input_1mAh_100_14,1mAh,bimodal,bimodal,0.87,0.264,0.5,4.0,8.0,97.28,0.028192,0.22,0.044,0.01342,0.322
input_1mAh_6_S5,1mAh,bimodal,bimodal,0.8,0.375,0.5,3.75,7.5,98.87,0.10822,0.22,0.155,0.10491,0.013
input_1mAh_9_S2,1mAh,bimodal,bimodal,0.85,0.2975,0.5,3.75,7.5,98.0,0.034302,0.22,0.0775,0.03383,0.006
input_1mAh_9_S3,1mAh,bimodal,bimodal,0.85,0.2975,0.5,3.75,7.5,97.88,0.034791,0.22,0.0775,0.03383,0.012
input_1mAh_9_S4,1mAh,bimodal,bimodal,0.85,0.2975,0.5,3.75,7.5,97.62,0.033465,0.22,0.0775,0.03383,-0.005
input_1mAh_9_S5,1mAh,bimodal,bimodal,0.85,0.2975,0.5,3.75,7.5,97.64,0.029146,0.22,0.0775,0.03383,-0.065
input_1mAh_100_10,1mAh,mono AM_P,standard,0.82,0.345,0.5,4.0,8.0,98.91,0.036389,0.22,0.125,0.07384,-0.307
input_1mAh_100_15,1mAh,mono AM_P,standard,0.87,0.264,0.5,4.0,8.0,98.15,0.000881,0.22,0.044,0.01342,-1.183
input_1mAh_100_9,1mAh,bimodal,bimodal,0.82,0.345,0.5,4.0,8.0,98.76,0.104726,0.22,0.125,0.07384,0.152
input_1mAh_100_6,1mAh,mono AM_S,standard,0.82,0.345,0.5,4.0,8.0,98.26,0.071142,0.22,0.125,0.07384,-0.016
input_1mAh_100_7,1mAh,bimodal,bimodal,0.82,0.345,0.5,4.0,8.0,98.85,0.101919,0.22,0.125,0.07384,0.14
input_1mAh_100_3,1mAh,unknown,bimodal,0.77,0.4175,0.5,4.0,8.0,99.52,0.231239,0.22,0.1975,0.15582,0.171
input_6mAh_real40_2,6mAh,unknown,bimodal,0.82,0.345,0.5,4.0,8.0,99.49,0.087286,0.22,0.125,0.07384,0.073
input_6mAh_real40_4,6mAh,unknown,bimodal,0.82,0.345,0.5,4.0,8.0,99.53,0.113033,0.22,0.125,0.07384,0.185
input_1mAh_100_1,1mAh,unknown,standard,0.77,0.4175,0.5,4.0,8.0,99.48,0.171693,0.22,0.1975,0.15582,0.042
input_1mAh_100_2,1mAh,unknown,bimodal,0.77,0.4175,0.5,4.0,8.0,99.46,0.207183,0.22,0.1975,0.15582,0.124
input_1mAh_100_8,1mAh,unknown,bimodal,0.82,0.345,0.5,4.0,8.0,98.75,0.110853,0.22,0.125,0.07384,0.176
