# LHS 코호트 **실측** 이온 퍼콜레이션 — 설계 라벨의 운용 특성을 고정한다 (원장 LHS-01)
# 생산 솔버 legacy 팔(기본값) · 2026-09-15 · ⚠ S3 결과가 아니다 (ρ 런의 부산물)
# rho_s3_trial_20260915.csv  sha256 ae180b770f45b638226384a0636d64b45079d8e49943ec55c3ec8bb955a67c98
# lhs_design_20260818.csv    sha256 cb35ba5a5c8e2842d6042b7e97f82e146d44b509079fa3fa6665a894ca6ad99f
# finite_size_flag_geom_only = 설계 CSV 의 finite_size_flag 에서 se_* 조각을 뺀 것
case_id,block,am_pct,phi_se_est,se_percolation_est_meanfield,thick_over_d_am_max,rve_over_d_am_max,d_am_max_um,finite_size_flag_geom_only,ionic_status,ionic_percolates,ionic_path,ionic_n_nodes,ionic_sigma_ratio,electronic_status,thermal_status
lhs00_000,bimodal,85.0000,0.2431,OK,3.2983,4.5455,11.0000,,OK,True,spsolve,5265,5.992182685939948e-09,OK,OK
lhs00_001,bimodal,95.0000,0.0916,BELOW_phic,3.5883,6.2500,8.0000,,SOLVE_NONE,False,none,12564,,OK,OK
lhs00_002,bimodal,70.0000,0.4143,OK,4.3085,4.1667,12.0000,,OK,True,spsolve,12789,2.682821343696219e-07,OK,OK
lhs00_003,bimodal,80.0000,0.3064,OK,5.8256,7.1429,7.0000,,OK,True,spsolve,17683,6.451278302789294e-08,OK,OK
lhs00_004,bimodal,80.0000,0.3064,OK,2.7186,3.3333,15.0000,thin+n_am_p_low,OK,True,cg,59639,7.087496337624711e-08,OK,OK
lhs00_005,bimodal,70.0000,0.4143,OK,5.1702,5.0000,10.0000,n_am_p_CRIT,OK,True,cg,30315,2.1421738524849343e-07,OK,OK
lhs00_006,bimodal,85.0000,0.2431,OK,3.0235,4.1667,12.0000,n_am_p_low,OK,True,cg,42128,1.3843774652812045e-08,OK,OK
lhs00_007,bimodal,85.0000,0.2431,OK,2.4188,3.3333,15.0000,thin+n_am_p_low,OK,True,spsolve,5265,2.072177447669544e-08,OK,OK
lhs00_008,bimodal,90.0000,0.1720,BELOW_phic,3.2284,5.0000,10.0000,,OK,True,spsolve,7856,5.070277188248283e-09,OK,OK
lhs00_009,bimodal,80.0000,0.3064,OK,2.7186,3.3333,15.0000,thin+n_am_p_low,SOLVE_NONE,False,none,59616,,OK,OK
lhs00_010,bimodal,85.0000,0.2431,OK,2.5915,3.5714,14.0000,thin+n_am_p_CRIT,OK,True,cg,42121,3.167482617206734e-08,OK,OK
lhs00_011,bimodal,70.0000,0.4143,OK,6.4628,6.2500,8.0000,,OK,True,spsolve,12788,2.1968474554056486e-07,OK,OK
lhs00_012,bimodal,95.0000,0.0916,BELOW_phic,4.7844,8.3333,6.0000,,SOLVE_NONE,False,none,1569,,OK,OK
lhs00_013,bimodal,75.0000,0.3631,OK,4.1706,4.5455,11.0000,,OK,True,spsolve,9947,4.336137282669725e-08,OK,OK
lhs00_014,bimodal,90.0000,0.1720,BELOW_phic,4.0354,6.2500,8.0000,n_am_p_low,OK,True,spsolve,26525,1.4594366146162666e-09,OK,OK
lhs00_015,bimodal,85.0000,0.2431,OK,7.2563,10.0000,5.0000,,OK,True,spsolve,12482,9.683867208280491e-09,OK,OK
lhs00_016,bimodal,85.0000,0.2431,OK,2.4188,3.3333,15.0000,thin+n_am_p_CRIT,OK,True,spsolve,5266,8.988116908219242e-09,OK,OK
lhs00_017,bimodal,70.0000,0.4143,OK,3.6930,3.5714,14.0000,n_am_p_low,OK,True,spsolve,12789,2.2229622648146223e-07,OK,OK
lhs00_018,bimodal,95.0000,0.0916,BELOW_phic,3.5883,6.2500,8.0000,,SOLVE_NONE,False,none,12564,,OK,OK
lhs00_019,bimodal,90.0000,0.1720,BELOW_phic,2.9349,4.5455,11.0000,thin+n_am_p_low,OK,True,spsolve,3315,2.1903553378859867e-09,OK,OK
lhs00_020,bimodal,95.0000,0.0916,BELOW_phic,4.1009,7.1429,7.0000,,OK,True,spsolve,12557,3.8018349720463966e-11,OK,OK
lhs00_021,bimodal,90.0000,0.1720,BELOW_phic,2.4834,3.8462,13.0000,thin,OK,True,spsolve,7858,8.737689993502924e-10,OK,OK
lhs00_022,bimodal,90.0000,0.1720,BELOW_phic,6.4567,10.0000,5.0000,,OK,True,spsolve,26525,5.779604520224622e-09,OK,OK
