run	cell	t0_step	S0	SR	ratio	cells_t0	cells_ref
L0_s32452843	12x3	362664	0.195782	0.053450	3.6629	126	126
LA_s32452843	12x3	362664	0.181422	0.053450	3.3942	131	126
LA_s49979687	12x3	362664	0.178081	0.053771	3.3118	133	126
LA_s67867967	12x3	362664	0.188125	0.058020	3.2424	119	126
LB1_s32452843	12x3	362664	0.186281	0.053450	3.4851	122	126
LB2_s32452843	12x3	362664	0.178918	0.053450	3.3474	132	126
LB3_s32452843	12x3	362664	0.186189	0.053450	3.4834	131	126
LC_s32452843	12x3	362664	0.185644	0.053450	3.4732	125	126
LC_s49979687	12x3	362664	0.188597	0.053771	3.5074	123	126
LC_s67867967	12x3	362664	0.202624	0.058020	3.4923	125	126
L0_s32452843	16x4	362664	0.184240	0.061026	3.0191	217	256
LA_s32452843	16x4	362664	0.180648	0.061026	2.9602	242	256
LA_s49979687	16x4	362664	0.173489	0.061235	2.8331	233	252
LA_s67867967	16x4	362664	0.180964	0.063518	2.8490	218	252
LB1_s32452843	16x4	362664	0.181816	0.061026	2.9793	225	256
LB2_s32452843	16x4	362664	0.178005	0.061026	2.9169	248	256
LB3_s32452843	16x4	362664	0.180411	0.061026	2.9563	240	256
LC_s32452843	16x4	362664	0.174646	0.061026	2.8618	223	256
LC_s49979687	16x4	362664	0.177191	0.061235	2.8936	219	252
LC_s67867967	16x4	362664	0.182453	0.063518	2.8725	211	252
L0_s32452843	8x2	362664	0.187821	0.021346	8.7991	51	44
LA_s32452843	8x2	362664	0.172911	0.021346	8.1005	50	44
LA_s49979687	8x2	362664	0.165261	0.019343	8.5437	51	44
LA_s67867967	8x2	362664	0.177984	0.017113	10.4008	52	44
LB1_s32452843	8x2	362664	0.178921	0.021346	8.3821	52	44
LB2_s32452843	8x2	362664	0.170095	0.021346	7.9687	52	44
LB3_s32452843	8x2	362664	0.176161	0.021346	8.2528	52	44
LC_s32452843	8x2	362664	0.175312	0.021346	8.2130	52	44
LC_s49979687	8x2	362664	0.174775	0.019343	9.0355	52	44
LC_s67867967	8x2	362664	0.192827	0.017113	11.2681	51	44
