kit,n_grid,vox_um,vgcf_wt_pct,boundary,n_fibres,n_fibres_recipe,n_points,am_voxels,point_n_cells,point_n_components,point_largest_cells,point_largest_mass_frac,point_singleton_frac,point_spans_z,point_span_mass_frac,point_plugged_frac,point_plugged_components_frac,point_spans_z_basis,segment_n_cells,segment_n_components,segment_largest_cells,segment_largest_mass_frac,segment_singleton_frac,segment_spans_z,segment_span_mass_frac,segment_plugged_frac,segment_plugged_components_frac,segment_spans_z_basis
kit_ps_0_10,288,0.4,1.0,"corrected(periodic_xy=False, z=zero-pad, plates=0..292)",25838,25838,1264474,2372946,379781,37453,4741,0.012484,0.031389,False,0.0,0.972015,0.896003,solver_plates z=0..292,407489,17992,221782,0.544265,0.01057,True,0.544265,0.996797,0.982548,solver_plates z=0..292
kit_ps_3_7,288,0.4,1.0,"corrected(periodic_xy=False, z=zero-pad, plates=0..295)",26320,26320,1251814,2429787,369899,32289,27468,0.074258,0.027659,False,0.0,0.957202,0.84264,solver_plates z=0..295,397973,13772,284917,0.71592,0.008124,True,0.71592,0.994432,0.969068,solver_plates z=0..295
kit_ps_5_5,288,0.4,1.0,"corrected(periodic_xy=False, z=zero-pad, plates=0..291)",26209,26209,1235823,2398370,360923,27969,41593,0.115241,0.024895,False,0.0,0.947382,0.803854,solver_plates z=0..291,388655,10804,308216,0.793032,0.006808,True,0.793032,0.994435,0.960015,solver_plates z=0..291
kit_ps_7_3,288,0.4,1.0,"corrected(periodic_xy=False, z=zero-pad, plates=0..293)",26696,26696,1242031,2439320,357751,23914,134035,0.37466,0.021431,True,0.37466,0.94196,0.752614,solver_plates z=0..293,385486,8314,331132,0.858999,0.005357,True,0.858999,0.994122,0.947558,solver_plates z=0..293
kit_ps_10_0,288,0.4,1.0,"corrected(periodic_xy=False, z=zero-pad, plates=0..290)",26472,26472,1275895,2346926,359431,18175,250933,0.69814,0.016262,True,0.69814,0.913939,0.578597,solver_plates z=0..290,388030,4834,359592,0.926712,0.003172,True,0.926712,0.991954,0.893877,solver_plates z=0..290
