# Huang et al. 2025, J. Energy Storage 114, 115692 — DEM-generated microstructure + 3D Lattice Boltzmann heat conduction.
# AM = LCO (LiCoO2), SE = LLZO (Li7La3Zr2O12).  ETC = effective thermal conductivity k_eff [W m^-1 K^-1].
# Material k (oxide!) NOT transferable to our LPSCl/NCM sulfide system; trends only. source: stated=Table value; digitized=read from Fig.
# tortuosity from TauFactor (per-phase, per-direction). "inf" = phase not percolating along conduction dir (tortuosity unmeasurable).
section,case,group,LCO_size_um,LLZO_size_um,vol_ratio_LCO_LLZO,CAM_volpct_LCO_over_solid,porosity_pct,tau_pore,tau_LCO,tau_LLZO,k_eff_LBM_Wm-1K-1,k_eff_EMT_Wm-1K-1,interconnected_solid_pct,interconnected_pore_pct,source,note
# ---- material reference (Table 1) ----
material,LCO,,5,,,,,,,5.40,,,,stated,k_LCO=5.40 rho=5.06 g/cm3 Cp=715.42 J/kgK alpha=1.49e-6 m2/s,
material,LLZO,,,5,,,,,,0.46,,,,stated,k_LLZO=0.46(0.47+-0.01) rho=5.11 Cp=927.19 alpha=1.00e-7 m2/s; pore k~0 near-vacuum,
# ---- Sec 4.1 vol-ratio x porosity sweep (Table 5 + Table 6 + Fig 10); LCO 5um LLZO 5um ----
4.1,I-a1,I-a(1:1),5,5,1:1,50,4.4,inf,2.552,2.661,1.816,1.904,99.965,0.213,stated,pore not percolating at low porosity
4.1,I-a2,I-a(1:1),5,5,1:1,50,8.1,inf,2.418,2.839,1.452,1.753,99.987,4.455,stated,
4.1,I-a3,I-a(1:1),5,5,1:1,50,15.1,50.42,2.824,3.075,0.945,1.475,99.883,11.054,stated,
4.1,I-a4,I-a(1:1),5,5,1:1,50,21.1,22.30,3.428,3.718,0.775,1.243,99.871,19.897,stated,
4.1,I-a5,I-a(1:1),5,5,1:1,50,31.2,5.278,4.905,5.436,0.542,0.874,99.819,74.265,stated,EMT over-predicts here (high-poro LCO-dominated)
4.1,I-b1,I-b(4:1),5,5,4:1,80,4.4,inf,1.354,inf,4.023,3.716,99.965,0.213,stated,LLZO not percolating (4:1 LCO-rich) -> highest ETC
4.1,I-b2,I-b(4:1),5,5,4:1,80,8.1,inf,1.415,inf,3.279,3.472,99.987,4.455,stated,
4.1,I-b3,I-b(4:1),5,5,4:1,80,15.1,50.42,1.596,inf,2.005,3.014,99.883,11.054,stated,
4.1,I-b4,I-b(4:1),5,5,4:1,80,21.1,22.30,1.801,inf,1.477,2.620,99.871,19.897,stated,
4.1,I-b5,I-b(4:1),5,5,4:1,80,31.2,5.278,2.319,inf,1.078,1.966,99.819,74.265,stated,
4.1,I-c1,I-c(1:4),5,5,1:4,20,4.4,inf,inf,1.354,1.041,0.751,99.965,0.213,stated,LCO not percolating (1:4 LLZO-rich) -> lowest ETC; EMT under-predicts (-28%)
4.1,I-c2,I-c(1:4),5,5,1:4,20,8.1,inf,inf,1.415,0.792,0.695,99.987,4.455,stated,
4.1,I-c3,I-c(1:4),5,5,1:4,20,15.1,50.42,inf,1.596,0.722,0.593,99.883,11.054,stated,
4.1,I-c4,I-c(1:4),5,5,1:4,20,21.1,22.30,inf,1.801,0.557,0.509,99.871,19.897,stated,
4.1,I-c5,I-c(1:4),5,5,1:4,20,31.2,5.278,inf,2.319,0.413,0.377,99.819,74.265,stated,
# ---- Sec 4.2 tortuosity effect (Case II, porosity fixed 21.1%, 1:1, LCO 5um LLZO 10um); per-direction X/Y/Z ----
# Case II-a similar-tortuosity group (Table 7)
4.2,II-a1_X,II-a,5,10,1:1,50,21.1,9.428,3.128,5.812,0.959,,,,stated,
