# particulate SE-size sweep (0:10 mono-AM_S, r_AM_S=3.0): porosity vs r_SE / lambda=r_AM_S/r_SE
# U-shape packing optimum. e_se col separates E variants (standard=1.35; _E15=2.02 stiffer, do NOT mix into the E1.35 U)
case,am_wt,r_AM_S,r_SE,lambda,mpm_porosity,n_grid,r_per_cell,resolved,e_se
input_particulate_1,62,3.0,0.25,12.0,15.97,195,1.6,under,1.35
input_particulate_7,62,3.0,1.0,3.0,13.50,164,5.5,ok,1.35
input_particulate_10,62,3.0,1.5,2.0,14.10,164,8.2,ok,1.35
input_particulate_4,62,3.0,0.5,6.0,21.85,164,3.2,ok,1.35
input_particulate_5,72,3.0,0.5,6.0,18.78,191,3.2,ok,1.35
input_particulate_8,72,3.0,1.0,3.0,15.14,191,6.4,ok,1.35
input_particulate_11,72,3.0,1.5,2.0,17.74,191,9.6,ok,1.35
input_particulate_12,82,3.0,1.5,2.0,23.04,230,11.5,ok,1.35
input_particulate_6,82,3.0,0.5,6.0,17.54,230,3.8,ok,1.35
input_particulate_9,82,3.0,1.0,3.0,19.78,230,7.7,ok,1.35
input_particulate_9_E05,82,3.0,1.0,3.0,17.91,230,7.7,ok,0.68
input_particulate_9_E15,82,3.0,1.0,3.0,21.61,230,7.7,ok,2.02
