# Kim, Kang, Park, Lee — Electrochim. Acta 542 (2025) 147413 — modified TLM impedance decoupling
# NCM811 (LiNi0.8Co0.1Mn0.1O2) + LPSCl (Li6PS5Cl) + Super P; halide = Li2ZrCl6 (LZC)
# All R in Ohm.cm2 (areal), C in indicated units, sigma in mS/cm, L in um, T_w in s, E_a in eV (estimated)
# source: SI Tables S3-S6 (fitted, verbatim) + main text (stated) + Fig bars (digitized) + Arrhenius (estimated)
# NCM811 wt% (NCM811:LPSCl:SuperP = 62:37:1 / 72:27:1 / 82:17:1); coating = LNO (LiNbO3) or uncoated
# cell = symmetric (ion-blocking, SUS|cathode|SUS) or fullcell (3-electrode, e-blocking, Ag-Li RE)
quantity,cell,coating,SE,NCM_wt_pct,temperature_C,value,unit,provenance,table,note
bulk_sigma_ion,material,n/a,LPSCl,n/a,25,1.6,mS/cm,stated,text,equals Minnmann 2021 = our bulk anchor spread
bulk_sigma_ion,material,n/a,LZC_halide,n/a,25,0.51,mS/cm,stated,text,halide lower sigma higher oxidative stability
R_i_bulk,symmetric,LNO,LPSCl,62,30,9.3,Ohm.cm2,stated,S3,
R_i_bulk,symmetric,LNO,LPSCl,72,30,18.7,Ohm.cm2,stated,S3,
R_i_bulk,symmetric,LNO,LPSCl,82,30,12.8,Ohm.cm2,stated,S3,
R_i_gb,symmetric,LNO,LPSCl,62,30,25.6,Ohm.cm2,stated,S3,GB comparable to or larger than bulk
R_i_gb,symmetric,LNO,LPSCl,72,30,29.4,Ohm.cm2,stated,S3,
R_i_gb,symmetric,LNO,LPSCl,82,30,6.2,Ohm.cm2,stated,S3,
R_ion_total,symmetric,LNO,LPSCl,62,30,34.9,Ohm.cm2,derived,S3,R_i_bulk+R_i_gb
R_ion_total,symmetric,LNO,LPSCl,72,30,48.1,Ohm.cm2,derived,S3,
R_ion_total,symmetric,LNO,LPSCl,82,30,19.0,Ohm.cm2,derived,S3,82wt% lowest ionic R (densification)
R_e,symmetric,LNO,LPSCl,62,30,4.8,Ohm.cm2,stated,S3,
R_e,symmetric,LNO,LPSCl,72,30,53.1,Ohm.cm2,stated,S3,
R_e,symmetric,LNO,LPSCl,82,30,262.7,Ohm.cm2,stated,S3,
R_i_gb,symmetric,LNO,LPSCl,62,45,12.4,Ohm.cm2,stated,S3,GB strongly thermally activated
R_i_gb,symmetric,LNO,LPSCl,62,60,3.1,Ohm.cm2,stated,S3,
R_i_bulk,symmetric,LNO,LPSCl,62,45,8.0,Ohm.cm2,stated,S3,bulk weakly thermally activated
R_i_bulk,symmetric,LNO,LPSCl,62,60,6.0,Ohm.cm2,stated,S3,
thickness_L,symmetric,LNO,LPSCl,62,30,190,um,stated,S3,CAM up thickness down (densify)
thickness_L,symmetric,LNO,LPSCl,72,30,180,um,stated,S3,
thickness_L,symmetric,LNO,LPSCl,82,30,160,um,stated,S3,
R_ion,fullcell,LNO,LPSCl,62,30,8.7,Ohm.cm2,stated,S4,
R_ion,fullcell,LNO,LPSCl,72,30,12.0,Ohm.cm2,stated,S4,
