# real_14 SE 응답곡선 — 2026-08-05 11점 재생성 (GPU 5.5 h, V100)
# 조건: mpm3d_compaction.py --n-grid 384 --sub 160 --protocol hold --periodic
#       --arch cuda --gpu-mem 8 --compact-to <eps_target>   (변위구동 → 정착값 기록)
# 정본: scripts/am_load_balance_jam.py REAL14_SE_CURVE (phi_se_local 색인)
# phi_se_local = V_SE/(A*h - V_AM);  V_AM 46679.9 um^3 · V_SE 17190.8 · A 2500 um^2
# eps_union = 1 - 25.170/h  (union 관례; DEM eps_sphere 와 h 30.28 에서 1.251 %p 차)
# ★ 출처 (2026-08-05 확인): 11점 = 신규 배치 10점 + 별도 재현 런 1점.
#   배치 10점 = se_curve/se_e{2010,1881,1775,1671,1557,1087,913,746,573,393}.json
#               (se_batch.log: 14:34→19:00, 각 EXIT=0, wall 1440~1768 s)
#   나머지 1점 phi 0.6707 = se_curve/se_repro_1297.json (eps 12.97, t 28.925, sigma 0.1157)
#   ⇒ 런은 갈렸지만 조건은 동일 (n_grid 384 · sub 160 · hold · periodic) — 곡선은 균질.
# ★ 옛 5점 폐기: 실행조건(--sub/--frames) 복구 불가 + 재현 시 sigma 가 계통 +8~19% 상향
# ★ 곡선 성질: phi<~0.58 무응력(jamming 전) / phi>~0.81 sigma_y=0.30 포화 (max 0.2771)
#   => SE 단독으로 target 0.30 GPa 도달 원리적 불가 = 하중분담 항이 필수인 물리적 근거
eps_target_pct,eps_settled_pct,thickness_um,phi_se_local,wallP_GPa
20.10,20.090,31.511,0.5356,0.0000
18.81,18.685,30.967,0.5593,0.0001
17.75,17.598,30.558,0.5785,0.0004
16.71,16.670,30.218,0.5956,0.0117
15.57,15.529,29.810,0.6174,0.0388
12.97,12.945,28.925,0.6707,0.1157
10.87,10.847,28.244,0.7184,0.1582
9.13,9.095,27.700,0.7617,0.1850
7.46,7.272,27.155,0.8106,0.1979
5.73,5.616,26.679,0.8588,0.2376
3.93,3.900,26.203,0.9131,0.2771
