# pure-SE DEM Heckel 시리즈 (LIGGGHTS, E_SE=1.35 GPa softened, r_SE=0.5µm, RVE 50×50µm, 동일 insert seed 78049)
# 재생성 2026-08-05 — USB 원자료(post_SE_heckel_{100,200,300,400}) → make_heckel_manifest.py → heckel_analysis.py
# D_union 은 atom 덤프 좌표에서 직접 계산한 렌즈 겹침(주기 x·y 최소상 이미지); 100 MPa 에서 contact 덤프와 0.00% 일치 검증됨.
# ⚠ D_sphere 는 300/400 MPa 에서 1을 넘는다(구 부피 합 > 박스) = dense pure-SE 의 알려진 과압축 artifact → Heckel 은 D_union 으로만 맞출 것.
# Heckel 적합 (D_union 4점): ln(1/(1-D)) = K·P + A, K=0.007257 /MPa, A=0.3132, R²=0.9653, P_y=137.8 MPa, σ_y≈46 MPa
# 앵커: 300 MPa → ε_union 10.08% = Minnmann et al. LPSCl cold-press ~10% @300 MPa
P_MPa,plate_z_lu,eps_union_pct,D_union,eps_sphere_pct,D_sphere,phi_se_local,note
100,0.0119872,30.92,0.6908,29.68,0.7032,0.7032,contact 덤프 존재 — 기하↔contact 렌즈 0.00% 일치
200,0.00973721,19.01,0.8099,13.43,0.8657,0.8657,
300,0.00823721,10.08,0.8992,-2.34,1.0234,1.0234,Minnmann ~10% 앵커 일치; eps_sphere 음수=과압축 artifact
400,0.00713721,3.40,0.9660,-18.11,1.1811,1.1811,eps_sphere 음수=과압축 artifact
