AM_wt%,eps_f02,eps_f05,eps_f10,eps_knee,std_f05,n_pts
0,55.0,49.81,47.1,30.5,0.1,62190
10,51.6,46.23,43.0,17.7,0.1,66901
20,50.9,45.59,42.3,21.2,0.1,67888
30,49.8,44.5,41.3,16.6,0.1,69219
40,48.6,43.42,40.3,13.2,0.3,71074
50,47.3,42.49,39.4,13.7,0.2,73019
60,43.6,38.89,35.7,12.2,0.3,79167
70,43.2,38.13,34.8,7.5,0.3,77374
80,40.4,35.31,31.9,7.6,0.5,81105
85,38.2,34.56,30.6,8.0,0.3,79180
90,36.8,33.65,29.5,6.2,0.6,78078
95,34.3,31.3,27.6,6.5,0.5,82831
100,34.7,32.0,28.6,11.1,0.6,80588
